time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
42.98690605,0.339,339,2,14.715,653544.69,19.78,653797.335,0.307928516
43.679882984,0.219,219,2,14.934,653561.074,19.999,653813.719,0.692976934
44.680623036,0.219,219,2,15.153,653577.458,20.218,653830.103,1.000740052
45.681405632,0.219,219,2,15.372,653585.65,20.437,653838.295,1.000782596
46.682105149,0.219,219,2,15.591,653602.034,20.656,653854.679,1.000699517
47.682853931,0.219,219,2,15.81,653626.994,20.875,653879.639,1.000748782
48.683943016,0.22,220,2,16.03,653635.186,21.095,653887.831,1.001089085
48.687225104,1.575,1575,2,17.605,653635.186,22.67,653887.831,0.003282088
48.813704023,0.286,286,2,17.891,653642.354,22.956,653894.999,0.126478919
48.882830751,0.189,189,2,18.08,653644.402,23.145,653897.047,0.069126728
49.281819614,0.286,286,2,18.366,653760.114,23.431,654012.759,0.398988863
49.290009481,0.189,189,2,18.555,653769.33,23.62,654021.975,0.008189867
50.261110087,0.229,229,8,0.229,32.768,24.069,654064.983,0.971100606
49.685035864,0.22,220,2,18.775,653785.714,24.323,654609.951,0
50.686180377,0.22,220,2,18.995,653802.098,24.543,664206.92,1.001144513
51.687221961,0.22,220,2,19.215,653818.482,24.763,674200.327,1.001041584
52.688302869,0.22,220,2,19.435,653826.674,24.983,677512.169,1.001080908
53.014188923,2.513,2513,2,21.948,653835.378,27.496,684987.122,0.325886054
53.689361375,0.22,220,2,22.168,653851.762,27.716,696169.843,0.675172452
54.690432067,0.22,220,2,22.388,653868.146,27.936,706691.834,1.001070692
55.691382594,0.22,220,2,22.608,653884.53,28.156,718469.212,1.000950527
56.692354646,0.22,220,2,22.828,653900.914,28.376,729784.079,1.000972052
57.69344196,0.22,220,2,23.048,653917.298,28.596,740768.581,1.001087314
58.694464819,0.22,220,2,23.268,653933.682,28.816,752215.594,1.001022859
59.695641521,0.22,220,2,23.488,653950.066,29.036,763001.877,1.001176702
60.696683617,0.22,220,2,23.708,653966.45,29.256,774514.963,1.001042096
61.697551931,0.22,220,2,23.928,653982.834,29.476,786028.049,1.000868314
62.698482838,0.22,220,2,24.148,653991.026,29.696,789339.891,1.000930907
50.362736181,0.152,152,72,0.152,135383.577,32.209,789604.695,0
62.98118156,2.513,2513,2,26.661,653991.538,32.361,789670.768,12.618445379
63.120572678,2.581,2581,2,29.242,654004.066,34.942,789683.296,0.139391118
50.33450314,0.102,102,8,0.331,65.536,36.517,789707.872,0
63.016640593,0.152,152,72,0.304,135449.65,36.746,789716.064,12.682137453
63.129011632,1.575,1575,2,30.817,654012.258,36.898,795277.175,0.112371039
63.69962187,0.22,220,2,31.037,654028.642,37.118,807120.626,0.570610238
64.70069863,0.22,220,2,31.257,654045.026,37.338,818435.493,1.00107676
65.701679948,0.22,220,2,31.477,654061.41,37.558,830212.871,1.000981318
66.702792547,0.22,220,2,31.697,654077.794,37.778,842056.322,1.001112599
67.703800372,0.22,220,2,31.917,654094.178,37.998,853569.408,1.001007825
68.704749196,0.22,220,2,32.137,654110.562,38.218,865082.494,1.000948824
69.70546702,0.22,220,2,32.357,654126.946,38.438,876199.142,1.000717824
70.706320283,0.22,220,2,32.577,654143.33,38.658,887844.374,1.000853263
71.707331846,0.22,220,2,32.797,654159.714,38.878,899687.825,1.001011563
72.708388955,0.22,220,2,33.017,654167.906,39.098,902867.521,1.001057109
72.979776402,2.513,2513,2,35.53,654180.194,41.611,911733.591,0.271387447
73.709411801,0.22,220,2,35.75,654196.578,41.831,923709.188,0.729635399
63.188156483,0.229,229,8,0.56,98.304,42.051,925592.0,0
63.190836277,0.152,152,72,0.456,271100.306,42.284,925600.192,0.002679794
74.710447368,0.22,220,2,35.97,654204.77,42.436,925805.524,11.519611091
74.940561273,2.581,2581,2,38.551,654217.058,45.017,925817.812,0.230113905
74.863182029,0.233,233,8,0.793,114.688,46.592,925826.004,0
74.957758442,0.139,139,8,0.932,131.072,46.731,925842.388,0.094576413
74.865705551,0.152,152,72,0.608,271305.638,46.874,925850.58,0
74.947447725,1.575,1575,2,40.126,654225.25,47.026,934791.928,0.081742174
75.711522043,0.22,220,2,40.346,654241.634,47.246,946899.671,0.764074318
76.712505129,0.22,220,2,40.566,654258.018,47.466,958610.976,1.000983086
77.713521652,0.22,220,2,40.786,654266.21,47.686,970512.308,1.001016523
78.714343288,0.22,220,2,41.006,654282.594,47.906,982686.124,1.000821636
79.715185565,0.22,220,2,41.226,654298.978,48.126,994463.502,1.000842277
80.716093661,0.22,220,2,41.446,654315.362,48.346,1006240.88,1.000908096
81.716849276,0.22,220,2,41.666,654331.746,48.566,1018084.331,1.000755615
82.717821257,0.22,220,2,41.886,654339.938,48.786,1021197.954,1.000971981
82.978778384,2.513,2513,2,44.399,654380.898,51.299,1030224.842,0.260957127
83.718768674,0.22,220,2,44.619,654397.282,51.519,1042398.658,0.73999029
84.719529166,0.22,220,2,44.839,654413.666,51.739,1051400.97,1.000760492
85.720441736,0.22,220,2,45.059,654430.05,51.959,1058487.165,1.00091257
74.961625533,0.152,152,72,0.76,406768.589,52.179,1061534.715,0
86.721235691,0.22,220,2,45.279,654438.242,52.331,1061600.788,11.759610158
87.047839287,2.538,2538,2,47.817,654487.394,54.869,1061649.94,0.326603596
74.959510183,0.143,143,8,1.075,163.84,56.444,1061674.516,0
87.063651477,0.229,229,8,1.304,180.224,56.673,1061690.9,12.104141294
86.975942606,0.152,152,72,0.912,406834.662,56.816,1061699.092,0
87.054049611,1.575,1575,2,49.392,654495.586,56.968,1069516.125,0.078107005
87.722233075,0.22,220,2,49.612,654511.97,57.188,1081689.941,0.668183464
88.723371508,0.22,220,2,49.832,654528.354,57.408,1093863.757,1.001138433
89.724524503,0.22,220,2,50.052,654544.738,57.628,1105905.427,1.001152995
90.725510349,0.22,220,2,50.272,654561.122,57.848,1118145.316,1.000985846
91.726511452,0.22,220,2,50.492,654577.506,58.068,1129988.767,1.001001103
92.727517934,0.22,220,2,50.712,654585.698,58.288,1132904.171,1.001006482
92.979223302,2.513,2513,2,53.225,654610.274,60.801,1141980.748,0.251705368
93.728493746,0.22,220,2,53.445,654626.658,61.021,1153758.126,0.749270444
94.72952748,0.22,220,2,53.665,654643.042,61.241,1165601.577,1.001033734
95.730465576,0.22,220,2,53.885,654659.426,61.461,1177180.736,1.000938096
96.731484407,0.22,220,2,54.105,654675.81,61.681,1188693.822,1.001018831
87.067918037,0.152,152,72,1.064,542494.758,61.901,1197555.796,0
97.732531195,0.22,220,2,54.325,654684.002,62.053,1197652.667,10.664613158
98.528545486,2.538,2538,2,56.863,654716.77,64.591,1197685.435,0.796014291
87.065741229,0.143,143,8,1.447,212.992,66.166,1197710.011,0
98.544907141,0.229,229,8,1.676,229.376,66.395,1197726.395,11.479165912
98.459714247,0.152,152,72,1.216,542591.629,66.538,1197734.587,0
98.53554931,1.575,1575,2,58.438,654724.962,66.69,1200260.123,0.075835063
98.7335814,0.22,220,2,58.658,654741.346,66.91,1212402.472,0.19803209
99.734626525,0.22,220,2,58.878,654757.73,67.13,1224774.507,1.001045125
100.735732867,0.22,220,2,59.098,654774.114,67.35,1237462.318,1.001106342
101.736872535,0.22,220,2,59.318,654790.498,67.57,1249834.353,1.001139668
102.737946093,0.22,220,2,59.538,654798.69,67.79,1252749.757,1.001073558
102.977730936,2.513,2513,2,62.051,654872.418,70.303,1262139.778,0.239784843
103.738915414,0.22,220,2,62.271,654888.802,70.523,1274247.521,0.761184478
104.739952779,0.22,220,2,62.491,654905.186,70.743,1286421.337,1.001037365
105.740964664,0.22,220,2,62.711,654921.57,70.963,1298661.226,1.001011885
106.741925794,0.22,220,2,62.931,654937.954,71.183,1310901.115,1.00096113
107.742921158,0.22,220,2,63.151,654954.338,71.403,1323074.931,1.000995364
98.548448741,0.152,152,72,1.368,678992.888,71.623,1334381.606,0
108.743912882,0.22,220,2,63.371,654970.722,71.775,1334483.773,10.195464141
109.744968951,0.22,220,2,63.591,654970.722,71.995,1334483.773,1.001056069
109.782179519,2.538,2538,2,66.129,655069.026,74.533,1334582.077,0.037210568
98.546709005,0.143,143,8,1.819,253.952,76.108,1334598.461,0
109.796639763,0.229,229,8,2.048,278.528,76.337,1334623.037,11.249930758
109.716826767,0.152,152,72,1.52,679086.863,76.48,1334631.229,0
109.78872622,1.575,1575,2,67.704,655077.218,76.632,1346072.837,0.071899453
110.746026885,0.22,220,2,67.924,655093.602,76.852,1358444.872,0.957300665
111.747107383,0.22,220,2,68.144,655109.986,77.072,1370222.25,1.001080498
112.749014711,0.22,220,2,68.364,655118.178,77.292,1373137.654,1.001907328
112.978345856,2.513,2513,2,70.877,655159.138,79.805,1382825.272,0.229331145
113.74998417,0.22,220,2,71.097,655175.522,80.025,1394800.869,0.771638314
114.750730204,0.22,220,2,71.317,655191.906,80.245,1406710.393,1.000746034
115.751674494,0.22,220,2,71.537,655208.29,80.465,1418884.209,1.00094429
116.752612672,0.22,220,2,71.757,655224.674,80.685,1431454.463,1.000938178
117.753660132,0.22,220,2,71.977,655241.058,80.905,1444024.717,1.00104746
118.75466339,0.22,220,2,72.197,655257.442,81.125,1456661.044,1.001003258
119.755767935,0.22,220,2,72.417,655273.826,81.345,1469165.225,1.001104545
109.800695159,0.152,152,72,1.672,814737.519,81.565,1470494.877,0
120.756767161,0.22,220,2,72.637,655282.018,81.717,1470588.852,10.956072002
121.485700422,2.538,2538,2,75.175,655331.17,84.255,1470638.004,0.728933261
109.798213518,0.143,143,8,2.191,303.104,85.83,1470654.388,0
121.50052328,0.229,229,8,2.42,327.68,86.059,1470678.964,11.702309762
120.866528758,0.152,152,72,1.824,814831.494,86.202,1470687.156,0
121.491593998,1.575,1575,2,76.75,655339.362,86.354,1474234.04,0.62506524
121.757713868,0.22,220,2,76.97,655355.746,86.574,1486672.148,0.26611987
122.758806117,0.22,220,2,77.19,655363.938,86.794,1489455.406,1.001092249
122.977111546,2.513,2513,2,79.703,655404.898,89.307,1499076.951,0.218305429
123.759802225,0.22,220,2,79.923,655421.282,89.527,1511647.205,0.782690679
124.760808004,0.22,220,2,80.143,655437.666,89.747,1524217.459,1.001005779
125.761820983,0.22,220,2,80.363,655454.05,89.967,1536655.567,1.001012979
126.762780563,0.22,220,2,80.583,655470.434,90.187,1549027.602,1.00095958
127.763746383,0.22,220,2,80.803,655486.818,90.407,1561333.564,1.00096582
128.764714942,0.22,220,2,81.023,655503.202,90.627,1573639.526,1.000968559
129.765797844,0.22,220,2,81.243,655519.586,90.847,1585945.488,1.001082902
130.767612763,0.22,220,2,81.463,655535.97,91.067,1597855.012,1.001814919
121.504570567,0.152,152,72,1.976,951176.916,91.288,1607245.57,0
131.769275245,0.221,221,2,81.684,655544.162,91.44,1607370.872,10.264704678
132.590408663,2.538,2538,2,84.222,655552.354,93.978,1607379.064,0.821133418
132.770252832,0.221,221,2,84.443,655560.546,94.199,1607387.256,0.179844169
132.976369412,0.339,339,2,84.782,655576.93,94.538,1607403.64,0.20611658
133.771269518,0.221,221,2,85.003,655593.314,94.759,1607420.024,0.794900106
134.77203265,0.221,221,2,85.224,655609.698,94.98,1607436.408,1.000763132
135.772604431,0.221,221,2,85.445,655626.082,95.201,1607452.792,1.000571781
136.773189886,0.221,221,2,85.666,655642.466,95.422,1607469.176,1.000585455
137.773764349,0.221,221,2,85.887,655658.85,95.643,1607485.56,1.000574463
138.774416314,0.221,221,2,86.108,655675.234,95.864,1607501.944,1.000651965
139.775094509,0.221,221,2,86.329,655691.618,96.085,1607520.376,1.000678195
140.776169515,0.221,221,2,86.55,655708.002,96.306,1607536.76,1.001075006
141.776928027,0.221,221,2,86.771,655716.194,96.527,1607544.952,1.000758512
142.777601054,0.221,221,2,86.992,655724.386,96.748,1607553.144,1.000673027
142.976132532,0.339,339,2,87.331,655744.866,97.087,1607575.64,0.198531478
143.778864272,0.221,221,2,87.552,655761.25,97.308,1607592.024,0.80273174
144.779531111,0.221,221,2,87.773,655777.634,97.529,1607608.408,1.000666839
145.780121198,0.221,221,2,87.994,655794.018,97.75,1607624.792,1.000590087
146.780831077,0.221,221,2,88.215,655810.402,97.971,1607641.176,1.000709879
147.781606116,0.221,221,2,88.436,655826.786,98.192,1607657.56,1.000775039
148.782224344,0.221,221,2,88.657,655843.17,98.413,1607673.944,1.000618228
149.782773905,0.221,221,2,88.878,655859.554,98.634,1607699.416,1.000549561
150.783644862,0.221,221,2,89.099,655875.938,98.855,1607719.496,1.000870957
151.786010441,0.221,221,2,89.32,655896.418,99.076,1607739.976,1.002365579
152.507554639,1.575,1575,2,90.895,655896.418,100.651,1607739.976,0.721544198
152.519956978,0.286,286,2,91.181,656093.026,100.937,1607936.584,0.012402339
152.526980685,0.189,189,2,91.37,656191.33,101.126,1608034.888,0.007023707
152.550065702,0.249,249,2,91.619,656240.482,101.375,1608084.04,0.023085017
152.563341372,0.114,114,2,91.733,656273.25,101.939,1677388.36,0.01327567
152.787934362,0.221,221,2,91.954,656281.442,102.16,1744607.816,0.22459299
153.009777864,2.513,2513,2,94.467,656301.922,104.673,2090871.368,0.221843502
153.789291733,0.221,221,2,94.688,656318.306,104.894,2103470.664,0.779513869
154.790359017,0.221,221,2,94.909,656334.69,105.265,2129455.688,1.001067284
155.791429398,0.221,221,2,95.13,656351.074,105.486,2184147.0,1.001070381
156.792820068,0.221,221,2,95.351,656367.458,105.707,2184163.384,1.00139067
157.79382313,0.221,221,2,95.572,656383.842,105.928,2184179.768,1.001003062
158.794750605,0.221,221,2,95.793,656400.226,106.149,2184196.152,1.000927475
159.795703036,0.221,221,2,96.014,656416.61,106.37,2184216.024,1.000952431
160.799858663,0.221,221,2,96.235,656432.994,106.591,2184232.408,1.004155627
161.802410413,0.221,221,2,96.456,656441.186,106.812,2184240.6,1.00255175
162.430481706,0.178,178,2,96.634,656447.33,106.99,2184246.744,0.628071293
162.783027062,2.588,2588,2,99.222,656455.522,109.578,2184254.936,0.352545356
162.803382243,0.221,221,2,99.443,656463.714,109.799,2184263.128,0.020355181
162.975868895,0.339,339,2,99.782,656474.978,110.138,2184276.84,0.172486652
163.804206594,0.221,221,2,100.003,656491.362,110.359,2184293.224,0.828337699
164.804845755,0.221,221,2,100.224,656507.746,110.58,2184309.608,1.000639161
165.805420807,0.221,221,2,100.445,656524.13,110.801,2184325.992,1.000575052
166.806026299,0.221,221,2,100.666,656540.514,111.022,2184342.376,1.000605492
167.806650712,0.221,221,2,100.887,656556.898,111.243,2184358.76,1.000624413
168.807258337,0.221,221,2,101.108,656582.498,111.464,2184384.36,1.000607625
