time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.97192261,0.244,244,2,0.244,32.768,0.244,34.816,0
4.016662334,0.183,183,2,0.427,49.152,0.427,51.2,0.044739724
5.02694743,0.183,183,2,0.61,65.536,0.61,67.584,1.010285096
6.02862698,0.183,183,2,0.793,81.92,0.793,83.968,1.00167955
7.029792209,0.183,183,2,0.976,98.304,0.976,100.352,1.001165229
8.030673219,0.183,183,2,1.159,114.688,1.159,116.736,1.00088101
9.031570232,0.183,183,2,1.342,131.072,1.342,133.12,1.000897013
10.032346872,0.183,183,2,1.525,147.456,1.525,149.504,1.00077664
11.033339109,0.183,183,2,1.708,163.84,1.708,165.888,1.000992237
12.034401712,0.183,183,2,1.891,180.224,1.891,182.272,1.001062603
13.035408029,0.183,183,2,2.074,196.608,2.074,198.656,1.001006317
14.036560129,0.183,183,2,2.257,212.992,2.257,215.04,1.0011521
15.037502815,0.183,183,2,2.44,229.376,2.44,231.424,1.000942686
16.038346577,0.183,183,2,2.623,245.76,2.623,247.808,1.000843762
17.039054886,0.183,183,2,2.806,262.144,2.806,264.192,1.000708309
18.039751768,0.183,183,2,2.989,278.528,2.989,280.576,1.000696882
19.041866114,0.183,183,2,3.172,294.912,3.172,296.96,1.002114346
20.04264932,0.183,183,2,3.355,311.296,3.521,316.076,1.000783206
20.803491902,0.268,268,2,3.623,311.556,3.789,316.336,0.760842582
20.840639637,0.253,253,2,3.876,327.94,4.042,332.72,0.037147735
21.10401294,0.219,219,2,4.095,360.708,4.261,365.488,0.263373303
21.316508917,0.283,283,2,4.378,377.092,4.544,381.872,0.212495977
21.363278599,0.207,207,2,4.585,393.476,4.751,398.256,0.046769682
21.405705318,0.102,102,2,4.687,401.668,4.853,406.448,0.042426719
21.431738359,0.125,125,2,4.812,90863.797,4.978,90868.577,0.026033041
21.856483144,0.291,291,2,5.103,91326.595,5.269,91331.375,0.424744785
21.859556382,0.234,234,2,5.337,135735.843,5.503,135740.623,0.003073238
22.039321451,0.125,125,2,5.462,150478.314,5.628,150483.094,0.179765069
22.105161819,0.219,219,2,5.681,195052.303,5.847,195057.083,0.065840368
22.831797344,0.174,174,2,5.855,195068.687,6.021,195073.467,0.726635525
22.833013175,0.188,188,2,6.043,195076.879,6.209,195081.659,0.001215831
22.834680154,0.123,123,2,6.166,195278.324,6.332,195283.104,0.001666979
22.841541116,0.541,541,2,6.707,195278.861,6.873,195283.641,0.006860962
22.850104491,0.23,230,2,6.937,195295.245,7.103,195300.025,0.008563375
22.865806663,0.851,170,2,7.788,195336.698,7.954,195341.478,0.015702172
22.868648091,0.123,123,2,7.911,195378.779,8.077,195383.559,0.002841428
22.879931492,0.379,379,2,8.29,195395.538,8.456,195400.318,0.011283401
23.106794089,0.219,219,2,8.509,195411.922,8.675,195416.702,0.226862597
23.881490139,0.156,156,2,8.665,195428.458,8.831,195433.238,0.77469605
23.882528625,0.156,156,2,8.821,195444.994,8.987,195449.774,0.001038486
24.108038616,0.219,219,2,9.04,195461.378,9.206,195466.158,0.225509991
20.268239303,0.166,166,6,0.166,2.732,9.425,195474.35,0
25.382090657,0.176,176,6,0.342,3.756,9.601,195475.374,5.113851354
25.468814293,0.154,154,6,0.496,6.828,9.755,195478.446,0.086723636
25.632196377,0.17,170,6,0.666,7.852,9.925,195479.47,0.163382084
25.685664473,0.172,172,6,0.838,8.876,10.097,195480.494,0.053468096
26.020801767,0.177,177,6,1.015,9.388,10.274,195481.006,0.335137294
26.059962323,0.176,176,6,1.191,9.9,10.45,195481.518,0.039160556
25.109299507,0.219,219,2,9.259,195477.762,11.98,195489.71,0
26.098269665,1.53,1530,6,2.721,10.892,12.199,195498.894,0.988970158
26.187611241,1.256,1256,6,3.977,11.372,13.455,195499.374,0.089341576
26.110456051,0.219,219,2,9.478,195494.146,13.626,195508.51,0
27.111934716,0.219,219,2,9.697,195510.53,13.845,195524.894,1.001478665
28.113063748,0.219,219,2,9.916,195526.914,14.064,195541.278,1.001129032
29.114213755,0.219,219,2,10.135,195543.298,14.283,195557.662,1.001150007
30.115292612,0.219,219,2,10.354,195559.682,14.502,195574.046,1.001078857
31.116981657,0.219,219,2,10.573,195576.066,14.721,195590.43,1.001689045
32.118136273,0.219,219,2,10.792,195592.45,14.94,195606.814,1.001154616
33.119017613,0.219,219,2,11.011,195608.834,15.159,195623.198,1.00088134
34.119991316,0.219,219,2,11.23,195625.218,15.378,195639.582,1.000973703
35.120828294,0.219,219,2,11.449,195641.602,15.597,195655.966,1.000836978
36.122596067,0.219,219,2,11.668,195657.986,15.816,195672.35,1.001767773
26.218370667,0.171,171,6,4.148,12.316,16.035,195680.542,0
37.123303214,0.219,219,2,11.887,195674.37,16.374,195689.198,10.904932547
38.124162144,0.219,219,2,12.106,195690.754,16.593,195705.582,1.00085893
39.125015471,0.219,219,2,12.325,195707.138,16.812,195721.966,1.000853327
