time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.682969811,0.244,244,2,0.244,32.768,0.244,36.391,0
3.732103853,0.183,183,2,0.427,49.152,0.427,52.775,0.049134042
4.747802846,0.183,183,2,0.61,65.536,0.61,69.159,1.015698993
5.749048954,0.183,183,2,0.793,81.92,0.793,85.543,1.001246108
6.749940059,0.183,183,2,0.976,98.304,0.976,101.927,1.000891105
7.750652929,0.183,183,2,1.159,114.688,1.159,118.311,1.00071287
8.751438155,0.183,183,2,1.342,131.072,1.342,134.695,1.000785226
9.752188949,0.183,183,2,1.525,147.456,1.525,151.079,1.000750794
10.752864244,0.183,183,2,1.708,163.84,1.708,167.463,1.000675295
11.753723641,0.183,183,2,1.891,180.224,1.891,183.847,1.000859397
12.754449362,0.183,183,2,2.074,196.608,2.074,200.231,1.000725721
13.755453261,0.183,183,2,2.257,212.992,2.257,216.615,1.001003899
14.758112677,0.183,183,2,2.44,229.376,2.44,232.999,1.002659416
15.758804734,0.183,183,2,2.623,245.76,2.623,249.383,1.000692057
16.759460823,0.183,183,2,2.806,262.144,2.806,265.767,1.000656089
17.760116563,0.183,183,2,2.989,278.528,2.989,282.151,1.00065574
18.761834938,0.183,183,2,3.172,294.912,3.172,298.535,1.001718375
20.445550514,0.268,268,6,0.268,8.452,3.789,317.911,1.683715576
19.762539776,0.183,183,2,3.355,311.296,4.042,334.295,0
20.769931708,0.219,219,2,3.574,344.064,4.261,367.063,1.007391932
20.980056264,0.283,283,2,3.857,360.448,4.544,383.447,0.210124556
21.02425113,0.207,207,2,4.064,376.832,4.751,399.831,0.044194866
21.069136796,0.102,102,2,4.166,385.024,4.853,408.023,0.044885666
20.487230605,0.253,253,6,0.521,24.836,4.978,31067.292,0
21.500303566,0.291,291,6,0.812,25.123,5.269,31067.579,1.013072961
21.098139646,0.125,125,2,4.291,49429.793,5.503,49469.463,0
21.50307431,0.234,234,6,1.046,41.507,5.722,100443.897,0.404934664
22.504744424,0.405,405,6,1.451,41.908,6.127,100584.75,1.001670114
21.772690439,0.219,219,2,4.51,117678.022,6.357,117734.477,0
22.507265066,0.23,230,6,1.681,58.292,6.576,163929.06,0.734574627
22.777806103,0.219,219,2,4.729,181003.97,7.091,181077.32,0.270541037
23.508544069,0.515,515,6,2.196,75.187,7.31,230865.597,0.730737966
23.78321985,0.219,219,2,4.948,248329.081,7.825,248419.326,0.274675781
24.511026578,0.515,515,6,2.711,92.082,8.044,296751.982,0.727806728
24.790171852,0.219,219,2,5.167,314748.493,8.559,314855.633,0.279145274
25.513297118,0.515,515,6,3.226,108.977,8.778,367810.203,0.723125266
25.79591944,0.219,219,2,5.386,369263.396,9.293,369387.431,0.282622322
26.546576071,0.125,125,2,5.511,389430.698,9.418,389554.733,0.750656631
