time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.940545257,0.244,244,2,0.244,24.576,0.244,26.624,0
3.989115913,0.183,183,2,0.427,40.96,0.427,43.008,0.048570656
5.00344273,0.183,183,2,0.61,57.344,0.61,59.392,1.014326817
6.004882049,0.183,183,2,0.793,73.728,0.793,75.776,1.001439319
7.006158095,0.183,183,2,0.976,90.112,0.976,92.16,1.001276046
8.007286614,0.183,183,2,1.159,106.496,1.159,108.544,1.001128519
9.008542506,0.183,183,2,1.342,122.88,1.342,124.928,1.001255892
10.009643144,0.183,183,2,1.525,139.264,1.525,141.312,1.001100638
11.010878382,0.183,183,2,1.708,155.648,1.708,157.696,1.001235238
12.012071892,0.183,183,2,1.891,172.032,1.891,174.08,1.00119351
13.013111198,0.183,183,2,2.074,188.416,2.074,190.464,1.001039306
14.014117222,0.183,183,2,2.257,204.8,2.257,206.848,1.001006024
15.015053857,0.183,183,2,2.44,221.184,2.44,223.232,1.000936635
16.015961384,0.183,183,2,2.623,237.568,2.623,239.616,1.000907527
17.016866233,0.183,183,2,2.806,253.952,2.806,256.0,1.000904849
18.017722799,0.183,183,2,2.989,270.336,2.989,272.384,1.000856566
19.019735244,0.183,183,2,3.172,286.72,3.172,288.768,1.002012445
20.020699954,0.183,183,2,3.355,303.104,3.521,307.884,1.00096471
20.786287235,0.268,268,2,3.623,303.364,3.789,308.144,0.765587281
20.830298766,0.253,253,2,3.876,319.748,4.042,324.528,0.044011531
21.106018914,0.219,219,2,4.095,352.516,4.261,357.296,0.275720148
21.324157181,0.283,283,2,4.378,368.9,4.544,373.68,0.218138267
21.368097699,0.207,207,2,4.585,385.284,4.751,390.064,0.043940518
21.409500107,0.102,102,2,4.687,393.476,4.853,398.256,0.041402408
21.435631348,0.124,124,2,4.811,82728.626,4.977,82733.406,0.026131241
21.842534754,0.291,291,2,5.102,83125.351,5.268,83130.131,0.406903406
21.845504133,0.234,234,2,5.336,135727.651,5.502,135732.431,0.002969379
22.051788631,0.124,124,2,5.46,148950.443,5.626,148955.223,0.206284498
22.107124902,0.219,219,2,5.679,195044.111,5.845,195048.891,0.055336271
22.830086905,0.174,174,2,5.853,195060.495,6.019,195065.275,0.722962003
22.83119258,0.188,188,2,6.041,195068.687,6.207,195073.467,0.001105675
22.832960594,0.122,122,2,6.163,195270.132,6.329,195274.912,0.001768014
22.839739908,0.541,541,2,6.704,195270.669,6.87,195275.449,0.006779314
22.850704373,0.23,230,2,6.934,195287.053,7.1,195291.833,0.010964465
22.861702427,0.851,170,2,7.785,195328.506,7.951,195333.286,0.010998054
22.864988398,0.122,122,2,7.907,195370.587,8.073,195375.367,0.003285971
22.877868992,0.379,379,2,8.286,195387.346,8.452,195392.126,0.012880594
23.108401498,0.219,219,2,8.505,195403.73,8.671,195408.51,0.230532506
23.879463331,0.312,156,2,8.817,195436.802,8.983,195441.582,0.771061833
24.10994285,0.219,219,2,9.036,195453.186,9.202,195457.966,0.230479519
20.235282717,0.166,166,4,0.166,2.732,9.421,195466.158,0
25.361051132,0.176,176,4,0.342,3.756,9.597,195467.182,5.125768415
25.452273355,0.154,154,4,0.496,6.828,9.751,195470.254,0.091222223
25.615404025,0.17,170,4,0.666,7.852,9.921,195471.278,0.16313067
25.653145159,0.172,172,4,0.838,9.388,10.093,195472.814,0.037741134
25.968929461,0.177,177,4,1.015,10.396,10.27,195473.822,0.315784302
25.995377716,0.176,176,4,1.191,11.372,10.446,195474.798,0.026448255
26.021909245,1.53,1530,4,2.721,12.316,11.976,195475.742,0.026531529
25.111094133,0.219,219,2,9.255,195469.57,13.232,195484.846,0
26.095628253,1.256,1256,4,3.977,13.228,13.451,195493.038,0.98453412
26.112253845,0.219,219,2,9.474,195485.954,13.622,195502.11,0.016625592
27.113441327,0.219,219,2,9.693,195502.338,13.841,195518.494,1.001187482
28.114442646,0.219,219,2,9.912,195518.722,14.06,195534.878,1.001001319
29.115410148,0.219,219,2,10.131,195535.106,14.279,195551.262,1.000967502
30.116360807,0.219,219,2,10.35,195551.49,14.498,195567.646,1.000950659
26.116418535,0.171,171,4,4.148,23.116,14.717,195584.846,0
31.942126607,1.575,1575,4,5.723,23.116,16.292,195584.846,5.825708072
31.118099803,0.219,219,2,10.569,195567.874,16.578,195595.086,0
32.049683145,0.286,286,4,6.009,30.796,16.797,195608.91,0.931583342
32.174611587,0.189,189,4,6.198,33.868,16.986,195611.982,0.124928442
32.576261991,0.286,286,4,6.484,34.892,17.272,195647.822,0.401650404
32.119130956,0.219,219,2,10.788,195584.258,17.461,195657.038,0
33.562578647,0.235,235,8,0.235,40.96,17.915,195708.238,1.443447691
33.640614858,0.102,102,8,0.337,49.152,18.017,195716.43,0.078036211
33.1239327,0.219,219,2,11.007,195600.642,18.169,197640.739,0
34.125091085,0.219,219,2,11.226,195617.026,18.388,210475.285,1.001158385
35.126282026,0.219,219,2,11.445,195633.41,18.607,224961.656,1.001190941
36.127816133,0.219,219,2,11.664,195649.794,18.826,239051.589,1.001534107
37.128824859,0.219,219,2,11.883,195666.178,19.045,253736.179,1.001008726
38.12978205,0.219,219,2,12.102,195682.562,19.264,268090.404,1.000957191
39.130825508,0.219,219,2,12.321,195698.946,19.483,283501.797,1.001043458
40.131883609,0.219,219,2,12.54,195715.33,19.702,298781.044,1.001058101
41.132925413,0.219,219,2,12.759,195731.714,19.921,314126.364,1.001041804
32.635649701,0.189,189,4,6.673,35.916,20.14,323516.922,0
42.13388891,0.219,219,2,12.978,195748.098,22.653,328547.158,9.498239209
33.668488699,0.152,152,8,0.489,135366.656,22.872,331198.27,0
42.788676464,2.513,2513,4,9.186,36.412,23.024,331278.294,9.120187765
43.389159071,2.578,2578,4,11.764,46.636,25.602,331288.518,0.600482607
43.309037169,0.152,152,8,0.641,135454.872,27.177,331296.71,0
43.4524361,0.145,145,8,0.786,135463.064,27.322,331304.902,0.143398931
43.134957083,0.219,219,2,13.197,195764.482,27.474,341113.962,0
44.136161564,0.219,219,2,13.416,195780.866,27.693,356393.209,1.001204481
45.137353492,0.219,219,2,13.635,195797.25,27.912,368236.66,1.001191928
46.138450468,0.219,219,2,13.854,195813.634,28.131,383581.98,1.001096976
47.139574326,0.219,219,2,14.073,195830.018,28.35,398002.278,1.001123858
48.140509987,0.219,219,2,14.292,195846.402,28.569,412819.014,1.000935661
49.141524016,0.219,219,2,14.511,195862.786,28.788,428098.261,1.001014029
50.14247221,0.219,219,2,14.73,195879.17,29.007,443113.216,1.000948194
51.143409692,0.219,219,2,14.949,195895.554,29.226,458524.609,1.000937482
43.45511616,0.152,152,8,0.938,271463.362,29.445,467452.656,0
43.396551425,1.575,1575,4,13.339,46.636,29.597,467518.729,0
52.7656301,2.513,2513,4,15.852,48.684,32.11,467520.777,9.369078675
52.813830904,2.535,2535,4,18.387,59.948,34.645,467532.041,0.048200804
52.764005684,0.152,152,8,1.09,271537.627,36.22,467540.233,0
52.829318792,0.145,145,8,1.235,271554.011,36.365,467556.617,0.065313108
52.831734184,0.149,149,8,1.384,271562.203,36.514,467564.809,0.002415392
52.14438012,0.219,219,2,15.168,195911.938,36.666,472213.918,0
53.145365644,0.22,220,2,15.388,195928.322,36.886,487096.727,1.000985524
54.146297001,0.22,220,2,15.608,195936.514,37.106,502037.417,1.000931357
55.147849729,0.22,220,2,15.828,195952.898,37.326,516986.299,1.001552728
