time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.931033347,0.244,244,2,0.244,25.237,0.244,27.285,0
3.988942734,0.183,183,2,0.427,41.621,0.427,43.669,0.057909387
5.003767613,0.183,183,2,0.61,58.005,0.61,60.053,1.014824879
6.004966582,0.183,183,2,0.793,74.389,0.793,76.437,1.001198969
7.006081272,0.183,183,2,0.976,90.773,0.976,92.821,1.00111469
8.007145386,0.183,183,2,1.159,107.157,1.159,109.205,1.001064114
9.008304906,0.183,183,2,1.342,123.541,1.342,125.589,1.00115952
10.0093886,0.183,183,2,1.525,139.925,1.525,141.973,1.001083694
11.010459451,0.183,183,2,1.708,156.309,1.708,158.357,1.001070851
12.011630233,0.183,183,2,1.891,172.693,1.891,174.741,1.001170782
13.012621978,0.183,183,2,2.074,189.077,2.074,191.125,1.000991745
14.01363675,0.183,183,2,2.257,205.461,2.257,207.509,1.001014772
15.01461701,0.183,183,2,2.44,221.845,2.44,223.893,1.00098026
16.015492839,0.183,183,2,2.623,238.229,2.623,240.277,1.000875829
17.016393833,0.183,183,2,2.806,254.613,2.806,256.661,1.000900994
18.017292252,0.183,183,2,2.989,270.997,2.989,273.045,1.000898419
19.019482006,0.183,183,2,3.172,287.381,3.172,289.429,1.002189754
20.02047778,0.183,183,2,3.355,303.765,3.521,308.545,1.000995774
20.855595295,0.268,268,2,3.623,304.025,3.789,308.805,0.835117515
20.894257653,0.253,253,2,3.876,320.409,4.042,325.189,0.038662358
21.029691219,0.219,219,2,4.095,353.177,4.261,357.957,0.135433566
21.401815282,0.283,283,2,4.378,369.561,4.544,374.341,0.372124063
21.444642522,0.207,207,2,4.585,385.945,4.751,390.725,0.04282724
21.490605567,0.102,102,2,4.687,394.137,4.853,398.917,0.045963045
21.518965878,0.125,125,2,4.812,70043.271,4.978,70048.051,0.028360311
21.905857971,0.291,291,2,5.103,70439.996,5.269,70444.776,0.386892093
21.908545909,0.234,234,2,5.337,101774.982,5.503,101779.762,0.002687938
22.030867026,0.219,219,2,5.556,135744.696,5.722,135749.476,0.122321117
22.166075866,0.125,125,2,5.681,195044.772,5.847,195049.552,0.13520884
22.909937638,0.405,405,2,6.086,195045.173,6.252,195049.953,0.743861772
22.912972191,0.23,230,2,6.316,195061.557,6.482,195066.337,0.003034553
22.942246264,0.174,174,2,6.49,195077.941,6.656,195082.721,0.029274073
22.943412142,0.188,188,2,6.678,195086.133,6.844,195090.913,0.001165878
22.945075984,0.123,123,2,6.801,195287.578,6.967,195292.358,0.001663842
22.950021335,0.651,651,2,7.452,195304.609,7.618,195309.389,0.004945351
22.973780565,0.851,170,2,8.303,195337.87,8.469,195342.65,0.02375923
22.976726452,0.123,123,2,8.426,195388.143,8.592,195392.923,0.002945887
22.98887818,0.379,379,2,8.805,195404.902,8.971,195409.682,0.012151728
23.031956418,0.219,219,2,9.024,195421.286,9.19,195426.066,0.043078238
23.990414584,0.312,156,2,9.336,195454.358,9.502,195459.138,0.958458166
24.033065483,0.219,219,2,9.555,195470.742,9.721,195475.522,0.042650899
20.322760992,0.166,166,5,0.166,2.732,9.94,195483.714,0
25.658517213,0.176,176,5,0.342,3.756,10.116,195484.738,5.335756221
25.748755722,0.154,154,5,0.496,6.828,10.27,195487.81,0.090238509
25.925916624,0.17,170,5,0.666,7.852,10.44,195488.834,0.177160902
25.03421975,0.219,219,2,9.774,195487.126,10.612,195498.05,0
25.966966537,0.172,172,5,0.838,8.876,10.831,195506.242,0.932746787
26.286876334,0.177,177,5,1.015,9.388,11.008,195506.754,0.319909797
26.316185681,0.176,176,5,1.191,9.9,11.184,195507.266,0.029309347
26.342394047,1.53,1530,5,2.721,10.892,12.714,195508.258,0.026208366
26.436192076,1.256,1256,5,3.977,11.372,13.97,195508.738,0.093798029
26.035361941,0.219,219,2,9.993,195503.51,14.141,195517.874,0
27.036651612,0.219,219,2,10.212,195519.894,14.36,195534.258,1.001289671
28.037695128,0.219,219,2,10.431,195536.278,14.579,195550.642,1.001043516
29.03868025,0.219,219,2,10.65,195552.662,14.798,195567.026,1.000985122
30.040449848,0.219,219,2,10.869,195569.046,15.017,195583.41,1.001769598
31.04145458,0.219,219,2,11.088,195585.43,15.236,195599.794,1.001004732
32.042337785,0.219,219,2,11.307,195601.814,15.455,195616.178,1.000883205
33.043206902,0.219,219,2,11.526,195618.198,15.674,195632.562,1.000869117
34.04398337,0.219,219,2,11.745,195634.582,15.893,195648.946,1.000776468
35.045035956,0.219,219,2,11.964,195650.966,16.112,195665.33,1.001052586
36.046337077,0.219,219,2,12.183,195667.35,16.331,195681.714,1.001301121
37.04723157,0.219,219,2,12.402,195683.734,16.55,195698.098,1.000894493
38.048049069,0.219,219,2,12.621,195700.118,16.769,195714.482,1.000817499
39.04885023,0.219,219,2,12.84,195716.502,16.988,195730.866,1.000801161
40.049751213,0.219,219,2,13.059,195732.886,17.207,195747.25,1.000900983
41.050821905,0.219,219,2,13.278,195749.27,17.426,195763.634,1.001070692
42.051756374,0.219,219,2,13.497,195765.654,17.645,195780.018,1.000934469
43.052693124,0.219,219,2,13.716,195782.038,17.864,195796.402,1.00093675
44.053736594,0.219,219,2,13.935,195798.422,18.083,195812.786,1.00104347
26.457591898,0.171,171,5,4.148,12.316,18.302,195820.978,0
45.054758461,0.219,219,2,14.154,195814.806,18.641,195829.634,18.597166563
46.055786508,0.219,219,2,14.373,195831.19,18.86,195846.018,1.001028047
47.056888,0.219,219,2,14.592,195847.574,19.079,195862.402,1.001101492
48.057927923,0.219,219,2,14.811,195863.958,19.298,195878.786,1.001039923
45.871455466,0.339,339,5,4.487,21.484,19.517,195895.682,0
49.920745036,1.575,1575,5,6.062,21.484,21.092,195895.682,4.04928957
49.058794897,0.219,219,2,15.03,195880.342,21.378,195912.066,0
50.023532997,0.286,286,5,6.348,35.308,21.597,195925.89,0.9647381
50.292384837,0.189,189,5,6.537,43.5,21.786,195934.082,0.26885184
50.773833943,0.286,286,5,6.823,51.692,22.072,195977.09,0.481449106
50.0596521,0.219,219,2,15.249,195896.726,22.261,195987.33,0
51.758787791,0.23,230,8,0.23,40.96,22.71,196038.53,1.699135691
51.060637826,0.219,219,2,15.468,195904.918,22.964,196187.06,0
52.061757477,0.22,220,2,15.688,195921.302,23.184,206048.321,1.001119651
53.062907454,0.22,220,2,15.908,195937.686,23.404,218023.918,1.001149977
54.063950022,0.22,220,2,16.128,195954.07,23.624,230660.245,1.001042568
50.830328139,0.189,189,5,7.012,53.74,23.844,241306.19,0
55.064957141,0.22,220,2,16.348,195970.454,26.357,243695.058,4.234629002
56.065918939,0.22,220,2,16.568,195986.838,26.577,256397.458,1.000961798
57.066854597,0.22,220,2,16.788,196003.222,26.797,270157.026,1.000935658
58.067944029,0.22,220,2,17.008,196019.606,27.017,283850.521,1.001089432
59.069222458,0.22,220,2,17.228,196035.99,27.237,297742.235,1.001278429
60.070212819,0.22,220,2,17.448,196052.374,27.457,311501.803,1.000990361
61.07117799,0.22,220,2,17.668,196068.758,27.677,325327.444,1.000965171
51.866772489,0.152,152,9,0.152,135317.504,27.897,331546.498,0
55.878234354,2.513,2513,5,9.525,55.788,28.049,331643.369,4.011461865
62.630042624,2.581,2581,5,12.106,65.004,30.63,331652.585,6.75180827
51.838840053,0.102,102,8,0.332,73.728,32.205,331677.161,0
62.550137543,0.152,152,9,0.304,135414.375,32.435,331685.353,10.71129749
62.072085145,0.22,220,2,17.888,196085.142,32.587,335076.569,0
63.073079055,0.22,220,2,18.108,196101.526,32.807,348373.626,1.00099391
64.074425873,0.22,220,2,18.328,196117.91,33.027,361274.245,1.001346818
62.640526214,1.575,1575,5,13.681,65.004,33.247,371721.971,0
65.075780404,0.22,220,2,18.548,196134.294,35.76,374587.686,2.43525419
66.076869834,0.22,220,2,18.768,196150.678,35.98,387884.743,1.00108943
67.077987823,0.22,220,2,18.988,196167.062,36.2,400851.435,1.001117989
68.078920888,0.22,220,2,19.208,196183.446,36.42,413553.835,1.000933065
69.07991822,0.22,220,2,19.428,196199.83,36.64,426454.454,1.000997332
70.080966073,0.22,220,2,19.648,196216.214,36.86,439553.292,1.001047853
71.0818376,0.22,220,2,19.868,196232.598,37.08,452519.984,1.000871527
72.082777669,0.22,220,2,20.088,196248.982,37.3,465618.822,1.000940069
62.715755823,0.152,152,9,0.456,270943.399,37.52,467410.985,0
65.862947555,2.513,2513,5,16.194,81.388,37.672,467521.278,3.147191732
73.274162985,2.538,2538,5,18.732,114.156,40.21,467554.046,7.41121543
62.71252846,0.23,230,8,0.562,106.496,41.785,467578.622,0
73.292042701,0.23,230,8,0.792,122.88,42.015,467595.006,10.579514241
73.221654959,0.152,152,9,0.608,271053.692,42.159,467603.198,0
73.083761448,0.22,220,2,20.308,196265.366,42.311,477535.641,0
74.084740329,0.22,220,2,20.528,196281.75,42.531,491096.99,1.000978881
73.280323782,1.575,1575,5,20.307,114.156,42.751,501280.424,0
75.085697492,0.22,220,2,20.748,196298.134,45.264,504393.51,1.80537371
76.086786825,0.22,220,2,20.968,196314.518,45.484,516567.326,1.001089333
77.087821225,0.22,220,2,21.188,196330.902,45.704,529930.456,1.0010344
78.088820821,0.22,220,2,21.408,196347.286,45.924,543293.586,1.000999596
79.089795329,0.22,220,2,21.628,196363.67,46.144,556590.643,1.000974508
80.090755432,0.22,220,2,21.848,196380.054,46.364,569689.481,1.000960103
81.091618153,0.22,220,2,22.068,196396.438,46.584,582590.1,1.000862721
73.295823833,0.152,152,9,0.76,406516.643,46.804,603295.525,0
75.861170306,2.513,2513,5,22.82,179.692,46.956,603452.154,2.565346473
83.743000406,2.538,2538,5,25.358,245.228,49.494,603517.69,7.8818301
73.293851742,0.144,144,8,0.936,155.648,51.069,603542.266,0
83.759670692,0.23,230,8,1.166,172.032,51.299,603558.65,10.46581895
83.695121582,0.152,152,9,0.912,406673.272,51.443,603566.842,0
82.092581391,0.22,220,2,22.288,196429.206,51.595,607315.935,0
84.094926171,0.22,220,2,22.508,196445.59,51.815,620480.846,2.00234478
83.749569827,1.575,1575,5,26.933,245.228,52.035,630267.842,0
85.095896136,0.22,220,2,22.728,196461.974,54.548,633579.147,1.346326309
86.096969887,0.22,220,2,22.948,196478.358,54.768,647008.35,1.001073751
87.097872809,0.22,220,2,23.168,196494.742,54.988,659842.896,1.000902922
88.098880488,0.22,220,2,23.388,196511.126,55.208,673073.88,1.001007679
89.099905876,0.22,220,2,23.608,196527.51,55.428,686172.718,1.001025388
90.101814055,0.22,220,2,23.828,196543.894,55.648,699667.994,1.001908179
91.102849168,0.22,220,2,24.048,196560.278,55.868,712965.051,1.001035113
92.103673323,0.22,220,2,24.268,196576.662,56.088,726394.254,1.000824155
83.763493008,0.152,152,9,1.064,542229.808,56.308,739352.754,0
93.104576657,0.22,220,2,24.488,196593.046,56.46,739523.367,9.341083649
85.86044373,2.513,2513,5,29.446,310.764,56.68,739531.559,0
94.122975722,2.538,2538,5,31.984,343.532,59.218,739564.327,8.262531992
83.761557341,0.144,144,8,1.31,204.8,60.793,739588.903,0
94.139434429,0.23,230,8,1.54,221.184,61.023,739605.287,10.377877088
94.07532165,0.152,152,9,1.216,542392.229,61.167,739613.479,0
94.10541297,0.22,220,2,24.708,196609.43,61.319,752385.987,0.03009132
94.128648135,1.575,1575,5,33.559,343.532,61.539,762172.983,0.023235165
95.106342585,0.22,220,2,24.928,196625.814,64.052,765575.474,0.97769445
96.107253,0.22,220,2,25.148,196642.198,64.272,778277.874,1.000910415
