time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
4.959681885,0.244,244,2,0.244,24.576,0.244,26.624,0
5.007592237,0.183,183,2,0.427,40.96,0.427,43.008,0.047910352
6.018577433,0.183,183,2,0.61,57.344,0.61,59.392,1.010985196
7.019897433,0.183,183,2,0.793,73.728,0.793,75.776,1.00132
8.02077883,0.183,183,2,0.976,90.112,0.976,92.16,1.000881397
9.021497846,0.183,183,2,1.159,106.496,1.159,108.544,1.000719016
10.022238513,0.183,183,2,1.342,122.88,1.342,124.928,1.000740667
11.022994335,0.183,183,2,1.525,139.264,1.525,141.312,1.000755822
12.023692818,0.183,183,2,1.708,155.648,1.708,157.696,1.000698483
13.024596704,0.183,183,2,1.891,172.032,1.891,174.08,1.000903886
14.025347707,0.183,183,2,2.074,188.416,2.074,190.464,1.000751003
15.026743834,0.183,183,2,2.257,204.8,2.257,206.848,1.001396127
16.030173391,0.183,183,2,2.44,221.184,2.44,223.232,1.003429557
17.030901486,0.183,183,2,2.623,237.568,2.623,239.616,1.000728095
18.031599969,0.183,183,2,2.806,253.952,2.806,256.0,1.000698483
19.032305436,0.183,183,2,2.989,270.336,2.989,272.384,1.000705467
20.034159163,0.183,183,2,3.172,286.72,3.172,288.768,1.001853727
21.034922598,0.183,183,2,3.355,303.104,3.355,305.152,1.000763435
22.035545582,0.183,183,2,3.538,319.488,3.538,321.536,1.000622984
23.036292744,0.183,183,2,3.721,335.872,3.721,337.92,1.000747162
24.037076713,0.183,183,2,3.904,352.256,3.904,354.304,1.000783969
25.037849786,0.183,183,2,4.087,368.64,4.087,370.688,1.000773073
26.039283209,0.183,183,2,4.27,385.024,4.27,387.072,1.001433423
27.040043571,0.183,183,2,4.453,401.408,4.453,403.456,1.000760362
28.040824047,0.183,183,2,4.636,417.792,4.636,419.84,1.000780476
29.041647266,0.183,183,2,4.819,425.984,4.819,428.032,1.000823219
29.79346864,0.268,268,3,0.268,8.452,5.253,439.216,0.751821374
29.243424182,0.166,166,2,4.985,436.908,5.506,455.6,0
30.111184671,0.219,219,2,5.204,469.676,5.725,488.368,0.867760489
30.342216913,0.283,283,2,5.487,486.06,6.008,504.752,0.231032242
30.38661376,0.207,207,2,5.694,502.444,6.215,521.136,0.044396847
30.429175317,0.102,102,2,5.796,510.636,6.317,529.328,0.042561557
29.837922966,0.253,253,3,0.521,24.836,6.441,33018.704,0
30.851218861,0.291,291,3,0.812,25.123,6.732,33187.9,1.013295895
30.456618751,0.124,124,2,5.92,56167.479,6.966,56202.842,0
30.854742074,0.234,234,3,1.046,41.507,7.185,125159.207,0.398123323
31.856983281,0.405,405,3,1.451,41.908,7.59,125672.019,1.002241207
31.113413166,0.219,219,2,6.139,151062.794,7.82,151114.942,0
31.859907256,0.23,230,3,1.681,58.292,8.039,222347.911,0.74649409
32.120965104,0.219,219,2,6.358,246417.829,8.554,246486.872,0.261057848
32.861833618,0.515,515,3,2.196,75.187,8.773,323439.542,0.740868514
33.127237829,0.219,219,2,6.577,351185.324,9.288,351271.262,0.265404211
33.864715479,0.515,515,3,2.711,92.082,9.507,427171.691,0.73747765
34.134792072,0.219,219,2,6.796,429818.23,10.022,429921.063,0.270076593
34.898971791,0.124,124,2,6.92,451145.042,10.146,451247.875,0.764179719
34.867246039,0.515,515,3,3.226,108.977,10.365,519629.122,0
35.142934937,0.219,219,2,7.139,551294.72,10.88,551414.448,0.275688898
35.869820388,0.515,515,3,3.741,125.872,11.099,611571.648,0.726885451
36.148804748,0.219,219,2,7.358,611451.92,11.614,611588.543,0.27898436
37.155462368,0.219,219,2,7.577,611468.304,11.833,611604.927,1.00665762
37.162786694,0.174,174,2,7.751,611484.688,12.007,611621.311,0.007324326
37.164025468,0.188,188,2,7.939,611492.88,12.195,611629.503,0.001238774
36.873534268,0.515,515,3,4.256,142.767,12.317,612141.267,0
37.16609717,0.122,122,2,8.061,612004.644,12.968,612158.298,0.292562902
37.172602886,0.651,651,3,4.907,159.798,13.138,612182.874,0.006505716
37.208959674,0.17,170,2,8.231,612021.028,13.635,612183.367,0.036356788
37.210121414,0.184,184,2,8.415,612029.22,13.819,612199.751,0.00116174
37.209711306,0.497,497,3,5.404,176.675,13.941,612274.87,0
37.211473122,0.122,122,2,8.537,612104.339,14.32,612291.629,0.001761816
37.226134204,0.379,379,3,5.783,193.434,14.539,612308.013,0.014661082
38.157030096,0.219,219,2,8.756,612112.531,14.851,612332.893,0.930895892
39.158180451,0.219,219,2,8.975,612120.723,15.07,612341.085,1.001150355
39.526188632,0.176,176,2,9.151,612121.747,15.246,612342.109,0.368008181
39.556830936,0.154,154,2,9.305,612125.331,15.4,612345.693,0.030642304
39.698045262,0.17,170,2,9.475,612126.355,15.57,612346.717,0.141214326
39.734977473,0.172,172,2,9.647,612127.891,15.742,612348.253,0.036932211
40.069441374,0.177,177,2,9.824,612128.899,15.919,612349.261,0.334463901
40.096919658,0.176,176,2,10.0,612129.395,16.095,612349.757,0.027478284
40.115974246,1.53,1530,2,11.53,612138.547,17.625,612358.909,0.019054588
40.159344496,0.219,219,2,11.749,612146.739,17.844,612367.101,0.04337025
40.173694994,1.256,1256,2,13.005,612147.203,19.1,612367.565,0.014350498
40.1849004,0.171,171,2,13.176,612155.859,19.271,612376.221,0.011205406
41.160534312,0.219,219,2,13.395,612172.755,19.49,612393.117,0.975633912
41.53768765,1.575,1575,2,14.97,612172.755,21.065,612393.117,0.377153338
41.655922797,0.286,286,2,15.256,612186.067,21.351,612406.429,0.118235147
41.719915991,0.189,189,2,15.445,612198.355,21.54,612418.717,0.063993194
42.133267158,0.286,286,2,15.731,612212.691,21.826,612433.053,0.413351167
42.161786706,0.219,219,2,15.95,612220.883,22.045,612476.061,0.028519548
42.201404733,0.189,189,2,16.139,612231.123,22.234,612504.733,0.039618027
43.175106487,0.235,235,8,0.235,40.96,22.688,612537.501,0.973701754
43.257911849,0.102,102,8,0.337,49.152,22.79,612545.693,0.082805362
43.162879792,0.219,219,2,16.358,612247.507,22.941,619689.769,0
44.163907926,0.219,219,2,16.577,612263.891,23.16,633052.899,1.001028134
