time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.924179744,0.244,244,2,0.244,40.96,0.244,43.008,0
3.96680793,0.183,183,2,0.427,57.344,0.427,59.392,0.042628186
4.977334758,0.183,183,2,0.61,73.728,0.61,75.776,1.010526828
5.978824403,0.183,183,2,0.793,90.112,0.793,92.16,1.001489645
6.979756993,0.183,183,2,0.976,106.496,0.976,108.544,1.00093259
7.980577419,0.183,183,2,1.159,122.88,1.159,124.928,1.000820426
8.981473552,0.183,183,2,1.342,139.264,1.342,141.312,1.000896133
9.982289718,0.183,183,2,1.525,155.648,1.525,157.696,1.000816166
10.982976537,0.183,183,2,1.708,172.032,1.708,174.08,1.000686819
11.98379361,0.183,183,2,1.891,188.416,1.891,190.464,1.000817073
12.984505502,0.183,183,2,2.074,204.8,2.074,206.848,1.000711892
13.985192252,0.183,183,2,2.257,221.184,2.257,223.232,1.00068675
14.987610087,0.183,183,2,2.44,237.568,2.44,239.616,1.002417835
15.988280075,0.183,183,2,2.623,253.952,2.623,256.0,1.000669988
16.988943637,0.183,183,2,2.806,270.336,2.806,272.384,1.000663562
17.989623053,0.183,183,2,2.989,286.72,2.989,288.768,1.000679416
18.991350786,0.183,183,2,3.172,303.104,3.172,305.152,1.001727733
19.992082444,0.183,183,2,3.355,319.488,3.355,321.536,1.000731658
20.992720723,0.183,183,2,3.538,335.872,3.704,340.652,1.000638279
22.062392013,0.268,268,6,0.268,8.452,4.191,357.296,1.06967129
22.004907329,0.219,219,2,3.757,368.64,4.444,390.064,0
22.620531005,0.283,283,2,4.04,385.024,4.727,406.448,0.615623676
22.666973504,0.207,207,2,4.247,401.408,4.934,422.832,0.046442499
22.713473062,0.102,102,2,4.349,409.6,5.036,431.024,0.046499558
22.743109093,0.125,125,2,4.474,12643.028,5.161,12664.452,0.029636031
22.103735609,0.253,253,6,0.521,24.836,5.38,18239.753,0
23.115405249,0.291,291,6,0.812,25.123,5.671,18340.241,1.01166964
23.009704657,0.219,219,2,4.693,83898.125,5.905,83936.22,0
23.119074431,0.234,234,6,1.046,41.507,6.124,96974.137,0.109369774
24.120005555,0.405,405,6,1.451,41.908,6.529,97187.6,1.000931124
24.016760722,0.219,219,2,4.912,200515.936,6.759,200570.816,0
24.122074673,0.23,230,6,1.681,58.292,6.978,211265.054,0.105313951
25.026945327,0.219,219,2,5.131,319695.693,7.493,319767.468,0.904870654
25.123195765,0.515,515,6,2.196,75.187,7.712,329591.709,0.096250438
26.032879182,0.219,219,2,5.35,353578.248,8.227,353666.918,0.909683417
26.328781475,0.125,125,2,5.475,433820.605,8.352,433909.275,0.295902293
26.125324457,0.515,515,6,2.711,92.082,8.571,443744.025,0
27.03826625,0.219,219,2,5.694,514927.79,9.086,515033.355,0.912941793
27.127885886,0.515,515,6,3.226,108.977,9.305,515049.739,0.089619636
28.043459159,0.219,219,2,5.913,514935.982,9.82,515058.442,0.915573273
28.205999032,0.174,174,2,6.087,514960.558,9.994,515083.018,0.162539873
28.208676467,0.188,188,2,6.275,514968.75,10.182,515091.21,0.002677435
28.129355766,0.515,515,6,3.741,125.872,10.305,515099.402,0
28.212026405,0.123,123,2,6.398,515322.38,10.956,515461.871,0.082670639
28.214038602,0.651,651,6,4.392,142.903,11.126,515470.063,0.002012197
28.24564716,0.17,170,2,6.568,515338.764,11.623,515495.132,0.031608558
28.248152367,0.184,184,2,6.752,515346.956,11.807,515503.324,0.002505207
28.246703091,0.497,497,6,4.889,159.78,11.93,515545.405,0
28.250877155,0.123,123,2,6.875,515389.037,12.309,515562.164,0.004174064
28.266702282,0.379,379,6,5.268,176.539,12.528,515578.548,0.015825127
29.045824753,0.219,219,2,7.094,515405.421,12.84,515611.62,0.779122471
21.511871797,0.166,166,5,0.166,2.732,13.059,515619.812,0
30.56439342,0.176,176,5,0.342,3.756,13.235,515620.836,9.052521623
30.591967667,0.154,154,5,0.496,6.828,13.389,515623.908,0.027574247
30.722621432,0.17,170,5,0.666,7.852,13.559,515624.932,0.130653765
30.046852747,0.219,219,2,7.313,515421.805,13.731,515634.66,0
30.752566302,0.172,172,5,0.838,9.388,13.95,515642.852,0.705713555
31.097199792,0.177,177,5,1.015,10.396,14.127,515643.86,0.34463349
31.119420215,0.176,176,5,1.191,11.372,14.303,515644.836,0.022220423
31.138453292,1.53,1530,5,2.721,12.316,15.833,515645.78,0.019033077
31.190919391,1.256,1256,5,3.977,13.228,17.089,515646.692,0.052466099
31.048021191,0.219,219,2,7.532,515429.997,17.26,515655.764,0
31.200566358,0.171,171,5,4.148,22.508,17.479,515672.356,0.152545167
32.33491808,1.575,1575,5,5.723,22.508,19.054,515672.356,1.134351722
32.443672273,0.286,286,5,6.009,32.236,19.34,515682.084,0.108754193
32.049142703,0.219,219,2,7.751,515438.189,19.529,515686.18,0
32.707752432,0.189,189,5,6.198,36.332,19.748,515702.564,0.658609729
33.103484669,0.286,286,5,6.484,83.436,20.034,515749.668,0.395732237
33.050457954,0.219,219,2,7.97,515462.765,20.223,515759.908,0
34.20123006,0.235,235,8,0.235,32.768,20.677,515802.916,1.150772106
34.288770312,0.102,102,8,0.337,40.96,20.779,515811.108,0.087540252
34.051789618,0.219,219,2,8.189,515479.149,20.932,521567.651,0
35.053066945,0.219,219,2,8.408,515495.533,21.151,535987.949,1.001277327
36.054376679,0.219,219,2,8.627,515511.917,21.37,549879.663,1.001309734
37.056081644,0.219,219,2,8.846,515528.301,21.589,564828.545,1.001704965
38.057365117,0.219,219,2,9.065,515544.685,21.808,579513.135,1.001283473
39.05884666,0.219,219,2,9.284,515561.069,22.027,595320.966,1.001481543
40.060329251,0.219,219,2,9.503,515577.453,22.246,611591.308,1.001482591
41.061688852,0.219,219,2,9.722,515593.837,22.465,627663.431,1.001359601
42.062951372,0.219,219,2,9.941,515610.221,22.684,643603.408,1.00126252
34.319750299,0.153,153,8,0.49,135358.464,22.903,651276.068,0
33.117150583,0.189,189,5,6.673,85.484,23.056,651342.141,0
43.643363728,2.535,2535,5,9.208,94.7,25.591,651351.357,10.526213145
43.554392358,0.153,153,8,0.643,135432.729,27.166,651359.549,0
43.711250154,0.145,145,8,0.788,135440.921,27.311,651367.741,0.156857796
43.064163747,0.219,219,2,10.16,515626.605,27.464,655551.833,0
44.06552649,0.219,219,2,10.379,515642.989,27.683,671095.372,1.001362743
43.652336238,1.575,1575,5,10.783,94.7,27.902,685903.916,0
45.0667631,0.219,219,2,10.598,515659.373,30.415,685912.108,1.414426862
