time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.857921777,0.244,244,2,0.244,24.576,0.244,26.624,0
3.910109051,0.183,183,2,0.427,40.96,0.427,43.008,0.052187274
4.922388571,0.183,183,2,0.61,57.344,0.61,59.392,1.01227952
5.923951167,0.183,183,2,0.793,73.728,0.793,75.776,1.001562596
6.925264864,0.183,183,2,0.976,90.112,0.976,92.16,1.001313697
7.926511786,0.183,183,2,1.159,106.496,1.159,108.544,1.001246922
8.927385233,0.183,183,2,1.342,122.88,1.342,124.928,1.000873447
9.92812736,0.183,183,2,1.525,139.264,1.525,141.312,1.000742127
10.929104335,0.183,183,2,1.708,155.648,1.708,157.696,1.000976975
11.930245088,0.183,183,2,1.891,163.84,1.891,165.888,1.001140753
11.950856105,0.166,166,2,2.057,174.527,2.057,176.575,0.020611017
12.479375589,0.268,268,2,2.325,174.787,2.325,176.835,0.528519484
12.519516879,0.252,252,2,2.577,191.171,2.577,193.219,0.04014129
12.937392898,0.219,219,2,2.796,223.939,2.796,225.987,0.417876019
13.042824712,0.282,282,2,3.078,240.323,3.078,242.371,0.105431814
13.085797383,0.206,206,2,3.284,256.707,3.284,258.755,0.042972671
13.127224769,0.102,102,2,3.386,264.899,3.386,266.947,0.041427386
13.153793662,0.124,124,2,3.51,81080.37,3.51,81082.418,0.026568893
13.532399015,0.29,290,2,3.8,81477.094,3.8,81479.142,0.378605353
13.534983257,0.234,234,2,4.034,135599.073,4.034,135601.121,0.002584242
13.749040139,0.124,124,2,4.158,181395.854,4.158,181397.902,0.214056882
13.938808774,0.219,219,2,4.377,194915.533,4.377,194917.581,0.189768635
14.533355242,0.174,174,2,4.551,194931.917,4.551,194933.965,0.594546468
14.534393509,0.188,188,2,4.739,194940.109,4.739,194942.157,0.001038267
14.536080931,0.122,122,2,4.861,195141.553,4.861,195143.601,0.001687422
14.54127209,0.538,538,2,5.399,195142.087,5.399,195144.135,0.005191159
14.549222288,0.23,230,2,5.629,195158.471,5.629,195160.519,0.007950198
14.562557182,0.17,170,2,5.799,195191.239,5.799,195193.287,0.013334894
14.564866935,0.497,497,2,6.296,195191.732,6.296,195193.78,0.002309753
14.565904539,0.122,122,2,6.418,195242.005,6.418,195244.053,0.001037604
14.577270446,0.379,379,2,6.797,195258.764,6.797,195260.812,0.011365907
14.939979166,0.219,219,2,7.016,195275.148,7.016,195277.196,0.36270872
15.578875228,0.312,156,2,7.328,195308.22,7.328,195310.268,0.638896062
15.941097381,0.219,219,2,7.547,195324.604,7.547,195326.652,0.362222153
16.942334191,0.219,219,2,7.766,195349.18,7.766,195351.228,1.00123681
17.21911814,0.264,264,2,8.03,195365.564,8.03,195367.612,0.276783949
17.943565632,0.219,219,2,8.249,195381.948,8.249,195383.996,0.724447492
18.94588097,0.219,219,2,8.468,195406.524,8.468,195408.572,1.002315338
19.095969041,0.328,328,2,8.796,195431.1,8.796,195433.148,0.150088071
19.100355331,0.252,252,2,9.048,195439.292,9.048,195441.34,0.00438629
19.177566542,0.131,131,2,9.179,195455.676,9.179,195457.724,0.077211211
19.198782077,0.11,110,2,9.289,195472.06,9.289,195474.108,0.021215535
19.402537211,0.11,110,2,9.399,195488.444,9.399,195490.492,0.203755134
19.804537337,0.11,110,2,9.509,195504.828,9.509,195506.876,0.402000126
19.947128346,0.219,219,2,9.728,195521.212,9.728,195523.26,0.142591009
20.606314146,0.11,110,2,9.838,195529.404,9.838,195531.452,0.6591858
20.948163121,0.219,219,2,10.057,195545.788,10.057,195547.836,0.341848975
21.949007696,0.219,219,2,10.276,195562.172,10.276,195564.22,1.000844575
22.207953706,0.11,110,2,10.386,195578.556,10.386,195580.604,0.25894601
22.949847291,0.219,219,2,10.605,195594.94,10.605,195596.988,0.741893585
23.950719443,0.219,219,2,10.824,195611.324,10.824,195613.372,1.000872152
24.951560374,0.219,219,2,11.043,195627.708,11.043,195629.756,1.000840931
25.209549528,0.11,110,2,11.153,195644.092,11.153,195646.14,0.257989154
25.952425638,0.219,219,2,11.372,195660.476,11.372,195662.524,0.74287611
26.953279295,0.219,219,2,11.591,195676.86,11.591,195678.908,1.000853657
27.954570087,0.219,219,2,11.81,195693.244,11.81,195695.292,1.001290792
28.21125679,0.11,110,2,11.92,195709.628,11.92,195711.676,0.256686703
28.955620235,0.219,219,2,12.139,195726.012,12.139,195728.06,0.744363445
29.95647612,0.219,219,2,12.358,195742.396,12.358,195744.444,1.000855885
30.957993861,0.219,219,2,12.577,195758.78,12.577,195760.828,1.001517741
31.212943524,0.11,110,2,12.687,195775.164,12.687,195777.212,0.254949663
31.958984243,0.219,219,2,12.906,195791.548,12.906,195793.596,0.746040719
32.959939915,0.219,219,2,13.125,195807.932,13.125,195809.98,1.000955672
33.960839085,0.219,219,2,13.344,195824.316,13.344,195826.364,1.00089917
34.214776176,0.11,110,2,13.454,195840.7,13.454,195842.748,0.253937091
34.961755078,0.219,219,2,13.673,195857.084,13.673,195859.132,0.746978902
35.962645027,0.219,219,2,13.892,195873.468,13.892,195875.516,1.000889949
