time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.630694378,0.244,244,2,0.244,32.768,0.244,299.108,0
3.670535199,0.183,183,2,0.427,49.152,0.427,315.492,0.039840821
4.68105169,0.183,183,2,0.61,65.536,0.61,331.876,1.010516491
5.682107271,0.183,183,2,0.793,81.92,0.793,348.26,1.001055581
6.683010598,0.183,183,2,0.976,98.304,0.976,364.644,1.000903327
7.6838459,0.183,183,2,1.159,114.688,1.159,381.028,1.000835302
8.684652148,0.183,183,2,1.342,131.072,1.342,397.412,1.000806248
9.685396377,0.183,183,2,1.525,147.456,1.525,413.796,1.000744229
10.68611658,0.183,183,2,1.708,163.84,1.708,430.18,1.000720203
11.686970459,0.183,183,2,1.891,180.224,1.891,446.564,1.000853879
12.687668383,0.183,183,2,2.074,196.608,2.074,462.948,1.000697924
13.68838712,0.183,183,2,2.257,212.992,2.257,479.332,1.000718737
14.690324657,0.183,183,2,2.44,229.376,2.44,495.716,1.001937537
15.690968384,0.183,183,2,2.623,245.76,2.623,512.1,1.000643727
16.69163467,0.183,183,2,2.806,262.144,2.806,528.484,1.000666286
17.692295788,0.183,183,2,2.989,278.528,2.989,544.868,1.000661118
18.694044753,0.183,183,2,3.172,294.912,3.172,561.252,1.001748965
20.535465649,0.268,268,6,0.268,8.452,3.789,580.628,1.841420896
19.694766633,0.183,183,2,3.355,311.296,4.042,597.012,0
20.701902666,0.219,219,2,3.574,344.064,4.261,629.78,1.007136033
21.073465698,0.283,283,2,3.857,360.448,4.544,646.164,0.371563032
21.118574227,0.207,207,2,4.064,376.832,4.751,662.548,0.045108529
21.163368122,0.102,102,2,4.166,385.024,4.853,670.74,0.044793895
20.575757714,0.253,253,6,0.521,24.836,4.978,44531.791,0
21.588314129,0.291,291,6,0.812,25.123,5.269,44634.022,1.012556415
21.191301492,0.125,125,2,4.291,56162.849,5.503,56465.236,0
21.590925704,0.234,234,6,1.046,41.507,5.722,140744.77,0.399624212
22.591819254,0.405,405,6,1.451,41.908,6.127,140835.911,1.00089355
21.70405713,0.219,219,2,4.51,147467.317,6.357,147786.489,0
22.594059413,0.23,230,6,1.681,58.292,6.576,211146.326,0.890002283
22.708685302,0.219,219,2,4.729,218663.016,7.091,218999.083,0.114625889
23.595237286,0.515,515,6,2.196,75.187,7.31,289183.526,0.886551984
23.713410554,0.219,219,2,4.948,303798.875,7.825,304151.837,0.118173268
24.597144023,0.515,515,6,2.711,92.082,8.044,399310.064,0.883733469
24.718365095,0.219,219,2,5.167,412012.512,8.559,412382.369,0.121221072
25.7219094,0.219,219,2,5.386,443214.266,8.778,443584.123,1.003544305
