time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
3.873028975,0.244,244,2,0.244,24.576,0.244,224.843,0
3.90840466,0.183,183,2,0.427,40.96,0.427,241.227,0.035375685
4.918859886,0.183,183,2,0.61,57.344,0.61,257.611,1.010455226
5.920056225,0.183,183,2,0.793,73.728,0.793,273.995,1.001196339
6.921305603,0.183,183,2,0.976,90.112,0.976,290.379,1.001249378
7.922067333,0.183,183,2,1.159,106.496,1.159,306.763,1.00076173
8.92284744,0.183,183,2,1.342,122.88,1.342,323.147,1.000780107
9.923512693,0.183,183,2,1.525,139.264,1.525,339.531,1.000665253
10.924429965,0.183,183,2,1.708,155.648,1.708,355.915,1.000917272
11.92551536,0.183,183,2,1.891,172.032,1.891,372.299,1.001085395
12.926493177,0.183,183,2,2.074,188.416,2.074,388.683,1.000977817
13.927468706,0.183,183,2,2.257,204.8,2.257,405.067,1.000975529
14.928418595,0.183,183,2,2.44,221.184,2.44,421.451,1.000949889
15.929285914,0.183,183,2,2.623,237.568,2.623,437.835,1.000867319
16.930173984,0.183,183,2,2.806,253.952,2.806,454.219,1.00088807
17.931004194,0.183,183,2,2.989,270.336,2.989,470.603,1.00083021
18.933165495,0.183,183,2,3.172,286.72,3.172,486.987,1.002161301
19.934143095,0.183,183,2,3.355,303.104,3.355,503.371,1.0009776
20.935077706,0.183,183,2,3.538,319.488,3.704,522.487,1.000934611
21.935907511,0.183,183,2,3.721,335.872,3.887,538.871,1.000829805
22.196933316,0.268,268,2,3.989,336.132,4.155,539.131,0.261025805
22.234952584,0.253,253,2,4.242,368.9,4.408,571.899,0.038019268
22.746252645,0.283,283,2,4.525,385.284,4.691,588.283,0.511300061
22.79228752,0.207,207,2,4.732,401.668,4.898,604.667,0.046034875
22.834624132,0.102,102,2,4.834,409.86,5.0,612.859,0.042336612
22.861335507,0.125,125,2,4.959,9866.491,5.125,10069.49,0.026711375
22.943393576,0.219,219,2,5.178,78532.722,5.344,78735.721,0.082058069
23.246383066,0.291,291,2,5.469,78995.52,5.635,79198.519,0.30298949
23.249304224,0.234,234,2,5.703,135760.419,5.869,135963.418,0.002921158
23.47061047,0.125,125,2,5.828,195060.495,5.994,195263.494,0.221306246
23.94453154,0.219,219,2,6.047,195076.879,6.213,195279.878,0.47392107
24.243598642,0.174,174,2,6.221,195093.263,6.387,195296.262,0.299067102
24.24482341,0.188,188,2,6.409,195101.455,6.575,195304.454,0.001224768
24.246519785,0.123,123,2,6.532,195302.9,6.698,195505.899,0.001696375
24.251588379,0.541,541,2,7.073,195303.437,7.239,195506.436,0.005068594
24.267568665,0.23,230,2,7.303,195319.821,7.469,195522.82,0.015980286
24.274809197,0.851,170,2,8.154,195361.274,8.32,195564.273,0.007240532
24.27785966,0.123,123,2,8.277,195403.355,8.443,195606.354,0.003050463
24.289900132,0.379,379,2,8.656,195420.114,8.822,195623.113,0.012040472
24.945671299,0.219,219,2,8.875,195436.498,9.041,195639.497,0.655771167
25.291461667,0.312,156,2,9.187,195469.57,9.353,195672.569,0.345790368
21.667824662,0.166,166,6,0.166,2.732,9.572,195680.761,0
26.490140609,0.176,176,6,0.342,3.756,9.748,195681.785,4.822315947
26.559511268,0.154,154,6,0.496,7.34,9.902,195685.369,0.069370659
26.704209386,0.17,170,6,0.666,8.364,10.072,195686.393,0.144698118
25.946756413,0.219,219,2,9.406,195485.954,10.244,195695.609,0
26.745423619,0.172,172,6,0.838,9.388,10.463,195703.801,0.798667206
27.064148125,0.177,177,6,1.015,9.9,10.64,195704.313,0.318724506
27.086327116,0.176,176,6,1.191,10.412,10.816,195704.825,0.022178991
27.110056624,1.53,1530,6,2.721,11.404,12.346,195705.817,0.023729508
27.177921298,1.256,1256,6,3.977,11.884,13.602,195706.297,0.067864674
26.947906997,0.219,219,2,9.625,195502.338,13.773,195715.433,0
27.948921901,0.219,219,2,9.844,195518.722,13.992,195731.817,1.001014904
28.949864761,0.219,219,2,10.063,195535.106,14.211,195748.201,1.00094286
29.950738468,0.219,219,2,10.282,195551.49,14.43,195764.585,1.000873707
30.952531103,0.219,219,2,10.501,195567.874,14.649,195780.969,1.001792635
31.953442359,0.219,219,2,10.72,195584.258,14.868,195797.353,1.000911256
32.954353938,0.219,219,2,10.939,195600.642,15.087,195813.737,1.000911579
33.955099423,0.219,219,2,11.158,195617.026,15.306,195830.121,1.000745485
34.955836348,0.219,219,2,11.377,195633.41,15.525,195846.505,1.000736925
35.957176492,0.219,219,2,11.596,195649.794,15.744,195862.889,1.001340144
36.958208278,0.219,219,2,11.815,195666.178,15.963,195879.273,1.001031786
37.959480995,0.219,219,2,12.034,195682.562,16.182,195895.657,1.001272717
38.96040266,0.219,219,2,12.253,195698.946,16.401,195912.041,1.000921665
39.961322316,0.219,219,2,12.472,195715.33,16.62,195928.425,1.000919656
40.962216846,0.219,219,2,12.691,195731.714,16.839,195944.809,1.00089453
41.963229213,0.219,219,2,12.91,195748.098,17.058,195961.193,1.001012367
42.964126263,0.219,219,2,13.129,195764.482,17.277,195977.577,1.00089705
43.96503931,0.219,219,2,13.348,195780.866,17.496,195993.961,1.000913047
44.966123448,0.219,219,2,13.567,195797.25,17.715,196010.345,1.001084138
27.193329791,0.171,171,6,4.148,12.828,17.934,196018.537,0
45.967068748,0.219,219,2,13.786,195813.634,18.273,196027.641,18.773738957
46.968769546,0.219,219,2,14.005,195830.018,18.492,196044.025,1.001700798
47.969706853,0.219,219,2,14.224,195846.402,18.711,196060.409,1.000937307
48.970652347,0.219,219,2,14.443,195862.786,18.93,196076.793,1.000945494
46.080209802,0.339,339,6,4.487,22.444,19.149,196093.689,0
50.53784102,1.575,1575,6,6.062,22.444,20.724,196093.689,4.457631218
50.642578343,0.286,286,6,6.348,36.268,21.01,196107.513,0.104737323
49.971592324,0.219,219,2,14.662,195879.17,21.199,196127.993,0
50.714095146,0.189,189,6,6.537,48.556,21.418,196136.185,0.742502822
51.129048215,0.286,286,6,6.823,101.804,21.704,196189.433,0.414953069
50.972817214,0.219,219,2,14.881,195895.554,21.893,196199.673,0
52.072778108,0.23,230,8,0.23,40.96,22.342,196250.873,1.099960894
51.974049487,0.219,219,2,15.1,195911.938,22.596,200694.148,0
52.975220335,0.22,220,2,15.32,195944.706,22.816,223984.612,1.001170848
54.977434773,0.22,220,2,15.54,195961.09,23.036,236885.231,2.002214438
51.138367375,0.189,189,6,7.012,103.852,23.256,238413.102,0
55.978434613,0.22,220,2,15.76,195977.474,25.769,248730.73,4.840067238
56.979438654,0.22,220,2,15.98,195993.858,25.989,261697.422,1.001004041
57.980456693,0.22,220,2,16.2,196010.242,26.209,274994.479,1.001018039
58.981428613,0.22,220,2,16.42,196026.626,26.429,288489.755,1.00097192
59.982407557,0.22,220,2,16.64,196043.01,26.649,301522.52,1.000978944
60.983646443,0.22,220,2,16.86,196059.394,26.869,314290.993,1.001238886
61.984601365,0.22,220,2,17.08,196075.778,27.089,327720.196,1.000954922
52.185612651,0.152,152,9,0.152,135449.65,27.309,331692.768,0
56.096375374,2.513,2513,6,9.525,105.9,27.461,331786.743,3.910762723
63.381822038,2.538,2538,6,12.063,116.14,29.999,331796.983,7.285446664
52.15703903,0.102,102,8,0.332,73.728,31.574,331821.559,0
63.302202155,0.152,152,9,0.304,135543.625,31.804,331829.751,11.145163125
62.985586776,0.22,220,2,17.3,196092.162,31.956,337655.154,0
63.986628552,0.22,220,2,17.52,196108.546,32.176,351084.357,1.001041776
64.988942532,0.22,220,2,17.74,196124.93,32.396,363324.246,1.00231398
63.394850844,1.575,1575,6,13.638,116.14,32.616,364323.533,0
65.990255204,0.22,220,2,17.96,196141.314,35.129,376439.468,2.59540436
66.991661211,0.22,220,2,18.18,196157.698,35.349,389868.671,1.001406007
67.992884423,0.22,220,2,18.4,196174.082,35.569,403363.947,1.001223212
68.993874828,0.22,220,2,18.62,196190.466,35.789,416462.785,1.000990405
69.994773333,0.22,220,2,18.84,196206.85,36.009,429958.061,1.000898505
70.995718441,0.22,220,2,19.06,196223.234,36.229,442858.68,1.000945108
71.996823106,0.22,220,2,19.28,196239.618,36.449,456023.591,1.001104665
63.462304673,0.152,152,9,0.456,271194.281,36.669,467660.631,0
66.075953966,2.513,2513,6,16.151,132.524,36.821,467786.415,2.613649293
73.969856377,2.538,2538,6,18.689,165.292,39.359,467819.183,7.893902411
63.458928902,0.23,230,8,0.562,106.496,40.934,467843.759,0
73.915439528,0.152,152,9,0.608,271320.065,41.164,467851.951,10.456510626
72.997895857,0.22,220,2,19.5,196256.002,41.316,468259.368,0
73.998855786,0.22,220,2,19.72,196272.386,41.536,480895.695,1.000959929
75.000005025,0.22,220,2,19.94,196288.77,41.756,494060.606,1.001149239
73.978476038,1.575,1575,6,20.264,165.292,41.976,494861.674,0
76.000915727,0.22,220,2,20.16,196305.154,44.489,507357.126,2.022439689
77.001888807,0.22,220,2,20.38,196321.538,44.709,520125.599,1.00097308
78.002926179,0.22,220,2,20.6,196337.922,44.929,531374.393,1.001037372
79.004035848,0.22,220,2,20.82,196354.306,45.149,544473.231,1.001109669
80.005010442,0.22,220,2,21.04,196370.69,45.369,557770.288,1.000974594
81.005981115,0.22,220,2,21.26,196387.074,45.589,570274.469,1.000970673
82.006883919,0.22,220,2,21.48,196403.458,45.809,583241.161,1.000902804
83.007943039,0.22,220,2,21.7,196419.842,46.029,596472.145,1.00105912
73.995475873,0.152,152,9,0.76,406970.721,46.249,603748.367,0
76.073976941,2.513,2513,6,22.777,230.828,46.401,603842.342,2.078501068
84.629776633,2.538,2538,6,25.315,329.132,48.939,603940.646,8.555799692
73.993055619,0.23,230,8,0.792,131.072,50.514,603957.03,0
84.574889503,0.152,152,9,0.912,407064.696,50.744,603973.414,10.581833884
84.008914284,0.22,220,2,21.92,196436.226,50.896,608675.576,0
85.010268741,0.22,220,2,22.14,196444.638,51.116,621436.077,1.001354457
84.637290745,1.575,1575,6,26.89,329.132,51.336,622303.218,0
86.01137941,0.22,220,2,22.36,196461.022,53.849,634435.537,1.374088665
87.012911351,0.22,220,2,22.58,196477.406,54.069,647468.302,1.001531941
88.013881636,0.22,220,2,22.8,196493.79,54.289,660633.213,1.000970285
89.01499565,0.22,220,2,23.02,196510.174,54.509,673930.27,1.001114014
90.016765431,0.22,220,2,23.24,196526.558,54.729,686830.889,1.001769781
91.017794264,0.22,220,2,23.46,196542.942,54.949,700127.946,1.001028833
92.018643997,0.22,220,2,23.68,196559.326,55.169,713028.565,1.000849733
93.019526073,0.22,220,2,23.9,196575.71,55.389,726457.768,1.000882076
94.020522407,0.22,220,2,24.12,196592.094,55.609,739556.606,1.000996334
84.648711733,0.152,152,9,1.064,542649.279,55.829,739763.017,0
86.074814354,2.513,2513,6,29.403,361.9,55.981,739856.992,1.426102621
95.095948852,2.538,2538,6,31.941,411.052,58.519,739906.144,9.021134498
84.646230286,0.23,230,8,1.022,163.84,60.094,739922.528,0
95.041420576,0.152,152,9,1.216,542743.254,60.324,739938.912,10.39519029
95.021426109,0.22,220,2,24.34,196608.478,60.476,751780.453,0
95.103460682,1.575,1575,6,33.516,411.052,60.696,752449.375,0.082034573
96.022519859,0.22,220,2,24.56,196624.862,63.209,764647.767,0.919059177
97.023881724,0.22,220,2,24.78,196641.246,63.429,777548.386,1.001361865
98.024928449,0.22,220,2,25.0,196657.63,63.649,790779.37,1.001046725
99.025966273,0.22,220,2,25.22,196674.014,63.869,803679.989,1.001037824
100.026902475,0.22,220,2,25.44,196690.398,64.089,817109.192,1.000936202
101.02792421,0.22,220,2,25.66,196706.782,64.309,830406.249,1.001021735
102.028883658,0.22,220,2,25.88,196723.166,64.529,843835.452,1.000959448
103.029846682,0.22,220,2,26.1,196739.55,64.749,855414.611,1.000963024
104.030963888,0.22,220,2,26.32,196755.934,64.969,868843.814,1.001117206
95.117973883,0.152,152,9,1.368,678727.77,65.189,876120.036,0
96.07303534,2.513,2513,6,36.029,443.82,65.341,876186.109,0.955061457
105.642255679,2.538,2538,6,38.567,468.396,67.879,876210.685,9.569220339
95.113444994,0.23,230,8,1.252,204.8,69.454,876235.261,0
105.660462129,0.23,230,8,1.482,221.184,69.684,876251.645,10.547017135
105.582260648,0.152,152,9,1.52,678793.843,69.828,876259.837,0
105.031920355,0.22,220,2,26.54,196772.318,69.98,881001.184,0
105.649513468,1.575,1575,6,40.142,468.396,70.2,881537.96,0.617593113
106.033175562,0.22,220,2,26.76,196788.702,72.713,894033.412,0.383662094
107.034234092,0.22,220,2,26.98,196805.086,72.933,907000.104,1.00105853
108.035323206,0.22,220,2,27.2,196821.47,73.153,920231.088,1.001089114
109.036829954,0.22,220,2,27.42,196837.854,73.373,933329.926,1.001506748
110.037816952,0.22,220,2,27.64,196854.238,73.593,946494.837,1.000986998
111.038729154,0.22,220,2,27.86,196870.622,73.813,959593.675,1.000912202
112.039517733,0.22,220,2,28.08,196887.006,74.033,972626.44,1.000788579
113.041680626,0.22,220,2,28.3,196903.39,74.253,985791.351,1.002162893
114.042750578,0.22,220,2,28.52,196919.774,74.473,998691.97,1.001069952
115.043914866,0.22,220,2,28.74,196936.158,74.693,1012055.1,1.001164288
106.07335823,2.513,2513,6,42.655,533.932,74.913,1012393.657,0
105.664691201,0.152,152,9,1.672,814946.195,77.426,1012723.485,0
116.072814812,2.513,2513,6,45.168,599.468,77.578,1012880.114,10.408123611
116.15433151,2.538,2538,6,47.706,665.004,80.116,1012945.65,0.081516698
105.662745891,0.144,144,8,1.626,253.952,81.691,1012970.226,0
116.166748618,0.23,230,8,1.856,270.336,81.921,1012986.61,10.504002727
116.103919817,0.152,152,9,1.824,815102.824,82.065,1012994.802,0
116.046438825,0.22,220,2,28.96,196952.542,82.217,1024706.657,0
117.047644238,0.22,220,2,29.18,196960.734,82.437,1037599.084,1.001205413
118.048517831,0.22,220,2,29.4,196977.118,82.657,1050962.214,1.000873593
119.049535966,0.22,220,2,29.62,196993.502,82.877,1064127.125,1.001018135
120.050533939,0.22,220,2,29.84,197009.886,83.097,1076961.671,1.000997973
121.051416252,0.22,220,2,30.06,197026.27,83.317,1090258.728,1.000882313
122.052247171,0.22,220,2,30.28,197042.654,83.537,1103555.785,1.000830919
123.053165701,0.22,220,2,30.5,197059.038,83.757,1116918.915,1.00091853
124.054267206,0.22,220,2,30.72,197075.422,83.977,1130149.899,1.001101505
125.055159441,0.22,220,2,30.94,197091.806,84.197,1143314.81,1.000892235
116.159528254,1.575,1575,6,49.281,665.004,84.417,1143587.294,0
116.169960663,0.152,152,9,1.976,950759.435,86.93,1148839.829,0.010432409
126.073396368,2.513,2513,6,51.794,697.772,87.082,1148996.458,9.903435705
126.51534764,2.538,2538,6,54.332,730.54,89.62,1149029.226,0.441951272
116.168376859,0.144,144,8,2.0,303.104,91.195,1149053.802,0
126.530917323,0.23,230,8,2.23,319.488,91.425,1149070.186,10.362540464
126.465145854,0.152,152,9,2.128,950916.064,91.569,1149078.378,0
126.056064231,0.22,220,2,31.16,197108.19,91.721,1155366.292,0
127.05699953,0.22,220,2,31.38,197124.574,91.941,1168531.203,1.000935299
128.057867692,0.22,220,2,31.6,197140.958,92.161,1181167.53,1.000868162
129.058757054,0.22,220,2,31.82,197157.342,92.381,1194398.514,1.000889362
130.05960024,0.22,220,2,32.04,197173.726,92.601,1207100.914,1.000843186
131.061460497,0.22,220,2,32.26,197190.11,92.821,1220331.898,1.001860257
132.063881136,0.221,221,2,32.481,197206.494,93.042,1233034.298,1.002420639
133.064712912,0.221,221,2,32.702,197222.878,93.263,1246000.99,1.000831776
134.065519029,0.221,221,2,32.923,197239.262,93.484,1259364.12,1.000806117
135.066374135,0.221,221,2,33.144,197255.646,93.705,1272462.958,1.000855106
126.521514495,1.575,1575,6,55.907,730.54,93.926,1272603.296,0
126.534268845,0.152,152,9,2.28,1086566.72,96.439,1284909.258,0.01275435
136.067332149,0.221,221,2,33.365,197272.03,96.591,1285108.831,9.533063304
136.073887681,2.513,2513,6,58.42,746.924,96.812,1285117.023,0.00655553199999
137.076517464,2.538,2538,6,60.958,771.5,99.35,1285141.599,1.002629783
126.532667707,0.144,144,8,2.374,352.256,100.925,1285166.175,0
137.090375678,0.23,230,8,2.604,368.64,101.155,1285182.559,10.557707971
137.02515611,0.152,152,9,2.432,1086758.101,101.299,1285190.751,0
137.068216657,0.221,221,2,33.586,197288.414,101.451,1297821.673,0.043060547
138.069183857,0.221,221,2,33.807,197304.798,101.672,1311184.803,1.0009672
139.070085358,0.221,221,2,34.028,197321.182,101.893,1324283.641,1.000901501
140.070935289,0.221,221,2,34.249,197337.566,102.114,1337580.698,1.000849931
141.071761154,0.221,221,2,34.47,197353.95,102.335,1350415.244,1.000825865
142.072650514,0.221,221,2,34.691,197370.334,102.556,1363844.447,1.00088936
143.073427029,0.221,221,2,34.912,197386.718,102.777,1377009.358,1.000776515
144.074128017,0.221,221,2,35.133,197403.102,102.998,1390372.488,1.000700988
137.082224486,1.575,1575,6,62.533,771.5,103.219,1403595.28,0
145.074846318,0.221,221,2,35.354,197419.486,105.732,1403669.008,7.992621832
146.075719478,0.221,221,2,35.575,197435.87,105.953,1416635.7,1.00087316
137.094316767,0.152,152,9,2.584,1222408.757,106.174,1421070.783,0
146.073235747,2.513,2513,6,65.046,837.036,106.326,1421227.412,8.97891898
147.498555537,2.538,2538,6,67.584,935.34,108.864,1421325.716,1.42531979
137.092763047,0.144,144,8,2.748,393.216,110.439,1421342.1,0
147.510827848,0.23,230,8,2.978,417.792,110.669,1421366.676,10.418064801
