dst,size,time
10,16,1524634939563784
10,16,1524634939563814
10,16,1524634939563850
10,16,1524634939563884
10,16,1524634939563905
10,16,1524634939563934
10,16,1524634939563955
10,16,1524634939563978
10,16,1524634939564004
10,16,1524634939564036
10,0,1524634939564057
10,0,1524634939564078
10,0,1524634939564100
10,0,1524634939564120
10,0,1524634939564144
10,0,1524634939564166
10,0,1524634939564229
10,0,1524634939564251
10,16,1524634939564285
10,16,1524634939564317
10,16,1524634939564338
10,16,1524634939564361
10,16,1524634939564416
10,16,1524634939564437
10,16,1524634939564459
10,16,1524634939564482
10,16,1524634939564504
10,16,1524634939564526
10,16,1524634939564549
10,16,1524634939564571
10,16,1524634939564595
10,16,1524634939564616
10,16,1524634939564638
10,16,1524634939564669
10,16,1524634939564735
10,16,1524634939564767
10,16,1524634939564847
10,16,1524634939564883
10,16,1524634939564925
10,16,1524634939564954
10,16,1524634939564977
10,16,1524634939565002
10,16,1524634939565038
10,16,1524634939565070
10,16,1524634939565092
10,16,1524634939565114
10,16,1524634939565136
10,0,1524634939565175
10,0,1524634939565199
10,0,1524634939565221
10,0,1524634939565243
10,0,1524634939565265
10,0,1524634939565288
10,0,1524634939565310
10,0,1524634939565333
10,16,1524634939565355
10,16,1524634939565378
10,16,1524634939565401
10,16,1524634939565423
10,16,1524634939565455
10,16,1524634939565476
10,16,1524634939565496
10,16,1524634939565534
10,16,1524634939565703
10,16,1524634939565727
10,16,1524634939565759
10,16,1524634939565800
10,16,1524634939565837
10,16,1524634939565869
10,16,1524634939565891
10,16,1524634939565911
10,16,1524634939565937
10,16,1524634939565972
10,16,1524634939565994
10,16,1524634939566057
10,16,1524634939566097
10,16,1524634939566119
10,16,1524634939566141
10,16,1524634939566164
10,16,1524634939566381
10,16,1524634939566403
10,16,1524634939566424
10,16,1524634939566445
10,16,1524634939566472
10,16,1524634939566499
10,16,1524634939566611
10,16,1524634939566653
10,0,1524634939566680
10,0,1524634939566701
10,0,1524634939566736
10,0,1524634939566757
10,0,1524634939566778
10,0,1524634939566799
10,0,1524634939566819
