time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
11.9,11.9,0.0,0.0,0.0,0.0,4,0.0
14.2,2.3,1.576,0.104,1.576,0.104,4,1.576
15.9,1.7,4.353,3.182,4.353,3.182,4,2.777
16.2,0.1,9.116,5.311,9.116,5.311,4,4.763
16.5,0.3,10.61,5.587,10.61,5.587,4,1.494
16.95,0.15,41.683,91.995,41.683,91.995,4,31.073
17.4,0.35,45.243,95.331,45.243,95.331,4,3.56
18.2,18.2,60.771,120.951,0.0,0.0,3,15.528
18.3,0.1,62.78,126.183,2.009,5.232,3,2.009
21.85,21.85,390.44,82393.3,0.0,0.0,2,2811.88
22.35,22.35,444.457,95423.141,0.0,0.0,1,2.589
23.3,0.95,533.845,124230.151,0.104,0.184,1,0.104
26.95,9.5,821.478,219101.503,60.771,120.951,4,0.125
28.75,1.8,1032.614,260095.726,62.347,121.055,4,1.576
28.85,0.1,1048.147,262512.868,65.345,121.589,4,2.998
28.95,0.1,1062.869,265029.698,66.807,121.813,4,1.462
29.05,0.1,1082.313,267355.936,74.613,122.657,4,7.806
29.75,0.6,1177.016,282309.461,85.454,131.564,4,10.841
34.4,4.45,1769.713,366668.325,102.016,141.331,4,16.562
40.4,6.0,2504.838,482418.09,115.173,141.537,4,13.157
40.5,0.1,2519.689,484438.229,116.761,142.019,4,1.588
40.85,0.1,2585.277,491061.701,142.612,144.139,4,25.851
41.9,1.0,2703.677,508978.639,148.952,144.415,4,6.34
43.7,1.8,2923.757,544507.04,150.528,144.519,4,1.576
43.9,0.2,2945.378,548238.929,153.527,145.053,4,2.999
44.0,0.1,2952.485,548562.235,156.526,145.587,4,2.999
44.15,0.1,2965.897,549184.055,162.658,145.863,4,6.132
45.35,0.1,2985.497,554537.263,2813.889,554390.415,3,6.132
45.5,0.15,2985.549,554537.443,2813.941,554390.595,3,0.052
45.5,1.25,2985.549,554537.443,168.79,146.139,4,201.818
48.65,3.15,3190.388,657810.336,175.665,146.397,4,6.875
48.75,0.1,3196.822,658907.331,178.664,146.931,4,2.999
49.7,0.95,3212.504,659049.819,3015.759,658901.093,3,15.263
52.7,3.0,3212.556,659049.923,3015.811,658901.197,3,0.052
52.8,3.95,3212.764,659050.027,193.927,148.017,4,0.208
52.95,0.15,3238.612,659118.937,219.775,216.927,4,25.848
53.55,0.5,3299.276,659152.461,280.439,250.451,4,60.664
53.65,53.65,3340.392,659223.771,0.0,0.0,0,41.116
54.0,0.4,3340.99,659224.296,321.555,321.761,4,0.598
54.35,0.1,3406.829,659260.26,387.394,357.725,4,65.839
54.45,0.1,3417.966,659260.518,398.531,357.983,4,11.137
56.0,1.35,3442.034,659261.622,422.599,359.087,4,24.068
56.2,0.2,3445.113,659264.15,425.678,361.615,4,3.079
56.6,0.3,3476.152,659337.511,456.717,434.976,4,31.039
56.8,0.15,3520.566,659370.639,501.131,468.104,4,44.414
57.25,0.35,3537.819,659370.951,518.384,468.416,4,17.253
57.4,35.5,3578.519,659443.634,2.589,0.341,2,40.7
58.25,0.95,3580.449,659443.995,559.084,541.099,4,1.93
59.1,0.6,3646.378,659480.035,625.013,577.139,4,65.929
59.8,0.55,3670.45,659481.139,649.085,578.243,4,24.072
59.9,2.5,3696.032,659549.398,4.519,0.702,2,27.473
60.1,0.2,3701.233,659553.293,676.558,650.036,4,3.31
60.3,0.15,3745.332,659586.549,720.657,683.292,4,44.099
60.65,0.25,3761.096,659586.757,736.421,683.5,4,15.764
60.75,0.85,3761.818,659590.575,7.829,1.063,2,0.722
