time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
8.15,8.15,0.0,0.0,0.0,0.0,4,0.0
14.6,6.45,1.576,0.052,1.576,0.052,4,1.576
16.35,1.75,4.353,3.078,4.353,3.078,4,2.777
16.7,0.15,9.116,5.259,9.116,5.259,4,4.763
16.95,0.25,10.61,5.483,10.61,5.483,4,1.494
17.2,0.1,41.327,72.753,41.327,72.753,4,30.717
17.4,0.15,41.683,91.899,41.683,91.899,4,0.356
17.8,0.35,45.243,95.235,45.243,95.235,4,3.56
17.85,17.85,49.695,95.339,0.0,0.0,6,15.11
18.7,18.7,60.93,121.049,0.0,0.0,3,0.577
23.2,5.3,491.003,70915.039,60.353,98.18,4,5312.405
32.9,9.7,1564.819,245475.223,61.929,98.232,4,1.576
34.6,1.7,1763.732,276046.395,82.066,98.336,4,20.137
34.8,0.2,1790.495,278931.169,85.065,98.87,4,2.999
34.95,0.15,1809.482,281064.757,86.528,99.094,4,1.463
42.85,7.9,2597.514,409939.346,90.838,107.363,4,4.31
51.0,8.15,3496.332,547094.331,111.027,107.725,4,20.189
51.15,0.15,3515.392,549107.743,112.563,107.949,4,1.536
51.3,0.15,3534.639,551064.346,114.026,108.173,4,1.463
51.4,0.1,3550.959,552669.395,118.695,108.225,4,4.669
51.55,0.15,3571.534,554261.897,121.694,108.759,4,2.999
51.65,0.1,3583.865,555287.213,123.157,108.983,4,1.463
52.85,1.2,3731.638,567472.785,127.826,109.035,4,4.669
62.85,10.0,4677.429,733835.818,143.753,109.345,4,15.927
64.75,1.9,4818.205,784867.48,159.68,109.655,4,15.927
64.85,0.1,4829.888,787915.282,162.627,109.931,4,2.947
65.0,0.1,4848.029,793276.464,167.089,110.637,4,4.462
65.15,0.1,4868.548,798097.92,173.308,110.913,4,6.219
68.2,3.05,5170.709,880993.133,177.977,110.965,4,4.669
71.7,3.5,5480.826,982307.557,179.553,111.017,4,1.576
71.9,0.2,5496.277,984818.231,188.55,112.567,4,8.997
72.3,0.2,5522.962,987452.355,209.98,113.929,4,21.43
72.45,0.15,5524.425,987452.579,211.443,114.153,4,1.463
72.8,0.35,5529.409,987452.631,216.427,114.205,4,4.984
73.1,0.25,5556.863,987521.703,243.881,183.277,4,27.454
73.5,0.25,5596.531,987530.396,283.549,191.97,4,39.668
73.5,73.5,5596.531,987530.396,0.0,0.0,5,40.332
75.7,3.7,5637.749,987602.115,5312.405,987315.713,3,0.886
75.7,2.1,5637.749,987602.115,323.881,259.982,4,0.156
76.05,0.35,5691.405,987612.827,5312.561,987315.765,3,53.5
76.55,0.6,5691.457,987612.827,377.381,270.642,4,0.052
76.75,0.7,5697.474,987613.103,5312.613,987315.765,3,6.017
77.05,0.45,5697.682,987613.311,383.398,270.918,4,0.208
77.3,0.25,5699.671,987616.103,385.387,273.71,4,1.989
77.7,0.35,5730.712,987689.353,416.428,346.96,4,31.041
77.95,0.15,5766.008,987697.947,451.724,355.554,4,35.296
78.1,0.15,5770.122,987697.999,455.838,355.606,4,4.114
80.2,2.05,5810.614,987770.73,496.33,428.337,4,40.492
81.9,1.35,5864.019,987781.422,549.735,439.029,4,53.405
82.45,0.5,5870.037,987781.698,555.753,439.305,4,6.018
82.8,0.3,5897.822,987853.447,583.538,511.054,4,27.785
83.15,0.15,5953.683,987862.383,639.399,519.99,4,55.861
83.35,83.35,5959.804,987866.357,0.0,0.0,1,6.121
83.35,0.1,5959.804,987866.357,645.52,523.964,4,0.526
83.45,83.45,5985.553,987935.001,0.0,0.0,2,28.253
87.05,3.55,5989.108,987939.54,673.773,589.572,4,0.525
87.6,0.55,5996.414,987947.697,681.079,597.729,4,7.306
87.75,0.15,6005.461,987947.801,690.126,597.833,4,9.047
87.85,0.1,6009.941,987947.853,694.606,597.885,4,4.48
88.0,0.15,6015.328,987947.905,699.993,597.937,4,5.387
90.35,2.3,6029.588,987948.061,714.253,598.093,4,14.26
90.75,0.4,6033.995,987948.113,718.66,598.145,4,4.407
90.8,7.4,6060.984,988010.727,0.526,3.799,1,27.041
90.8,7.3,6060.984,988010.727,0.525,3.776,2,15.596
90.8,17.2,6060.984,988010.727,0.886,3.551,5,7.425
90.8,72.9,6060.984,988010.727,0.577,22.869,6,6.56
90.95,0.15,6083.642,988027.639,745.701,661.157,4,11.675
91.05,0.1,6096.352,988045.552,745.753,668.641,4,0.052
91.05,0.1,6096.352,988045.552,7.446,10.099,5,6.289
91.15,0.1,6108.904,988053.92,752.042,670.219,4,0.271
92.3,1.15,6137.684,988124.015,780.822,740.314,4,28.78
92.4,0.1,6145.144,988132.172,788.282,748.471,4,7.46
92.8,0.3,6178.7,988132.536,821.838,748.835,4,33.556
93.25,0.45,6183.583,988132.794,826.721,749.093,4,4.883
93.5,2.45,6188.13,988132.846,16.122,14.571,1,4.547
93.5,0.25,6188.13,988132.846,831.268,749.145,4,11.098
93.5,2.45,6188.13,988132.846,7.717,11.083,5,77.187
93.5,2.45,6188.13,988132.846,12.252,31.333,6,3.028
93.55,2.5,6219.803,988198.767,7.95,10.741,2,10.385
94.85,1.2,6293.174,988311.302,908.455,894.183,4,3.346
95.0,0.1,6314.188,988319.616,929.469,902.497,4,21.014
95.2,0.15,6328.755,988319.772,944.036,902.653,4,14.567
96.0,0.8,6333.302,988319.824,948.583,902.705,4,4.547
96.05,2.4,6338.005,988359.639,27.22,25.752,1,66.397
96.05,2.4,6338.005,988359.639,11.296,17.019,2,5.469
96.05,2.4,6338.005,988359.639,10.745,17.257,5,2.826
96.05,2.4,6338.005,988359.639,22.637,41.118,6,7.685
97.3,1.1,6426.272,988424.212,1014.98,979.123,4,10.593
97.45,0.1,6438.338,988432.422,1027.046,987.333,4,12.066
98.15,0.65,6466.984,988432.786,1055.692,987.697,4,28.646
98.25,0.1,6468.56,988432.838,1057.268,987.749,4,1.576
98.3,2.15,6498.437,988495.443,32.689,29.869,1,77.339
98.3,2.15,6498.437,988495.443,14.122,23.245,2,10.526
98.3,2.05,6498.437,988495.443,18.43,23.955,5,2.982
98.3,2.15,6498.437,988495.443,33.23,52.047,6,3.028
99.25,0.85,6572.82,988538.575,1134.607,1060.068,4,10.385
99.45,0.2,6584.775,988546.785,1146.562,1068.278,4,11.955
100.15,0.55,6612.983,988547.097,1174.77,1068.59,4,28.208
100.45,0.3,6617.53,988547.149,1179.317,1068.642,4,4.547
100.5,2.1,6641.49,988609.374,43.215,40.634,1,65.272
100.5,2.15,6641.49,988609.374,17.104,29.523,2,10.526
100.5,2.1,6641.49,988609.374,21.458,30.025,5,2.618
100.5,2.1,6641.49,988609.374,43.615,62.352,6,2.82
101.5,0.9,6708.735,988645.027,1244.589,1133.414,4,9.969
101.65,0.15,6721.475,988653.237,1257.329,1141.624,4,12.74
101.75,0.1,6726.022,988653.289,1261.876,1141.676,4,4.547
102.6,0.7,6749.664,988653.549,1285.518,1141.936,4,23.642
102.75,0.15,6754.211,988653.601,1290.065,1141.988,4,4.547
102.8,2.2,6779.593,988715.877,53.741,51.815,1,74.41
102.8,2.2,6779.593,988715.877,19.722,35.645,2,10.526
102.8,2.25,6779.593,988715.877,24.278,35.939,5,3.138
102.8,2.2,6779.593,988715.877,53.584,72.241,6,3.132
104.0,1.1,6856.114,988793.653,1364.475,1248.622,4,10.697
104.1,0.1,6863.56,988801.811,1371.921,1256.78,4,7.446
104.2,0.1,6872.8,988801.915,1381.161,1256.884,4,9.24
105.05,2.15,6896.913,988802.175,64.267,62.528,1,24.113
105.05,0.8,6896.913,988802.175,1405.274,1257.144,4,10.318
105.05,2.15,6896.913,988802.175,27.41,42.061,5,70.414
105.05,2.15,6896.913,988802.175,64.281,82.754,6,3.444
105.1,2.2,6930.021,988865.771,22.86,41.715,2,10.801
106.35,1.1,6994.976,988901.495,1475.688,1322.838,4,3.086
107.3,0.8,7056.84,988942.103,1537.552,1363.446,4,61.864
107.4,2.15,7061.387,988942.155,74.585,73.553,1,4.547
107.4,2.25,7061.387,988942.155,25.946,47.993,2,10.37
107.4,0.1,7061.387,988942.155,1542.099,1363.498,4,2.358
107.4,2.25,7061.387,988942.155,30.854,48.235,5,65.617
107.4,2.2,7061.387,988942.155,75.082,92.903,6,2.508
107.6,0.1,7152.053,989039.532,1607.716,1429.589,4,9.813
107.65,30.9,7177.591,989128.759,5312.821,987315.973,3,25.538
107.8,0.1,7180.797,989130.359,5316.027,987317.573,3,3.206
137.4,29.8,201092.685,992830.243,1633.254,1518.816,4,311365.591
146.0,38.5,256287.745,993902.889,33.362,53.941,5,0.052
146.9,0.9,261932.585,994017.095,33.414,54.115,5,0.052
152.85,15.45,353384.631,994813.802,1633.306,1518.868,4,55856.674
155.5,2.6,371008.537,995163.486,1638.241,1519.126,4,4.935
155.9,0.4,373838.119,995217.639,1639.703,1519.35,4,1.462
156.05,0.1,374415.091,995230.346,316681.618,993283.3,3,5.528
156.3,0.4,375993.16,995262.322,1645.231,1519.626,4,2553.917
156.4,0.1,376607.902,995275.125,1646.693,1519.85,4,1.462
