time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
13.95,13.95,0.0,0.0,0.0,0.0,4,0.0
18.05,4.1,2.725,3.084,2.725,3.084,4,2.725
18.55,0.35,5.936,4.886,5.936,4.886,4,3.211
18.95,0.35,7.54,5.222,7.54,5.222,4,1.604
19.35,0.4,9.034,5.446,9.034,5.446,4,1.494
19.5,0.15,12.109,5.774,12.109,5.774,4,3.075
19.75,0.25,13.607,5.998,13.607,5.998,4,1.498
20.05,0.3,16.461,69.451,16.461,69.451,4,2.854
20.6,0.5,19.707,69.936,19.707,69.936,4,3.246
20.9,0.25,41.899,70.352,41.899,70.352,4,22.192
21.85,0.9,42.257,99.204,42.257,99.204,4,0.358
21.9,21.9,43.866,99.683,0.0,0.0,5,1.609
22.2,0.25,44.162,99.847,0.296,0.164,5,0.296
22.25,0.4,44.391,102.851,43.866,99.683,4,0.229
23.0,0.75,45.916,103.075,45.391,99.907,4,1.525
23.05,23.05,47.525,103.554,0.0,0.0,6,1.609
23.2,0.15,47.637,103.614,0.112,0.06,6,0.112
24.95,1.75,47.821,103.718,0.296,0.164,6,0.184
25.0,2.0,48.102,126.423,47.0,100.386,4,0.281
27.5,27.5,49.627,126.647,0.0,0.0,3,1.525
27.75,0.25,49.798,126.759,0.171,0.112,3,0.171
28.45,0.6,51.6,131.827,1.973,5.18,3,1.802
29.1,0.1,62.772,2213.015,13.145,2086.368,3,11.172
29.35,0.15,63.188,2214.327,13.561,2087.68,3,0.416
29.55,0.15,63.292,2214.431,13.665,2087.784,3,0.104
29.8,0.15,63.604,2214.743,13.977,2088.096,3,0.312
31.2,0.1,80.088,8884.873,30.461,8758.226,3,16.484
31.45,6.45,84.092,10615.777,48.525,100.61,4,10.504
31.9,0.1,110.833,13502.14,40.965,13375.183,3,20.241
32.95,0.15,137.145,28573.229,67.277,28446.272,3,26.312
33.2,0.15,137.561,28577.485,67.693,28450.528,3,0.416
33.45,0.2,137.821,28577.745,67.953,28450.788,3,0.26
33.6,0.1,137.977,28577.901,68.109,28450.944,3,0.156
33.7,0.1,138.029,28577.953,68.161,28450.996,3,0.052
34.35,0.65,138.237,28578.161,68.369,28451.204,3,0.208
34.35,2.9,138.237,28578.161,68.766,100.92,4,0.156
34.5,0.1,139.969,28578.421,68.525,28451.36,3,1.576
34.6,0.1,140.021,28578.473,68.577,28451.412,3,0.052
34.8,0.2,140.229,28578.681,68.785,28451.62,3,0.208
35.6,0.2,158.065,38640.026,86.621,38512.965,3,17.836
35.8,0.15,158.481,38642.95,87.037,38515.889,3,0.416
36.7,0.1,179.905,51015.616,108.461,50888.555,3,21.424
36.8,0.1,180.009,51016.36,108.565,50889.299,3,0.104
36.95,0.15,180.269,51017.132,108.825,50890.071,3,0.26
37.25,0.25,180.529,51017.392,109.085,50890.331,3,0.26
37.4,0.15,180.685,51017.548,109.241,50890.487,3,0.156
37.7,0.25,180.893,51017.756,109.449,50890.695,3,0.208
38.55,0.15,204.345,64886.611,132.901,64759.55,3,23.452
38.8,0.15,204.761,64888.691,133.317,64761.63,3,0.416
39.0,0.2,204.865,64888.795,133.421,64761.734,3,0.104
39.25,0.15,205.177,64889.107,133.733,64762.046,3,0.312
39.85,0.6,205.281,64889.211,133.837,64762.15,3,0.104
40.15,0.15,205.593,64889.523,134.149,64762.462,3,0.312
41.65,1.5,205.697,64889.627,134.253,64762.566,3,0.104
41.95,0.15,206.009,64889.939,134.565,64762.878,3,0.312
42.0,7.65,206.321,64921.199,70.342,101.024,4,23.58
45.45,2.25,249.83,77321.343,158.145,77193.972,3,20.241
46.5,1.05,249.934,77321.395,158.249,77194.024,3,0.104
46.75,0.25,249.986,77321.499,158.301,77194.128,3,0.052
46.85,0.1,250.038,77321.551,158.353,77194.18,3,0.052
47.15,0.25,250.142,77321.603,158.457,77194.232,3,0.104
47.25,0.1,250.246,77321.655,158.561,77194.284,3,0.104
48.45,1.2,250.298,77321.655,158.613,77194.284,3,0.052
49.35,7.35,250.662,77322.019,90.583,101.334,4,0.364
50.95,1.6,252.238,77322.123,92.159,101.438,4,1.576
52.6,1.65,272.479,77322.433,112.4,101.748,4,20.241
52.7,0.1,277.788,77322.485,117.709,101.8,4,5.309
52.8,0.1,283.097,77322.537,123.018,101.852,4,5.309
52.9,0.1,291.901,77322.641,131.822,101.956,4,8.804
53.2,31.0,309.509,77322.849,0.525,3.168,5,17.608
56.8,3.8,5900.059,77375.792,149.43,102.164,4,5590.55
56.9,31.95,5924.629,77436.51,0.577,22.869,6,26.272
57.15,0.25,5928.393,77445.189,175.702,165.861,4,45.293
57.25,57.25,5973.023,77448.181,0.0,0.0,0,1.399
57.3,3.55,5973.083,77448.293,5591.075,56.111,5,0.06
57.35,0.1,5973.551,77448.548,0.06,0.112,0,0.468
57.35,0.15,5973.551,77448.548,45.87,30.852,6,0.398
57.4,57.4,6091.201,77449.974,0.0,0.0,2,6768.97
57.6,0.15,7694.745,77759.517,0.458,0.917,0,0.486
