time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
3.65,3.65,0.0,0.0,0.0,0.0,4,0.0
14.35,10.7,1.576,0.052,1.576,0.052,4,1.576
16.1,1.75,4.353,3.078,4.353,3.078,4,2.777
16.45,0.15,9.116,5.259,9.116,5.259,4,4.763
16.7,0.25,10.61,5.483,10.61,5.483,4,1.494
17.2,0.2,41.735,91.949,41.735,91.949,4,31.125
17.65,0.4,45.295,95.285,45.295,95.285,4,3.56
18.45,18.45,60.719,120.809,0.0,0.0,3,15.424
18.55,0.1,62.728,126.041,2.009,5.232,3,2.009
18.65,1.0,72.4,1422.962,60.719,120.809,4,4341.545
31.3,12.65,1458.947,216095.495,62.295,120.861,4,1.576
31.45,0.15,1478.742,218522.349,65.294,121.395,4,2.999
31.6,0.15,1498.561,220880.949,66.757,121.619,4,1.463
33.05,1.45,1678.277,246925.262,75.875,130.094,4,9.118
33.7,0.65,1776.102,258237.112,96.064,130.404,4,20.189
43.05,9.35,2740.302,413367.236,97.64,130.456,4,1.576
44.95,1.9,2988.251,443128.278,117.829,130.766,4,20.189
45.15,0.15,3017.149,445791.07,120.828,131.3,4,2.999
45.3,0.15,3035.193,447525.462,120.88,131.3,4,0.052
53.3,8.0,4007.114,548122.621,125.549,131.352,4,4.669
53.65,0.35,4041.731,553956.337,128.547,131.886,4,2.998
53.75,0.1,4049.745,555899.248,130.009,132.11,4,1.462
57.6,3.85,4349.306,639968.288,134.678,132.162,4,4.669
57.85,0.2,4372.857,643889.812,146.673,134.298,4,11.995
60.05,2.05,4514.908,705217.827,171.409,135.402,4,24.736
60.25,0.2,4520.961,705218.999,177.407,136.47,4,5.998
60.35,0.1,4523.887,705219.447,180.333,136.918,4,2.926
60.5,0.1,4533.434,705219.616,189.88,137.087,4,9.547
60.75,0.25,4559.438,705288.571,215.884,206.042,4,26.004
60.95,0.1,4595.071,705297.212,251.517,214.683,4,35.633
61.05,61.05,4598.946,705297.264,0.0,0.0,2,3.875
61.05,0.1,4598.946,705297.264,255.392,214.735,4,3.603
61.25,1.2,4643.665,705369.539,4343.554,705082.529,3,41.116
62.0,0.9,4644.081,705369.747,296.508,286.124,4,0.416
62.55,0.4,4697.579,705380.355,350.006,296.732,4,53.498
63.0,0.3,4731.277,705451.988,383.704,368.365,4,33.698
63.25,0.15,4782.401,705460.892,434.828,377.269,4,51.124
63.35,0.1,4786.276,705460.944,438.703,377.321,4,3.875
63.65,0.25,4826.82,705533.089,479.247,449.466,4,40.544
64.05,2.8,4828.396,705533.193,4343.97,705082.789,3,1.576
64.25,0.2,4828.5,705533.245,4344.074,705082.841,3,0.104
64.8,1.15,4828.604,705533.349,480.823,449.518,4,0.104
65.05,0.2,4839.057,705542.109,491.276,458.278,4,10.453
66.0,0.7,4881.955,705544.041,534.174,460.21,4,42.898
66.45,0.3,4915.498,705616.065,567.717,532.234,4,33.543
66.7,0.15,4950.827,705624.691,603.046,540.86,4,35.329
66.9,0.2,4954.789,705624.743,607.008,540.912,4,3.962
67.05,5.9,4958.84,705631.561,3.603,0.886,2,37.84
69.95,2.8,4993.155,705708.832,644.848,621.202,4,0.526
70.2,0.25,5005.028,705717.041,656.721,629.411,4,11.873
72.25,1.95,5033.548,705717.353,685.241,629.723,4,28.52
72.55,0.3,5037.955,705717.405,689.648,629.775,4,4.407
72.6,72.6,5064.944,705780.072,0.0,0.0,1,27.041
72.6,5.5,5064.944,705780.072,4.129,4.685,2,9.158
72.6,72.6,5064.944,705780.072,0.0,0.0,5,4.634
72.6,72.6,5064.944,705780.072,0.0,0.0,6,12.595
72.8,0.2,5093.125,705804.741,716.689,692.84,4,11.02
72.85,0.15,5114.763,705823.198,8.763,9.904,2,40.6
72.95,0.1,5143.317,705842.339,757.289,715.747,4,0.314
73.7,0.7,5192.719,705912.83,806.691,786.238,4,49.402
74.4,0.5,5233.648,705921.351,847.62,794.759,4,40.929
74.5,1.65,5238.195,705921.403,9.158,12.345,1,4.547
74.5,0.1,5238.195,705921.403,852.167,794.811,4,7.234
