time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
2.35,2.35,2.718,0.104,2.718,0.104,4,2.718
14.2,11.85,4.294,0.208,4.294,0.208,4,1.576
16.0,1.8,7.071,3.292,7.071,3.292,4,2.777
16.35,0.15,11.834,5.482,11.834,5.482,4,4.763
16.6,0.25,13.328,5.706,13.328,5.706,4,1.494
16.85,0.1,21.437,8.072,21.437,8.072,4,8.109
17.0,0.1,44.045,70.453,44.045,70.453,4,22.608
17.2,0.2,44.403,99.305,44.403,99.305,4,0.358
17.3,17.3,47.963,103.063,0.0,0.0,2,3.56
17.35,0.1,48.127,103.359,47.963,103.063,4,3.115
17.65,0.3,52.654,103.692,49.539,103.167,4,1.576
17.65,17.65,52.654,103.692,0.0,0.0,6,3.03
18.55,18.55,56.261,127.234,0.0,0.0,3,0.577
19.0,0.1,68.434,2239.278,12.173,2112.044,3,12.173
19.25,0.1,68.85,2240.974,12.589,2113.74,3,0.416
20.6,0.1,111.178,27723.906,54.917,27596.672,3,42.328
20.85,0.1,111.594,27726.114,55.333,27598.88,3,0.416
20.95,0.1,111.646,27726.166,55.385,27598.932,3,0.052
21.05,0.1,111.698,27726.218,55.437,27598.984,3,0.052
21.3,0.1,112.01,27726.53,55.749,27599.296,3,0.312
22.3,0.15,139.154,44061.588,82.893,43934.354,3,27.144
23.05,0.2,156.678,53984.92,100.417,53857.686,3,17.524
23.25,0.15,157.094,53987.256,100.833,53860.022,3,0.416
23.5,0.2,157.25,53987.412,100.989,53860.178,3,0.156
23.7,23.7,157.51,53987.672,0.0,0.0,1,0.26
23.7,0.15,157.51,53987.672,101.249,53860.438,3,0.06
23.8,0.1,157.726,53987.94,0.06,0.112,1,0.156
24.4,0.65,157.83,53988.124,101.405,53860.594,3,0.104
24.6,0.15,158.09,53988.384,101.665,53860.854,3,0.26
24.95,0.35,158.246,53988.54,101.821,53861.01,3,0.156
25.0,1.2,159.598,54323.468,0.164,0.296,1,19.604
