time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
2.25,2.25,0.0,0.0,0.0,0.0,4,0.0
14.3,12.05,1.576,0.052,1.576,0.052,4,1.576
16.05,1.75,4.353,3.084,4.353,3.084,4,2.777
16.35,0.1,9.116,5.222,9.116,5.222,4,4.763
16.6,0.25,10.61,5.446,10.61,5.446,4,1.494
16.95,0.2,18.719,7.812,18.719,7.812,4,8.109
17.1,0.1,41.327,70.194,41.327,70.194,4,22.608
17.25,0.15,41.685,99.046,41.685,99.046,4,0.358
17.7,0.35,46.821,102.856,46.821,102.856,4,5.136
18.5,18.5,50.269,126.234,0.0,0.0,3,3.448
19.05,0.15,63.074,2106.731,12.805,1980.497,3,12.805
19.2,0.1,63.49,2107.915,13.221,1981.681,3,0.416
21.5,0.1,135.042,42595.075,84.773,42468.841,3,71.552
21.75,0.1,135.406,42597.103,85.137,42470.869,3,0.364
22.0,0.15,135.562,42597.259,85.293,42471.025,3,0.156
22.2,0.15,135.666,42597.363,85.397,42471.129,3,0.104
22.3,0.1,135.718,42597.415,85.449,42471.181,3,0.052
23.95,0.15,189.284,74920.694,139.015,74794.46,3,53.566
24.2,0.2,189.544,74921.338,139.275,74795.104,3,0.26
24.4,0.2,189.596,74921.39,139.327,74795.156,3,0.052
24.6,0.15,189.804,74921.598,139.535,74795.364,3,0.208
25.3,0.7,189.856,74921.65,139.587,74795.416,3,0.052
25.5,0.15,190.064,74921.858,139.795,74795.624,3,0.208
26.35,0.85,190.116,74921.91,139.847,74795.676,3,0.052
27.7,0.9,196.686,77991.583,146.417,77865.349,3,6.57
28.65,0.95,196.79,77991.583,146.521,77865.349,3,0.104
29.65,1.0,196.894,77991.635,146.625,77865.401,3,0.104
30.3,12.55,197.206,77991.843,50.269,126.234,4,0.312
30.4,0.1,201.695,77991.895,54.758,126.286,4,4.489
30.55,0.15,206.097,77991.947,59.16,126.338,4,4.402
30.7,0.1,229.747,77992.207,82.81,126.598,4,23.65
30.75,1.1,234.149,77992.311,146.937,77865.661,3,4.402
32.25,1.55,234.357,77992.467,87.212,126.65,4,0.208
32.65,1.8,235.933,77992.519,147.145,77865.817,3,1.576
33.6,1.35,236.141,77992.727,88.788,126.702,4,0.208
35.95,35.95,237.747,77992.985,0.0,0.0,1,1.606
35.95,35.95,237.747,77992.985,0.0,0.0,5,1612.825
39.35,5.75,8580.06,78075.149,90.394,126.96,4,6729.488
39.4,3.25,8588.759,78136.007,1612.825,20.028,1,28.458
39.5,39.5,9881.394,78152.552,0.0,0.0,2,3940.442
39.5,3.0,9881.394,78152.552,6729.488,62.136,5,1548.801
39.55,39.55,10761.782,78160.772,0.0,0.0,6,1.664
39.7,0.1,11976.669,78855.575,6731.152,62.612,5,1399.178
40.65,0.5,15498.991,81933.217,5553.267,1137.982,1,0.388
41.9,2.2,15512.459,85320.231,6731.54,62.716,5,13.468
42.8,0.5,15552.331,95880.135,6771.412,10622.62,5,39.872
43.6,4.15,17597.414,95900.399,118.852,192.223,4,2045.083
46.15,3.15,17657.315,95901.125,8816.495,10642.884,5,59.901
46.2,5.15,17657.44,95901.431,5566.735,4524.996,1,3576.499
47.25,3.55,25239.057,95981.586,178.753,192.949,4,4005.243
49.15,1.9,25240.633,95981.638,180.329,193.001,4,1.576
49.2,2.55,25266.429,96047.908,9571.978,4568.55,1,38.859
49.2,9.0,25266.429,96047.908,1548.801,1792.516,2,21.495
49.2,2.6,25266.429,96047.908,12392.994,10679.791,5,48.64
49.2,9.0,25266.429,96047.908,1399.178,881.755,6,1.089
49.35,0.1,25291.355,96738.931,12394.083,10679.843,5,114.76
49.65,0.25,25321.649,98619.773,12394.809,10679.843,5,0.726
50.0,0.1,25469.09,101461.001,1513.938,3498.229,6,9.856
50.05,0.15,25539.382,101625.329,1597.441,2852.883,2,1293.736
50.15,0.1,26516.466,101919.645,9593.473,6061.26,1,480.454
50.3,0.1,26960.656,102817.964,2077.895,2854.755,2,5.2
51.4,2.2,27827.804,103396.138,219.188,261.571,4,572.356
51.65,0.1,27832.193,103396.81,223.577,262.243,4,4.389
52.15,1.85,27839.508,103397.93,12404.665,12157.554,5,7.315
52.35,0.1,29115.07,103411.84,13680.227,12171.464,5,1275.562
52.75,0.15,32093.966,103448.376,16659.123,12208.0,5,2978.896
57.25,5.55,33340.404,103461.39,230.892,263.363,4,1246.438
