time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
13.95,13.95,0.0,0.0,0.0,0.0,4,0.0
14.05,0.1,1.576,0.104,1.576,0.104,4,1.576
18.95,4.9,4.353,3.24,4.353,3.24,4,2.777
19.05,0.1,4.465,3.3,4.465,3.3,4,0.112
19.15,0.1,5.963,3.576,5.963,3.576,4,1.498
19.25,0.1,7.46,4.99,7.46,4.99,4,1.497
19.7,0.45,7.564,5.042,7.564,5.042,4,0.104
20.1,0.4,9.168,5.378,9.168,5.378,4,1.604
20.55,0.45,10.662,5.602,10.662,5.602,4,1.494
20.75,0.15,13.659,6.05,13.659,6.05,4,2.997
21.1,0.3,16.305,69.503,16.305,69.503,4,2.646
21.5,0.35,19.551,69.988,19.551,69.988,4,3.246
21.7,0.2,25.099,70.092,25.099,70.092,4,5.548
21.85,0.15,41.743,70.404,41.743,70.404,4,16.644
22.35,0.45,42.153,99.308,42.153,99.308,4,0.41
23.55,1.05,45.817,103.186,45.817,103.186,4,3.664
23.6,23.6,47.426,103.665,0.0,0.0,6,1.609
24.85,1.25,47.722,103.829,0.296,0.164,6,0.296
24.9,1.35,48.003,126.534,47.426,103.665,4,0.281
28.2,28.2,49.528,126.758,0.0,0.0,3,1.525
28.3,0.1,49.699,126.87,0.171,0.112,3,0.171
28.95,4.05,51.553,131.99,48.951,103.889,4,1.854
29.6,1.25,53.129,132.094,2.025,5.232,3,1.576
29.7,0.1,53.577,132.334,2.473,5.472,3,0.448
30.35,0.1,63.937,2177.226,12.833,2050.364,3,10.36
30.6,0.15,64.353,2179.306,13.249,2052.444,3,0.416
30.7,0.1,64.457,2179.41,13.353,2052.548,3,0.104
30.8,0.1,64.509,2179.462,13.405,2052.6,3,0.052
31.05,0.2,64.769,2179.722,13.665,2052.86,3,0.26
31.35,0.25,64.925,2179.878,13.821,2053.016,3,0.156
33.5,0.1,102.469,20672.874,51.365,20546.012,3,37.544
34.3,0.25,119.317,30303.342,68.213,30176.48,3,16.848
