time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
5.4,5.4,0.0,0.0,0.0,0.0,4,0.0
14.3,8.9,1.576,0.104,1.576,0.104,4,1.576
16.05,1.75,4.301,3.182,4.301,3.182,4,2.725
16.4,0.15,9.064,5.363,9.064,5.363,4,4.763
16.65,0.25,10.558,5.587,10.558,5.587,4,1.494
17.1,0.15,41.579,92.003,41.579,92.003,4,31.021
17.15,17.15,43.136,92.452,0.0,0.0,6,1.557
17.2,0.1,43.536,92.754,43.136,92.452,4,0.525
17.6,17.6,45.134,95.369,0.0,0.0,1,1.473
17.6,0.4,45.134,95.369,44.609,92.676,4,0.577
18.5,18.5,60.613,121.065,0.0,0.0,3,14.902
20.45,2.8,201.826,32306.579,59.511,95.503,4,4657.37
27.6,7.15,936.186,197512.572,61.087,95.607,4,1.576
27.8,0.2,961.434,201029.868,62.623,95.917,4,1.536
28.0,0.2,986.609,204187.588,64.086,96.141,4,1.463
35.45,7.45,1688.878,374032.855,68.894,104.254,4,4.808
36.5,1.05,1790.814,399422.294,70.47,104.358,4,1.576
37.15,0.65,1859.194,414311.875,70.522,104.564,4,0.052
37.35,0.2,1885.44,417505.891,73.417,104.668,4,2.895
46.5,9.15,2951.637,557605.433,78.086,104.72,4,4.669
47.05,0.55,3020.034,568840.141,96.144,105.03,4,18.058
47.15,0.1,3033.488,570396.679,99.143,105.564,4,2.999
50.4,3.15,3397.168,636814.057,111.355,106.064,4,12.212
54.95,4.55,3765.708,723207.658,112.931,106.168,4,1.576
55.3,0.35,3802.874,728007.096,115.93,106.702,4,2.999
55.45,0.15,3818.949,730018.74,117.393,106.926,4,1.463
56.45,1.0,3892.781,744895.021,122.377,106.978,4,4.984
63.1,6.65,4592.294,871322.162,133.514,107.236,4,11.137
63.25,0.15,4607.464,873254.513,136.513,107.77,4,2.999
65.45,2.15,4790.396,949411.863,142.645,108.046,4,6.132
65.6,0.15,4800.552,954905.875,144.221,108.15,4,1.576
65.75,0.1,4810.279,956589.186,151.807,109.7,4,7.586
66.0,0.2,4814.668,956589.858,156.196,110.372,4,4.389
66.3,0.25,4828.675,956590.014,170.203,110.528,4,14.007
66.45,0.1,4854.635,956658.94,196.163,179.454,4,25.96
66.55,0.1,4874.718,956659.25,216.246,179.764,4,20.083
66.6,0.95,4885.648,956667.579,4657.37,956453.924,3,40.033
66.85,0.2,4914.855,956667.995,256.279,188.457,4,0.104
67.5,0.6,4956.075,956739.395,297.499,259.857,4,41.22
68.0,0.25,5008.987,956750.055,350.411,270.517,4,52.912
68.55,0.4,5042.633,956821.898,384.057,342.36,4,33.646
68.8,0.15,5078.221,956830.492,419.645,350.954,4,35.588
68.9,0.1,5082.367,956830.544,423.791,351.006,4,4.146
69.6,3.0,5123.171,956903.321,4657.474,956454.028,3,40.804
70.1,1.2,5123.431,956903.477,464.595,423.731,4,0.26
71.3,0.85,5176.252,956914.169,517.416,434.423,4,52.821
71.65,0.25,5209.951,956986.143,551.115,506.397,4,33.699
71.75,0.1,5221.788,956994.457,562.952,514.711,4,11.837
71.85,0.1,5229.896,956994.561,571.06,514.815,4,8.108
72.0,0.15,5246.113,956994.769,587.277,515.023,4,16.217
72.15,0.1,5250.762,956998.639,591.926,518.893,4,4.649
72.25,54.6,5284.851,957074.763,0.577,22.869,1,37.119
75.45,3.2,5288.242,957079.899,629.045,595.72,4,0.361
75.65,0.2,5295.632,957088.056,636.435,603.877,4,7.39
75.75,0.1,5300.109,957088.108,640.912,603.929,4,4.477
75.95,0.15,5314.36,957088.264,655.163,604.085,4,14.251
76.45,0.5,5328.611,957088.42,669.414,604.241,4,14.251
78.0,1.55,5333.355,957088.678,674.158,604.499,4,4.744
78.1,5.85,5363.28,957151.183,0.938,27.302,1,31.324
78.1,78.1,5363.28,957151.183,0.0,0.0,2,19.512
78.1,60.9,5363.28,957151.183,0.525,2.693,6,18.352
78.15,78.15,5366.938,957152.047,0.0,0.0,5,14.621
78.3,0.2,5387.851,957177.131,705.482,667.441,4,14.63
79.5,0.85,5582.962,957449.337,856.65,881.866,4,151.168
79.7,0.1,5619.236,957457.806,892.924,890.335,4,36.274
80.2,0.5,5623.867,957457.858,897.555,890.387,4,4.631
80.25,1.65,5655.036,957520.449,20.45,52.025,1,31.221
80.25,1.5,5655.036,957520.449,18.352,23.858,2,8.065
80.25,1.65,5655.036,957520.449,14.63,15.955,5,8.212
80.25,1.65,5655.036,957520.449,15.146,21.449,6,6.78
80.45,0.2,5684.44,957580.415,928.776,953.352,4,7.096
81.1,0.65,5691.442,957591.937,934.977,961.402,4,6.201
81.75,0.4,5732.26,957600.459,975.795,969.924,4,40.818
81.8,1.35,5736.804,957600.511,28.515,67.465,1,31.377
81.8,1.4,5736.804,957600.511,26.564,41.502,2,8.94
81.8,1.35,5736.804,957600.511,21.41,31.257,5,7.64
81.8,1.35,5736.804,957600.511,22.242,36.127,6,7.572
81.95,0.15,5784.696,957701.625,1007.172,1032.9,4,8.096
82.7,0.65,5819.613,957732.695,1030.9,1033.579,4,23.728
82.85,0.1,5827.056,957740.853,1038.343,1041.737,4,7.443
83.45,1.4,5860.388,957741.269,37.455,84.57,1,33.332
83.45,0.5,5860.388,957741.269,1071.675,1042.153,4,6.356
83.45,1.45,5860.388,957741.269,28.982,48.693,5,31.429
83.45,1.4,5860.388,957741.269,30.338,53.511,6,7.288
83.5,1.5,5893.556,957805.332,34.204,58.158,2,7.992
83.65,0.2,5915.067,957852.396,1103.104,1105.231,4,8.472
84.45,0.75,5930.829,957871.103,1112.008,1109.741,4,8.904
85.15,0.55,5971.682,957879.625,1152.861,1118.263,4,40.853
85.2,1.55,5997.045,957939.289,43.811,96.036,1,36.841
85.2,1.55,5997.045,957939.289,42.676,74.947,2,8.818
85.2,1.55,5997.045,957939.289,36.27,65.379,5,7.952
85.2,1.55,5997.045,957939.289,38.33,70.816,6,6.896
85.4,0.15,6038.743,958004.279,1189.702,1181.237,4,8.044
86.05,0.65,6075.804,958013.04,1225.273,1183.546,4,35.571
86.45,0.25,6115.856,958021.562,1265.325,1192.068,4,40.052
86.7,0.25,6120.739,958021.82,1270.208,1192.326,4,4.883
86.75,1.35,6139.166,958081.484,52.629,113.784,1,31.273
86.75,1.35,6139.166,958081.484,50.628,91.291,2,7.796
86.75,1.4,6139.166,958081.484,43.166,81.931,5,7.588
86.75,1.4,6139.166,958081.484,46.374,88.304,6,7.676
86.9,0.15,6174.734,958132.076,1301.481,1255.299,4,7.524
87.6,0.65,6231.683,958217.409,1350.568,1319.835,4,49.087
87.75,0.15,6239.053,958225.567,1357.938,1327.993,4,7.37
88.3,0.45,6273.134,958225.931,1392.019,1328.357,4,34.081
88.35,1.45,6298.479,958285.699,60.425,131.324,1,31.346
88.35,1.4,6298.479,958285.699,58.216,108.103,2,7.432
88.35,1.4,6298.479,958285.699,50.842,98.587,5,7.38
88.35,1.4,6298.479,958285.699,53.898,105.376,6,6.792
88.5,0.15,6325.87,958336.372,1423.365,1391.384,4,7.316
89.2,0.65,6370.835,958356.936,1460.8,1392.946,4,37.435
89.85,0.5,6411.862,958365.458,1501.827,1401.468,4,41.027
89.9,1.35,6416.406,958365.51,67.857,148.604,1,31.377
89.9,1.4,6416.406,958365.51,65.596,124.863,2,7.692
89.9,1.35,6416.406,958365.51,57.634,114.619,5,7.9
89.9,1.35,6416.406,958365.51,61.214,121.72,6,6.948
90.05,0.15,6467.529,958475.356,1533.204,1464.547,4,7.888
90.15,0.1,6498.321,958496.685,64.582,130.651,5,50.036
90.25,20.65,6550.588,958586.347,4657.734,956454.184,3,26.885
90.35,0.1,6553.897,958588.051,4661.043,956455.888,3,3.309
90.5,0.1,6557.745,958591.463,4664.891,956459.3,3,3.848
96.5,6.35,43980.886,959332.735,1583.24,1554.331,4,315708.929
125.45,28.95,230479.013,963002.485,1603.271,1554.435,4,20.031
128.8,38.75,252126.116,963421.101,75.549,166.092,1,1.576
137.1,11.65,347709.871,964526.174,1604.847,1554.539,4,44849.12
138.6,1.5,361334.183,964729.139,1604.951,1554.591,4,0.104
138.85,0.25,365964.616,964769.699,1609.017,1554.643,4,4.066
140.4,1.55,367147.099,964775.839,1614.545,1554.919,4,5.528
144.7,4.3,367148.675,964775.943,1616.121,1555.023,4,1.576
144.7,54.6,367148.675,964775.943,69.102,138.896,6,28.884
145.25,0.55,367178.715,964843.045,1645.005,1621.763,4,1.156
145.4,0.1,367193.794,964850.994,1660.084,1629.712,4,15.079
145.8,16.2,367213.757,964851.254,44924.669,286.264,1,19.963
145.8,55.75,367213.757,964851.254,73.496,141.779,2,0.208
145.8,6.9,367213.757,964851.254,320373.82,962522.916,3,0.156
145.8,0.35,367213.757,964851.254,1680.047,1629.972,4,0.104
145.8,55.6,367213.757,964851.254,91.467,131.065,5,4.141
145.8,1.1,367213.757,964851.254,70.258,139.258,6,0.208
146.7,0.85,367218.73,964856.013,1684.188,1634.159,4,0.156
0.0,0.0,0.0,0.0,0.0,0.0,0,2.718
