time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
12.25,12.25,0.0,0.0,0.0,0.0,4,0.0
14.45,2.2,1.576,0.052,1.576,0.052,4,1.576
16.2,1.75,4.301,3.084,4.301,3.084,4,2.725
16.5,0.15,9.064,5.222,9.064,5.222,4,4.763
16.8,0.3,10.558,5.446,10.558,5.446,4,1.494
17.15,0.1,41.275,70.194,41.275,70.194,4,30.717
17.3,0.15,41.633,99.046,41.633,99.046,4,0.358
17.8,0.4,45.193,102.804,45.193,102.804,4,3.56
17.8,17.8,45.193,102.804,0.0,0.0,5,3.03
18.65,18.65,48.8,126.324,0.0,0.0,3,0.577
18.8,0.1,50.929,131.66,2.129,5.336,3,2.129
19.15,0.1,62.169,2067.623,13.369,1941.299,3,11.24
19.35,0.1,62.585,2069.575,13.785,1943.251,3,0.416
21.35,0.1,129.925,34912.497,81.125,34786.173,3,67.34
21.6,0.1,130.185,34912.757,81.385,34786.433,3,0.26
21.7,0.1,130.237,34912.809,81.437,34786.485,3,0.052
22.25,0.1,146.305,44075.213,97.505,43948.889,3,16.068
22.75,0.1,162.009,53680.865,113.209,53554.541,3,15.704
23.5,0.1,181.977,66500.306,133.177,66373.982,3,19.968
23.75,0.15,182.341,66501.694,133.541,66375.37,3,0.364
24.0,0.2,182.445,66501.798,133.645,66375.474,3,0.104
24.2,0.15,182.705,66502.058,133.905,66375.734,3,0.26
24.9,0.65,182.809,66502.162,134.009,66375.838,3,0.104
25.15,0.1,183.121,66502.474,134.321,66376.15,3,0.312
25.35,0.2,183.173,66502.526,134.373,66376.202,3,0.052
26.05,0.2,201.691,77443.916,152.891,77317.592,3,18.518
27.0,9.15,205.453,78926.459,48.223,103.507,4,3.762
27.25,0.25,225.642,78926.769,68.412,103.817,4,20.189
28.4,2.1,227.218,78926.821,156.653,78800.135,3,1.576
28.8,0.4,227.322,78926.873,156.757,78800.187,3,0.104
29.4,0.6,227.426,78926.925,156.861,78800.239,3,0.104
29.4,2.15,227.426,78926.925,69.988,103.869,4,18.869
29.5,0.1,237.407,79406.582,77.216,111.719,4,7.228
29.9,0.4,252.015,83514.765,84.444,119.569,4,7.228
30.65,0.2,265.153,88991.901,175.73,88849.463,3,4.402
30.85,0.95,267.597,90388.177,88.846,119.621,4,16.906
30.95,0.1,275.003,91801.813,94.068,119.673,4,5.222
34.4,2.95,305.709,99195.181,192.636,99052.483,3,18.428
34.6,3.65,305.813,99195.233,112.496,119.881,4,0.104
34.85,0.25,310.294,99195.285,116.977,119.933,4,4.481
35.45,0.6,314.775,99195.337,121.458,119.985,4,4.481
35.5,1.1,340.467,99258.913,192.74,99052.587,3,27.091
35.55,35.55,341.918,99259.593,0.0,0.0,0,0.052
35.55,35.55,341.918,99259.593,0.0,0.0,2,2.919
35.55,17.7,341.918,99259.593,0.577,22.817,5,20.629
35.55,35.55,341.918,99259.593,0.0,0.0,6,24.988
35.8,0.15,374.854,102369.885,2.919,1.6,0,17.565
36.15,0.1,568.837,105713.631,171.347,181.13,0,168.428
36.95,1.45,1348.518,107425.567,148.549,184.189,4,772.071
37.4,1.9,1368.601,107425.877,192.792,99052.587,3,20.083
39.05,2.7,1368.653,107426.279,943.418,1171.632,0,0.052
39.3,2.35,4122.493,107462.657,168.632,184.499,4,4949.16
39.35,3.05,5045.776,107476.023,20.629,1766.95,2,7.788
39.35,3.2,5045.776,107476.023,25.565,3909.72,5,14.891
39.35,3.05,5045.776,107476.023,17.565,1340.839,6,14.597
39.55,0.25,6339.104,109440.47,176.42,192.093,4,13.244
39.75,0.15,6360.034,112176.873,5892.578,1221.306,0,0.065
39.75,0.2,6360.034,112176.873,176.485,192.093,4,2773.158
41.9,0.45,9146.518,119348.458,8665.736,6612.647,0,4.962
42.2,0.15,10515.959,119367.671,10035.177,6631.86,0,1369.441
42.75,0.45,11930.622,119379.315,11449.84,6643.504,0,1414.663
42.75,2.95,11930.622,119379.315,35.52,3967.11,2,685.42
42.75,3.0,11930.622,119379.315,181.447,192.145,4,13.276
