time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
4.4,4.4,0.0,0.0,0.0,0.0,4,0.0
14.6,10.2,1.576,0.052,1.576,0.052,4,1.576
16.4,1.8,4.301,3.078,4.301,3.078,4,2.725
16.7,0.1,9.064,5.207,9.064,5.207,4,4.763
17.0,0.25,10.558,5.431,10.558,5.431,4,1.494
17.25,0.1,41.223,72.701,41.223,72.701,4,30.665
17.45,0.2,41.579,91.847,41.579,91.847,4,0.356
17.6,0.15,44.516,91.911,44.516,91.911,4,2.937
18.0,0.35,46.571,95.247,46.571,95.247,4,2.055
18.05,18.05,60.073,97.738,0.0,0.0,1,15.32
18.8,18.8,84.708,121.244,0.0,0.0,3,22.817
19.4,1.35,105.177,4607.317,61.891,120.667,4,6952.908
27.85,8.45,1065.893,152613.091,63.467,120.719,4,1.576
28.85,1.0,1208.594,169636.017,83.656,121.029,4,20.189
28.95,0.1,1222.516,171065.118,86.655,121.563,4,2.999
29.05,0.1,1235.159,172557.366,88.118,121.787,4,1.463
34.4,5.3,1873.359,264974.702,97.236,130.314,4,9.118
34.95,0.55,1942.223,274350.789,98.812,130.366,4,1.576
37.75,2.7,2187.669,321156.806,109.588,139.065,4,10.776
43.7,5.85,2908.322,428646.631,143.278,148.608,4,33.69
43.8,0.1,2922.691,430021.811,146.277,149.142,4,2.999
43.9,0.1,2936.166,431355.091,147.74,149.366,4,1.463
44.5,0.6,3013.524,440063.303,152.461,157.427,4,4.721
44.9,0.3,3069.362,446692.355,162.903,158.013,4,10.442
47.85,2.85,3420.607,497054.303,171.844,167.298,4,8.941
48.7,0.85,3522.121,512490.081,178.77,167.608,4,6.926
49.4,0.5,3640.519,523899.945,217.8,195.203,4,39.03
57.85,8.45,4489.643,667478.08,219.376,195.255,4,1.576
59.15,1.3,4653.507,691414.567,239.407,195.463,4,20.031
59.3,0.15,4673.25,693077.651,240.818,195.515,4,1.411
59.8,0.5,4737.047,700134.589,249.849,203.99,4,9.031
65.6,5.65,5343.618,826725.251,260.447,212.965,4,10.598
67.85,2.25,5628.838,853872.685,267.942,221.13,4,7.495
68.85,1.0,5747.502,866998.752,267.994,221.336,4,0.052
72.1,3.15,6131.403,908474.39,277.125,222.146,4,9.131
72.3,0.2,6157.264,911098.402,280.124,222.68,4,2.999
73.3,0.95,6286.064,923211.762,286.256,222.956,4,6.132
77.7,4.35,6768.609,1007116.707,295.387,223.766,4,9.131
77.85,0.15,6787.846,1011374.198,298.386,224.3,4,2.999
77.95,0.1,6812.941,1013808.684,313.653,224.782,4,15.267
79.4,1.45,6957.802,1052239.231,318.322,224.834,4,4.669
79.9,0.5,7007.426,1067169.716,319.898,224.886,4,1.576
83.55,3.55,7296.164,1185326.416,329.029,225.696,4,9.131
83.75,0.2,7306.412,1189521.38,332.08,226.402,4,3.051
84.05,0.2,7323.277,1189845.116,347.552,227.488,4,15.472
86.95,2.85,7329.409,1189845.392,353.684,227.764,4,6.132
87.1,0.15,7355.153,1189914.362,379.428,296.734,4,25.744
87.75,0.3,7468.535,1190014.05,492.81,396.422,4,113.382
88.1,0.25,7530.789,1190086.7,555.064,469.072,4,62.254
88.35,0.15,7572.582,1190121.456,596.857,503.828,4,41.793
90.0,1.45,7617.111,1190156.764,641.386,539.136,4,44.529
90.35,0.15,7668.309,1190191.78,692.584,574.152,4,51.198
90.85,0.1,7731.843,1190264.688,756.118,647.06,4,63.534
91.3,0.1,7828.924,1190363.656,853.199,746.028,4,97.081
92.4,1.05,7844.601,1190363.864,868.876,746.236,4,15.677
92.45,92.45,7844.757,1190405.394,0.0,0.0,5,40.7
92.85,0.4,7886.995,1190436.733,909.576,818.58,4,1.694
93.2,0.25,7928.515,1190471.773,951.096,853.62,4,41.52
93.75,0.45,7959.655,1190498.053,982.236,879.9,4,31.14
93.9,0.15,7970.108,1190506.813,992.689,888.66,4,10.453
94.2,0.2,7991.329,1190524.333,1013.91,906.18,4,21.221
94.6,0.2,8025.92,1190542.457,1048.501,924.304,4,34.591
94.8,0.1,8038.043,1190543.009,1060.624,924.856,4,12.123
95.15,0.25,8056.243,1190543.837,1078.824,925.684,4,18.2
95.3,0.1,8062.261,1190544.113,1084.842,925.96,4,6.018
95.45,0.1,8089.786,1190615.86,1112.367,997.707,4,27.525
95.85,0.1,8187.445,1190715.212,1210.026,1097.059,4,97.659
96.2,0.35,8203.122,1190715.42,1225.703,1097.267,4,15.677
96.3,0.1,8203.844,1190719.186,1226.425,1101.033,4,0.722
97.15,0.8,8232.83,1190792.927,1255.411,1174.774,4,28.986
97.25,0.1,8239.754,1190797.781,1262.335,1179.628,4,6.924
97.8,0.5,8269.804,1190830.409,1292.385,1212.256,4,30.05
98.0,0.1,8304.441,1190847.033,1327.022,1228.88,4,34.637
98.35,0.3,8318.995,1190863.347,1341.576,1245.194,4,14.554
98.55,0.2,8326.272,1190871.504,1348.853,1253.351,4,7.277
98.85,0.25,8340.826,1190887.818,1363.407,1269.665,4,14.554
99.0,0.15,8348.19,1190895.975,1370.771,1277.822,4,7.364
99.35,0.3,8357.912,1190896.079,1380.493,1277.926,4,9.722
99.9,0.55,8362.363,1190896.131,1384.944,1277.978,4,4.451
100.4,0.5,8366.887,1190896.183,1389.468,1278.03,4,4.524
100.6,0.2,8371.411,1190896.235,1393.992,1278.082,4,4.524
100.9,0.3,8380.459,1190896.339,1403.04,1278.186,4,9.048
101.75,0.85,8384.983,1190896.391,1407.564,1278.238,4,4.524
101.8,83.7,8410.521,1190958.952,22.817,0.577,1,26.937
101.8,101.8,8410.521,1190958.952,0.0,0.0,2,10.569
101.8,101.8,8410.521,1190958.952,0.0,0.0,6,18.623
101.85,9.35,8412.264,1190959.888,1.694,0.525,5,16.844
102.1,0.3,8460.027,1190996.694,1434.501,1341.391,4,13.37
102.2,0.1,8480.27,1191009.417,1443.445,1341.495,4,8.944
102.2,0.1,8480.27,1191009.417,15.064,13.614,5,28.624
102.45,0.25,8509.913,1191079.852,1472.069,1411.568,4,1.019
102.7,0.2,8539.581,1191112.48,1501.737,1444.196,4,29.668
102.95,0.2,8569.249,1191145.108,1531.405,1476.824,4,29.668
103.05,0.1,8576.666,1191153.265,1538.822,1484.981,4,7.417
103.2,0.1,8600.644,1191177.736,1562.8,1509.452,4,23.978
103.35,0.15,8609.826,1191177.84,1571.982,1509.556,4,9.182
103.5,0.15,8619.008,1191177.944,1581.164,1509.66,4,9.182
103.8,0.25,8632.781,1191178.1,1594.937,1509.816,4,13.773
103.95,0.15,8637.372,1191178.152,1599.528,1509.868,4,4.591
104.0,1.85,8643.076,1191236.588,33.386,7.981,1,107.974
104.0,1.85,8643.076,1191236.588,18.623,14.245,2,7.549
104.0,1.8,8643.076,1191236.588,16.083,13.976,5,11.913
104.05,1.9,8673.362,1191249.632,16.844,15.031,6,3.756
104.15,0.1,8728.971,1191314.934,19.839,22.496,5,16.92
104.4,0.2,8787.622,1191408.111,1707.502,1679.802,4,2.138
104.65,0.2,8817.238,1191440.795,1737.118,1712.486,4,29.616
104.9,0.2,8846.993,1191473.427,1766.873,1745.118,4,29.755
105.25,0.15,8886.769,1191506.163,1806.649,1777.854,4,39.776
105.5,0.25,8895.951,1191506.267,1815.831,1777.958,4,9.182
105.75,0.2,8909.724,1191506.423,1829.604,1778.114,4,13.773
106.05,0.3,8914.315,1191506.475,1834.195,1778.166,4,4.591
106.1,1.9,8941.148,1191569.452,40.935,20.173,1,122.985
106.1,1.9,8941.148,1191569.452,30.536,31.597,2,3.314
106.1,1.9,8941.148,1191569.452,33.764,32.654,6,14.45
106.15,1.95,8975.577,1191599.12,21.977,26.834,5,15.99
106.4,0.1,9074.446,1191676.569,1957.18,1902.638,4,3.392
106.7,0.15,9105.207,1191709.201,1987.941,1935.27,4,30.761
106.9,0.1,9134.875,1191741.833,2017.609,1967.902,4,29.668
107.05,0.1,9157.359,1191766.307,2040.093,1992.376,4,22.484
107.25,0.1,9178.695,1191774.621,2061.429,2000.69,4,21.336
107.4,0.1,9187.877,1191774.725,2070.611,2000.794,4,9.182
107.6,0.15,9209.929,1191796.849,2092.663,2022.918,4,22.052
107.8,0.2,9214.52,1191796.901,2097.254,2022.97,4,4.591
107.95,1.75,9216.126,1191797.159,44.249,27.869,1,1.606
107.95,0.15,9216.126,1191797.159,2098.86,2023.228,4,4.893
107.95,1.75,9216.126,1191797.159,25.369,34.886,5,26.885
108.0,1.75,9243.893,1191860.393,44.986,45.721,2,5.322
108.0,1.7,9243.893,1191860.393,49.754,48.404,6,16.963
108.05,0.1,9251.715,1191870.909,2125.745,2086.358,4,16.36
108.3,0.1,9365.419,1192015.069,2204.615,2179.33,4,78.87
108.5,0.15,9395.087,1192047.701,2234.283,2211.962,4,29.668
108.75,0.15,9424.755,1192080.333,2263.951,2244.594,4,29.668
109.25,0.25,9473.713,1192113.173,2312.909,2277.434,4,48.958
109.4,0.15,9482.843,1192113.277,2322.039,2277.538,4,9.13
109.8,0.3,9493.688,1192113.433,2332.884,2277.694,4,10.845
109.85,1.7,9507.558,1192173.051,49.142,39.179,1,122.236
109.85,1.65,9507.558,1192173.051,61.949,65.263,2,3.314
109.85,1.7,9507.558,1192173.051,30.691,47.276,5,19.188
109.85,1.65,9507.558,1192173.051,66.114,66.97,6,3.548
110.15,0.1,9656.178,1192331.399,2455.12,2450.87,4,14.204
110.35,0.2,9685.69,1192364.031,2484.632,2483.502,4,29.512
110.55,0.15,9715.358,1192396.663,2514.3,2516.134,4,29.668
110.7,0.1,9738.535,1192421.137,2537.477,2540.608,4,23.177
110.95,0.1,9759.899,1192429.451,2558.841,2548.922,4,21.364
111.2,0.2,9769.081,1192429.555,2568.023,2549.026,4,9.182
111.45,0.25,9778.263,1192429.659,2577.205,2549.13,4,9.182
111.8,0.35,9782.854,1192429.711,2581.796,2549.182,4,4.591
111.85,1.85,9782.906,1192454.664,81.137,81.527,2,0.26
111.85,1.85,9782.906,1192454.664,80.318,81.021,6,0.064
111.95,0.1,9783.242,1192492.733,81.201,83.02,2,0.064
111.95,0.1,9783.242,1192492.733,2582.056,2608.696,4,18.822
111.95,0.1,9783.242,1192492.733,80.382,81.919,6,52.984
112.0,2.0,9816.656,1192498.752,52.456,46.615,1,13.84
112.0,2.05,9816.656,1192498.752,34.239,55.432,5,3.314
112.25,0.15,9875.75,1192585.01,2635.04,2656.865,4,3.548
112.35,0.1,9898.769,1192609.484,2658.059,2681.339,4,23.019
112.45,0.1,9906.186,1192617.642,2665.476,2689.497,4,7.417
112.65,0.1,9935.854,1192650.326,2695.144,2722.181,4,29.668
112.8,0.15,9943.271,1192658.484,2702.561,2730.339,4,7.417
113.1,0.1,9980.115,1192683.114,2739.405,2754.969,4,36.844
113.25,0.1,9993.975,1192683.27,2753.265,2755.125,4,13.86
113.4,0.15,9998.479,1192683.322,2757.769,2755.177,4,4.504
113.7,1.6,10003.07,1192683.374,100.023,99.124,2,4.591
113.7,0.3,10003.07,1192683.374,2762.36,2755.229,4,12.422
113.7,1.6,10003.07,1192683.374,37.787,63.692,5,129.457
113.7,1.6,10003.07,1192683.374,94.222,94.175,6,3.6
113.8,1.7,10068.992,1192771.662,55.77,54.103,1,18.734
114.0,0.1,10170.753,1192874.45,2891.817,2901.515,4,3.47
114.25,0.15,10201.241,1192907.134,2922.305,2934.199,4,30.488
114.4,0.1,10230.996,1192939.766,2952.06,2966.831,4,29.755
114.6,0.15,10245.83,1192956.082,2966.894,2983.147,4,14.834
114.9,0.2,10270.666,1192972.502,2991.73,2999.567,4,24.836
115.0,0.1,10279.848,1192972.606,3000.912,2999.671,4,9.182
115.2,0.1,10293.621,1192972.762,3014.685,2999.827,4,13.773
115.65,0.45,10298.212,1192972.814,3019.276,2999.879,4,4.591
115.65,1.75,10298.212,1192972.814,112.956,109.717,6,154.408
115.7,1.8,10336.044,1193045.585,59.24,61.539,1,13.736
115.7,1.8,10336.044,1193045.585,112.445,112.78,2,3.158
115.7,1.9,10336.044,1193045.585,41.387,71.848,5,18.252
115.9,32.05,10491.262,1193238.947,6952.908,1189617.051,3,3.496
134.7,18.85,134358.28,1195576.658,3173.684,3222.314,4,367124.674
134.85,0.15,135359.77,1195597.403,3175.146,3222.538,4,1.462
135.35,0.5,138304.129,1195666.027,3182.038,3230.396,4,6.892
137.85,2.5,154903.486,1195983.76,3186.156,3238.202,4,4.118
148.0,10.15,219838.48,1197240.486,3186.208,3238.408,4,0.052
148.15,0.15,220939.057,1197261.692,3187.67,3238.632,4,1.462
148.9,0.7,225693.131,1197373.343,3201.454,3254.348,4,13.784
157.25,8.35,279357.268,1198418.987,3204.228,3254.4,4,2.774
159.0,1.75,290301.236,1198641.419,3204.28,3254.572,4,0.052
168.35,9.35,350171.343,1199833.171,3204.332,3262.326,4,0.052
168.9,0.55,353755.906,1199902.222,3208.398,3262.378,4,4.066
169.45,0.55,357956.372,1199972.537,3209.86,3262.602,4,1.462
172.45,0.1,377653.688,1200354.46,374077.582,1196692.172,3,1.576
177.8,8.35,412770.705,1201031.38,3211.436,3262.654,4,97875.764
184.9,7.05,469975.756,1201950.633,3222.573,3262.912,4,11.137
185.05,0.15,471629.79,1201972.864,3222.625,3263.011,4,0.052
185.5,0.1,475550.235,1202031.38,471953.346,1198368.407,3,9.594
185.5,0.4,475550.235,1202031.38,3232.219,3263.339,4,1.123
187.35,1.85,475556.886,1202032.247,3237.747,3263.615,4,5.528
187.55,0.15,475585.718,1202098.847,3266.579,3330.215,4,28.832
187.75,0.1,475612.423,1202130.715,3293.284,3362.083,4,26.705
188.2,0.15,475695.584,1202193.889,3376.445,3425.257,4,83.161
188.4,0.15,475707.071,1202194.045,3387.932,3425.413,4,11.487
188.5,0.1,475714.729,1202194.149,3395.59,3425.517,4,7.658
188.9,73.1,475718.558,1202194.201,62.398,69.443,1,3.829
188.9,73.05,475718.558,1202194.201,130.697,127.222,2,0.156
188.9,3.35,475718.558,1202194.201,471954.469,1198368.998,3,0.156
188.9,0.4,475718.558,1202194.201,3399.419,3425.569,4,0.104
