time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
1.1,1.1,0.0,0.0,0.0,0.0,4,0.0
15.15,14.05,1.576,0.104,1.576,0.104,4,1.576
16.1,0.95,4.301,3.188,4.301,3.188,4,2.725
16.9,0.8,5.877,3.292,5.877,3.292,4,1.576
17.25,0.15,10.64,5.482,10.64,5.482,4,4.763
17.5,0.25,12.134,5.706,12.134,5.706,4,1.494
17.85,0.25,20.243,8.072,20.243,8.072,4,8.109
18.0,0.1,42.851,70.454,42.851,70.454,4,22.608
18.15,0.15,43.261,99.358,43.261,99.358,4,0.41
18.65,0.4,46.821,103.116,46.821,103.116,4,3.56
18.65,18.65,46.821,103.116,0.0,0.0,5,3.03
19.5,19.5,50.428,126.718,0.0,0.0,3,0.577
20.05,0.15,63.425,2298.534,12.997,2171.816,3,12.997
20.2,0.1,63.841,2299.59,13.413,2172.872,3,0.416
22.3,0.15,125.357,34936.082,74.929,34809.364,3,61.516
22.5,0.1,125.721,34937.342,75.293,34810.624,3,0.364
22.6,0.1,125.773,34937.446,75.345,34810.728,3,0.052
24.5,0.15,176.421,64293.379,125.993,64166.661,3,50.648
24.75,0.2,176.785,64294.127,126.357,64167.409,3,0.364
24.95,0.2,176.837,64294.179,126.409,64167.461,3,0.052
25.2,0.2,177.149,64294.491,126.721,64167.773,3,0.312
25.85,0.65,177.201,64294.543,126.773,64167.825,3,0.052
26.1,0.15,177.513,64294.855,127.085,64168.137,3,0.312
26.45,0.35,177.565,64294.907,127.137,64168.189,3,0.052
27.25,0.2,196.343,75492.212,145.915,75365.494,3,18.778
29.3,10.6,200.469,77198.286,49.851,103.849,4,4.126
29.55,2.05,220.658,77198.596,150.041,77071.568,3,20.189
29.65,0.1,220.762,77198.648,150.145,77071.62,3,0.104
30.75,1.45,220.866,77198.7,70.04,104.159,4,0.104
30.85,1.2,229.757,77198.856,150.249,77071.724,3,23.824
30.95,0.1,244.742,77199.012,93.864,104.419,4,0.052
31.1,0.1,258.035,77199.168,107.157,104.575,4,13.293
31.35,0.5,259.611,77199.272,150.301,77071.724,3,1.576
32.55,1.05,259.923,77199.584,150.613,77072.036,3,0.312
36.85,36.85,260.287,77199.948,0.0,0.0,1,0.364
37.25,37.25,4959.634,77252.123,0.0,0.0,6,6430.387
39.2,8.1,12080.86,77328.867,108.733,104.679,4,5390.186
39.95,0.75,12082.466,77329.125,110.339,104.937,4,1.606
39.95,2.25,12082.466,77329.125,5390.186,60.468,6,23.749
41.85,23.15,13329.629,77393.028,0.577,22.869,5,1223.414
42.2,0.95,17919.743,77442.721,6613.6,63.972,6,5798.511
42.25,2.3,18633.559,77451.995,134.088,165.336,4,1402.924
