time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
5.0,5.0,2.718,0.104,2.718,0.104,4,2.718
14.45,9.45,4.294,0.208,4.294,0.208,4,1.576
16.2,1.75,7.019,3.286,7.019,3.286,4,2.725
16.55,0.1,11.782,5.467,11.782,5.467,4,4.763
16.8,0.25,13.276,5.691,13.276,5.691,4,1.494
17.25,0.15,44.349,92.107,44.349,92.107,4,31.073
17.7,0.35,49.341,95.455,49.341,95.455,4,4.992
17.75,17.75,61.39,97.519,0.0,0.0,6,15.006
18.6,18.6,64.924,121.039,0.0,0.0,3,0.577
18.7,0.1,66.985,128.491,2.061,7.452,3,2.061
20.0,2.2,153.357,16990.133,64.347,98.222,4,7139.143
30.1,10.1,1357.381,150544.457,65.923,98.326,4,1.576
38.15,8.05,2340.044,258801.957,86.112,98.636,4,20.189
38.25,0.1,2356.209,259805.894,92.131,99.686,4,6.019
38.4,0.1,2378.105,261189.668,99.571,101.064,4,7.44
40.05,1.65,2606.399,285616.618,136.148,134.912,4,36.577
50.0,9.95,3783.68,413151.841,149.357,135.118,4,13.209
60.0,9.9,4854.381,540168.928,170.646,135.532,4,21.289
61.9,1.8,5119.605,563070.694,211.993,153.498,4,41.347
62.0,0.1,5132.472,564083.038,213.456,153.722,4,1.463
65.0,2.95,5495.519,594351.205,223.95,162.421,4,10.494
70.05,5.05,6081.783,644434.26,225.526,162.525,4,1.576
74.8,4.75,6611.512,700672.991,245.239,162.835,4,19.713
76.75,1.9,6803.894,741339.881,254.37,163.645,4,9.131
76.85,0.1,6815.476,743830.886,257.369,164.179,4,2.999
80.0,3.15,7028.1,830771.428,263.501,164.455,4,6.132
80.3,0.25,7064.624,841369.641,280.528,164.869,4,17.027
84.6,4.1,7396.924,968201.274,304.974,166.95,4,24.446
84.9,0.25,7414.736,974882.438,310.972,168.018,4,5.998
85.0,0.1,7419.111,976787.555,312.435,168.242,4,1.463
85.15,0.1,7430.027,979748.753,318.567,168.518,4,6.132
86.3,1.15,7463.608,997962.61,323.236,168.57,4,4.669
86.4,0.1,7468.016,998285.898,326.235,169.104,4,2.999
87.95,1.5,7474.148,998286.174,332.367,169.38,4,6.132
88.1,0.15,7499.996,998354.936,358.215,238.142,4,25.848
88.65,0.25,7582.035,998414.933,440.254,298.139,4,82.039
88.7,88.7,7622.891,998486.095,0.0,0.0,2,40.856
88.9,0.25,7623.489,998486.62,481.11,369.301,4,0.598
89.1,0.15,7664.901,998521.376,522.522,404.057,4,41.412
89.3,0.15,7685.607,998538.832,543.228,421.513,4,20.706
90.05,0.35,7745.012,998550.553,602.633,433.234,4,59.405
90.35,0.3,7746.618,998550.811,604.239,433.492,4,1.606
90.5,0.1,7774.299,998622.327,631.92,505.008,4,27.681
91.25,0.4,7854.092,998680.353,711.713,563.034,4,79.793
91.6,0.3,7894.948,998753.684,752.569,636.365,4,40.856
92.15,0.4,7936.675,998788.724,794.296,671.405,4,41.727
92.5,0.3,7957.435,998806.244,815.056,688.925,4,20.76
92.85,0.35,7967.815,998815.004,825.436,697.685,4,10.38
93.05,0.1,7980.058,998815.556,837.679,698.237,4,12.243
93.15,0.1,7982.986,998816.004,840.607,698.685,4,2.928
93.3,0.1,7998.279,998816.384,855.9,699.065,4,15.293
93.45,0.1,8004.37,998816.66,861.991,699.341,4,6.091
93.7,0.2,8010.461,998816.936,868.082,699.617,4,6.091
94.7,0.95,8016.552,998817.212,874.173,699.893,4,6.091
95.15,0.1,8098.294,998951.323,955.915,834.004,4,81.742
95.5,0.2,8129.652,998951.739,987.273,834.42,4,31.358
95.6,95.6,8130.374,998955.557,0.0,0.0,1,0.722
95.6,0.1,8130.374,998955.557,987.995,838.238,4,0.887
96.4,0.7,8159.566,999028.88,1016.3,904.024,4,28.305
96.95,0.45,8189.692,999061.56,1046.426,936.704,4,30.126
97.55,0.5,8204.345,999077.874,1061.079,953.018,4,14.653
98.05,0.5,8211.628,999086.031,1068.362,961.175,4,7.283
98.5,0.45,8216.085,999086.083,1072.819,961.227,4,4.457
98.65,0.15,8220.542,999086.135,1077.276,961.279,4,4.457
99.1,0.4,8234.733,999086.291,1091.467,961.435,4,14.191
99.2,0.1,8239.19,999086.343,1095.924,961.487,4,4.457
99.35,0.15,8243.647,999086.395,1100.381,961.539,4,4.457
100.05,0.7,8248.104,999086.447,1104.838,961.591,4,4.457
101.5,1.45,8249.71,999086.705,1106.444,961.849,4,1.606
101.55,5.85,8276.543,999149.897,0.887,7.537,1,186.473
101.55,12.85,8276.543,999149.897,0.598,0.525,2,25.391
101.9,0.25,8491.994,999328.685,1292.917,1154.31,4,31.012
102.0,0.15,8519.647,999399.361,26.278,28.992,1,30.092
102.25,0.25,8523.04,999401.226,1323.009,1224.92,4,0.362
102.6,0.3,8552.732,999433.854,1352.701,1257.548,4,29.692
102.85,0.25,8567.724,999450.22,1367.693,1273.914,4,14.992
103.0,0.1,8579.817,999458.429,1379.786,1282.123,4,12.093
103.2,0.1,8600.151,999458.637,1400.12,1282.331,4,20.334
103.3,0.1,8604.821,999458.689,1404.79,1282.383,4,4.67
103.5,0.2,8609.578,999458.741,1409.547,1282.435,4,4.757
104.25,2.35,8614.175,999458.793,31.61,29.328,2,4.597
104.25,0.75,8614.175,999458.793,1414.144,1282.487,4,16.254
104.3,2.3,8689.863,999561.633,26.64,30.184,1,215.358
104.6,0.2,8861.855,999735.61,1629.502,1545.0,4,16.068
104.85,0.2,8893.187,999768.242,1660.834,1577.632,4,31.332
105.1,0.2,8908.12,999784.558,1675.767,1593.948,4,14.933
105.3,0.2,8915.543,999792.716,1683.19,1602.106,4,7.423
105.5,0.1,8938.528,999792.976,1706.175,1602.366,4,22.985
105.8,0.3,8947.722,999793.08,1715.369,1602.47,4,9.194
106.6,0.8,8952.319,999793.132,1719.966,1602.522,4,4.597
106.65,2.3,8976.404,999855.57,42.708,37.072,1,184.016
106.65,2.3,8976.404,999855.57,47.864,36.744,2,16.068
107.0,0.2,9171.825,1000014.582,1903.982,1808.409,4,19.422
107.15,0.1,9202.443,1000047.214,1934.6,1841.041,4,30.618
107.35,0.15,9217.376,1000063.53,1949.533,1857.357,4,14.933
107.65,0.3,9224.799,1000071.688,1956.956,1865.515,4,7.423
