time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
14.25,14.25,0.0,0.0,0.0,0.0,4,0.0
15.9,1.6,4.301,3.182,4.301,3.182,4,4.301
16.2,0.1,9.064,5.311,9.064,5.311,4,4.763
16.5,0.25,10.558,5.535,10.558,5.535,4,1.494
16.95,0.15,41.631,91.943,41.631,91.943,4,31.073
17.05,17.05,43.718,95.055,0.0,0.0,5,3.56
17.4,0.35,47.884,95.804,45.191,95.279,4,2.693
17.5,0.4,63.464,121.476,2.693,0.525,5,15.58
18.15,18.15,86.169,121.889,0.0,0.0,3,22.705
22.2,22.2,412.138,115374.356,0.0,0.0,0,630.689
23.55,23.55,550.076,161124.638,0.0,0.0,1,0.242
23.7,0.15,567.452,165857.483,0.06,0.112,1,0.06
25.15,0.1,739.813,210277.807,630.689,210155.258,3,22.653
29.35,11.9,1146.921,322839.515,60.771,120.951,4,5343.764
35.35,6.0,1879.718,438032.695,62.347,121.055,4,1.576
35.55,0.2,1908.563,441730.347,65.345,121.589,4,2.998
35.75,0.2,1937.377,445350.001,66.807,121.813,4,1.462
43.8,8.05,2838.065,579230.563,76.029,130.496,4,9.222
44.35,0.55,2912.074,588750.997,96.218,130.806,4,20.189
46.65,2.3,3209.778,634535.999,97.794,130.91,4,1.576
46.8,0.15,3230.006,637029.652,97.846,131.082,4,0.052
46.9,0.1,3243.11,638692.928,97.898,131.306,4,0.052
47.05,0.15,3271.126,641156.5,105.445,139.729,4,7.547
47.2,0.15,3293.18,643636.848,106.907,139.953,4,1.462
53.3,6.1,4070.191,745839.498,111.837,148.066,4,4.93
59.35,6.05,4882.228,854826.156,131.92,148.376,4,20.083
61.0,1.65,5079.15,886527.368,133.496,148.48,4,1.576
61.15,0.1,5101.786,889537.52,136.421,149.014,4,2.925
61.25,0.1,5116.144,891341.512,137.883,149.238,4,1.462
62.95,1.7,5345.141,921873.026,142.552,149.29,4,4.669
63.1,0.15,5367.012,924512.712,144.088,149.6,4,1.536
66.2,2.85,5766.21,981229.665,175.487,150.824,4,31.399
66.4,0.15,5785.677,986485.904,181.483,151.892,4,5.996
66.5,0.1,5799.573,988465.676,184.407,152.34,4,2.924
67.5,1.0,5912.911,1022858.399,193.745,152.444,4,9.338
67.65,0.15,5927.873,1025534.204,196.744,152.978,4,2.999
67.75,0.1,5936.512,1027276.724,198.207,153.202,4,1.463
73.05,5.3,6225.682,1122403.611,202.876,153.254,4,4.669
73.1,1.8,6228.681,1122404.145,5974.453,1122248.759,3,19.868
74.3,1.05,6245.605,1122405.541,222.744,155.132,4,0.055
