time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
4.8,4.8,0.0,0.0,0.0,0.0,4,0.0
14.25,9.45,1.576,0.104,1.576,0.104,4,1.576
16.0,1.75,4.301,3.182,4.301,3.182,4,2.725
16.35,0.15,9.064,5.311,9.064,5.311,4,4.763
16.65,0.3,10.558,5.535,10.558,5.535,4,1.494
16.9,0.1,41.275,72.805,41.275,72.805,4,30.717
17.05,17.05,41.735,92.055,0.0,0.0,2,0.46
17.05,0.15,41.735,92.055,41.735,92.055,4,0.525
17.15,0.1,43.817,95.227,43.292,92.534,4,1.557
17.5,0.35,45.29,95.451,44.765,92.758,4,1.473
18.45,18.45,60.774,121.139,0.0,0.0,3,15.484
34.35,16.75,1818.605,242267.818,60.249,118.446,4,3763.223
34.85,0.5,1898.178,249435.292,80.438,118.756,4,20.189
41.9,7.05,2610.75,358955.36,82.014,118.86,4,1.576
42.15,0.25,2639.364,362092.578,86.497,119.446,4,4.483
42.3,0.15,2657.578,363793.63,89.371,119.722,4,2.874
44.3,2.0,2866.822,392123.431,98.883,119.826,4,9.512
49.85,5.55,3492.709,473704.412,114.81,120.136,4,15.927
50.15,0.3,3528.501,477913.652,116.386,120.24,4,1.576
50.4,0.25,3547.1,480945.506,119.385,120.774,4,2.999
51.6,1.15,3672.731,512739.548,125.517,121.05,4,6.132
51.8,0.2,3692.148,516485.563,131.515,122.118,4,5.998
53.3,1.35,3790.316,552417.807,143.779,122.67,4,12.264
53.4,0.1,3799.818,554971.525,146.778,123.204,4,2.999
54.25,0.8,3861.538,583619.425,152.91,123.48,4,6.132
56.25,0.2,3924.009,617852.756,3763.223,617726.325,3,7.351
56.8,0.1,3947.669,632329.164,3786.883,632202.733,3,23.66
56.8,2.5,3947.669,632329.164,160.261,123.738,4,0.37
56.9,0.1,3954.037,632330.492,166.259,124.806,4,5.998
57.05,0.1,3956.963,632330.94,169.185,125.254,4,2.926
57.5,0.45,3966.616,632331.044,178.838,125.358,4,9.653
57.8,0.25,3992.464,632399.806,204.686,194.12,4,25.848
