time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
5.05,5.05,2.718,0.052,2.718,0.052,4,2.718
14.3,9.25,4.294,0.104,4.294,0.104,4,1.576
16.05,1.75,7.071,3.13,7.071,3.13,4,2.777
16.4,0.15,11.834,5.259,11.834,5.259,4,4.763
16.65,0.25,13.328,5.483,13.328,5.483,4,1.494
16.95,0.1,44.045,72.753,44.045,72.753,4,30.717
17.1,0.15,44.401,91.899,44.401,91.899,4,0.356
17.6,17.6,47.961,95.235,0.0,0.0,2,3.56
17.6,0.4,47.961,95.235,47.961,95.235,4,0.577
18.45,18.45,63.544,120.819,0.0,0.0,3,15.006
29.15,11.5,1202.741,175101.934,62.967,97.95,4,1677.709
34.75,0.1,1761.442,264405.275,1677.709,264284.146,3,20.189
36.05,6.9,1910.266,290650.772,83.156,98.26,4,2131.501
36.35,0.3,1942.461,296506.47,84.619,98.312,4,1.463
36.5,0.15,1957.51,299033.378,84.692,98.312,4,0.073
39.1,2.6,2250.97,342330.741,89.448,98.364,4,4.756
41.55,2.45,2522.67,386800.244,89.5,98.57,4,0.052
41.65,0.1,2534.661,388905.672,91.036,98.794,4,1.536
41.75,0.1,2546.887,390397.679,91.14,98.966,4,0.104
49.05,7.2,3434.924,490423.061,108.073,99.57,4,16.933
50.05,0.95,3568.685,512678.259,119.686,99.828,4,11.613
51.4,1.35,3712.845,542613.534,121.262,99.88,4,1.576
51.55,0.1,3734.345,545800.575,127.26,100.948,4,5.998
55.0,3.4,3949.465,598943.001,139.733,101.448,4,12.473
55.1,0.1,3955.57,598944.173,145.783,102.516,4,6.05
56.8,1.65,3968.043,598944.725,158.256,103.068,4,12.473
57.0,0.15,3994.047,599013.955,184.26,172.298,4,26.004
57.75,40.1,4027.115,599014.319,0.577,22.869,2,33.068
58.1,1.05,4030.17,599014.844,217.328,172.662,4,3.055
58.75,0.55,4071.182,599086.266,258.34,244.084,4,41.012
59.0,4.0,4119.859,599089.776,3809.21,598818.84,3,87.287
59.35,0.3,4158.573,599160.507,345.627,318.221,4,0.104
