time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
3.65,3.65,0.0,0.0,0.0,0.0,4,0.0
14.3,10.65,1.576,0.052,1.576,0.052,4,1.576
16.1,1.8,4.353,3.078,4.353,3.078,4,2.777
16.4,0.1,9.116,5.207,9.116,5.207,4,4.763
16.65,0.25,10.61,5.431,10.61,5.431,4,1.494
17.1,0.15,41.683,91.847,41.683,91.847,4,31.073
17.3,0.15,44.62,91.911,44.62,91.911,4,2.937
17.75,0.4,46.675,95.247,46.675,95.247,4,2.055
17.75,17.75,46.675,95.247,0.0,0.0,6,14.954
18.6,18.6,62.206,120.861,0.0,0.0,3,0.577
18.65,0.85,64.267,126.145,61.629,98.044,4,2.061
18.7,0.1,65.843,126.197,2.061,5.284,3,1.576
30.3,11.65,1305.047,197169.54,63.205,98.096,4,4905.659
33.7,3.4,1709.672,255222.345,83.394,98.406,4,20.189
40.3,6.6,2375.184,369065.093,84.97,98.458,4,1.576
41.85,1.55,2568.325,395244.325,105.107,98.562,4,20.137
41.95,0.1,2581.672,397318.989,108.054,98.838,4,2.947
42.05,0.1,2594.232,398827.321,109.59,99.148,4,1.536
42.2,0.1,2613.122,400658.137,112.516,99.596,4,2.926
48.5,6.25,3336.024,504269.68,125.961,116.598,4,13.445
48.65,0.15,3353.551,506663.505,126.013,116.77,4,0.052
59.25,10.5,4410.88,705648.914,133.93,117.098,4,7.917
59.35,0.1,4425.191,707124.578,138.465,118.062,4,4.535
60.3,0.8,4540.207,723704.481,150.781,118.614,4,12.316
61.05,0.75,4640.217,738705.772,164.471,118.872,4,13.69
61.25,0.2,4662.341,740795.732,170.417,119.768,4,5.946
61.35,0.1,4672.287,741855.392,173.343,120.216,4,2.926
63.7,2.35,4858.097,797499.226,182.977,120.32,4,9.634
66.7,3.0,5084.833,905906.143,184.553,120.372,4,1.576
66.85,0.1,5098.848,909905.746,190.551,121.44,4,5.998
66.95,0.15,5104.773,909906.78,4907.72,909761.541,3,5.925
67.0,0.1,5104.877,909906.884,196.476,122.422,4,0.104
69.15,2.05,5120.347,909907.264,211.946,122.802,4,15.47
69.25,0.1,5144.408,909973.067,236.007,188.605,4,24.061
69.45,0.2,5146.247,909976.233,237.846,191.771,4,1.839
69.65,0.1,5184.916,909993.099,276.515,208.637,4,38.669
69.95,3.0,5233.647,910064.157,4907.824,909761.645,3,48.731
70.25,0.5,5233.959,910064.313,325.246,279.695,4,0.312
70.4,0.15,5254.148,910064.623,345.435,280.005,4,20.189
71.05,0.4,5311.422,910083.735,402.709,299.117,4,57.274
71.9,0.8,5323.456,910084.287,414.743,299.669,4,12.034
72.4,0.45,5350.981,910155.646,442.268,371.028,4,27.525
72.7,0.2,5389.748,910172.418,481.035,387.8,4,38.767
73.95,1.1,5443.599,910249.88,534.886,465.262,4,53.851
74.2,0.1,5470.671,910267.676,561.958,483.058,4,27.072
75.0,0.6,5500.968,910269.056,592.255,484.438,4,30.297
75.15,0.15,5506.986,910269.332,598.273,484.714,4,6.018
75.5,0.3,5513.004,910269.608,604.291,484.99,4,6.018
75.8,0.2,5540.581,910341.358,631.868,556.74,4,27.577
76.05,0.15,5579.121,910358.194,670.408,573.576,4,38.54
76.2,0.15,5586.871,910358.298,678.158,573.68,4,7.75
76.3,0.1,5587.645,910362.168,678.932,577.55,4,0.774
76.35,76.35,5613.235,910430.662,0.0,0.0,1,28.986
78.65,2.3,5620.568,910435.655,707.918,650.512,4,3.937
78.85,0.2,5622.144,910435.707,709.494,650.564,4,1.576
79.0,0.15,5629.537,910443.864,716.887,658.721,4,7.393
79.1,0.1,5637.663,910452.021,725.013,666.878,4,8.126
79.3,0.1,5656.49,910452.229,743.84,667.086,4,18.827
80.25,0.9,5665.45,910452.333,752.8,667.19,4,8.96
80.9,0.65,5672.325,910452.591,759.675,667.448,4,6.875
81.1,0.2,5676.732,910452.643,764.082,667.5,4,4.407
81.3,0.2,5681.139,910452.695,768.489,667.552,4,4.407
81.4,5.0,5708.232,910515.652,3.937,0.525,1,27.093
81.4,81.4,5708.232,910515.652,0.0,0.0,2,10.938
81.4,81.4,5708.232,910515.652,0.0,0.0,5,15.425
81.4,63.6,5708.232,910515.652,0.577,22.817,6,7.619
81.6,0.25,5735.543,910543.732,795.582,730.509,4,10.589
82.6,0.8,5816.801,910635.347,859.58,801.632,4,63.998
83.25,0.5,5860.469,910652.025,903.248,818.31,4,43.668
83.4,1.75,5869.563,910652.129,14.875,11.29,1,9.094
83.4,1.6,5869.563,910652.129,15.425,16.905,2,11.765
83.4,0.1,5869.563,910652.129,912.342,818.414,4,8.489
83.4,1.75,5869.563,910652.129,7.619,8.593,5,85.194
83.4,1.75,5869.563,910652.129,11.166,35.126,6,2.93
84.25,0.7,5980.691,910819.407,997.536,951.784,4,2.75
84.35,0.1,5988.064,910827.565,1004.909,959.942,4,7.373
84.5,0.15,5996.363,910835.723,1013.208,968.1,4,8.299
85.1,0.5,6023.732,910836.035,1040.577,968.412,4,27.369
85.2,0.1,6028.439,910836.087,1045.284,968.464,4,4.707
85.25,1.7,6048.33,910895.756,26.64,22.404,1,72.401
85.25,1.7,6048.33,910895.756,23.914,26.843,2,8.963
85.3,1.8,6067.033,910905.902,10.549,15.151,5,12.225
85.3,1.75,6067.033,910905.902,13.916,41.424,6,3.19
86.05,0.65,6128.488,910999.486,1117.685,1094.672,4,3.27
86.2,0.15,6135.861,911007.644,1125.058,1102.83,4,7.373
86.8,0.45,6171.529,911016.114,1160.726,1111.3,4,35.668
86.9,1.5,6180.623,911016.218,35.603,32.654,1,35.823
86.9,1.5,6180.623,911016.218,13.739,21.865,5,10.576
86.9,1.5,6180.623,911016.218,17.186,48.034,6,2.144
86.95,1.55,6210.229,911082.595,36.139,40.46,2,2.336
87.0,0.1,6218.839,911099.084,1196.549,1174.34,4,1.958
87.8,0.75,6290.015,911172.251,1262.198,1244.981,4,65.649
87.9,0.1,6297.388,911180.409,1269.571,1253.139,4,7.373
88.5,0.5,6332.969,911188.879,1305.152,1261.609,4,35.581
88.6,1.6,6342.115,911196.48,46.179,41.482,1,75.711
88.6,1.65,6342.115,911196.48,38.097,45.292,2,10.264
88.6,1.65,6342.115,911196.48,15.883,26.289,5,10.156
88.6,1.65,6342.115,911196.48,19.522,52.406,6,1.988
89.45,0.75,6432.852,911279.824,1380.863,1327.766,4,1.764
90.1,0.5,6475.789,911296.452,1423.8,1344.394,4,42.937
90.25,0.15,6484.831,911296.556,1432.842,1344.498,4,9.042
90.3,1.6,6486.489,911321.739,56.443,49.582,1,67.117
90.3,1.6,6486.489,911321.739,48.253,53.392,2,11.401
90.35,1.75,6517.847,911364.157,17.871,30.557,5,8.333
90.35,1.7,6517.847,911364.157,21.286,56.726,6,2.734
91.35,0.9,6578.806,911396.429,1499.959,1409.735,4,4.39
91.95,0.45,6623.058,911413.057,1544.211,1426.363,4,44.252
92.1,1.65,6632.152,911413.161,67.844,60.956,1,9.094
92.1,1.65,6632.152,911413.161,56.586,63.018,2,11.74
92.1,0.1,6632.152,911413.161,1553.305,1426.467,4,8.489
92.1,1.6,6632.152,911413.161,25.676,63.777,6,81.407
92.15,1.75,6661.462,911478.379,20.605,37.142,5,3.166
92.9,0.65,6740.092,911527.334,1634.712,1506.876,4,3.138
93.0,0.1,6747.465,911535.492,1642.085,1515.034,4,7.373
93.6,0.5,6783.76,911543.962,1678.38,1523.504,4,36.295
93.75,1.5,6817.659,911603.839,79.584,71.718,1,62.228
93.75,1.5,6817.659,911603.839,65.075,72.904,2,11.713
93.75,1.55,6817.659,911603.839,23.743,43.752,5,8.593
93.75,1.55,6817.659,911603.839,28.842,70.283,6,3.138
93.85,0.1,6862.131,911644.226,1740.608,1601.904,4,2.906
94.05,24.1,6928.345,911755.539,4908.136,909761.801,3,56.007
94.15,0.1,6931.492,911757.087,4911.283,909763.349,3,3.147
100.25,6.3,45120.019,912498.043,1796.615,1702.057,4,375947.058
110.3,10.05,109689.194,913770.171,1816.698,1702.419,4,20.083
120.3,10.0,174316.482,915049.728,1816.75,1702.625,4,0.052
133.4,39.6,257925.761,916693.209,26.881,50.31,5,0.052
136.45,16.15,315431.943,917124.29,1816.802,1702.831,4,41136.839
139.85,3.4,340221.682,917557.448,1818.264,1703.055,4,1.462
140.3,0.45,343612.3,917616.978,1818.316,1703.227,4,0.052
141.0,0.65,349091.965,917711.281,1829.453,1703.485,4,11.137
141.35,0.35,352090.986,917761.23,1830.915,1703.709,4,1.462
141.55,0.2,353800.238,917789.656,1830.988,1703.709,4,0.073
145.8,4.25,424052.809,918523.377,1835.054,1703.761,4,4.066
145.9,0.1,424059.356,918524.205,380858.341,916414.399,3,5.528
148.05,2.2,424059.408,918524.205,1840.582,1704.037,4,0.052
148.75,0.65,424088.24,918590.946,1869.414,1770.778,4,28.832
149.0,0.1,424122.929,918606.896,1904.103,1786.728,4,34.689
149.3,0.3,424126.831,918606.948,1908.005,1786.78,4,3.902
149.4,0.1,424130.66,918607.0,1911.834,1786.832,4,3.829
149.45,55.6,424134.576,918607.052,91.297,82.676,1,4.176
149.45,55.6,424134.576,918607.052,73.668,82.062,2,0.208
149.45,3.55,424134.576,918607.052,380858.393,916414.399,3,0.156
149.45,15.3,424134.576,918607.052,41163.72,164.398,5,0.104
149.45,55.6,424134.576,918607.052,31.748,76.633,6,0.208
0.0,0.0,0.0,0.0,0.0,0.0,0,0.156
