time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
11.15,11.15,0.0,0.0,0.0,0.0,4,0.0
14.65,3.5,1.576,0.052,1.576,0.052,4,1.576
16.35,1.7,4.353,3.078,4.353,3.078,4,2.777
16.75,0.15,9.116,5.207,9.116,5.207,4,4.763
17.0,0.25,10.61,5.431,10.61,5.431,4,1.494
17.15,0.1,15.473,5.931,15.473,5.931,4,4.863
17.5,0.15,41.683,91.847,41.683,91.847,4,26.21
17.95,0.35,45.243,95.183,45.243,95.183,4,3.56
18.75,18.75,60.771,120.625,0.0,0.0,3,15.528
26.2,8.2,887.804,130970.203,60.771,120.625,4,4262.015
37.85,11.65,2210.027,339687.873,62.347,120.677,4,1.576
38.0,0.15,2228.65,342323.613,63.81,120.901,4,1.463
41.2,3.2,2630.877,394041.051,65.221,120.953,4,1.411
44.2,3.0,3016.733,440222.059,66.797,121.005,4,1.576
44.7,0.45,3052.706,446840.436,69.848,121.763,4,3.051
54.45,9.65,4222.958,636392.617,100.26,122.625,4,30.412
54.75,0.25,4275.752,645032.133,113.95,122.883,4,13.69
54.95,0.2,4304.182,650158.234,116.949,123.417,4,2.999
55.4,0.45,4361.961,664202.369,118.412,123.641,4,1.463
55.5,0.1,4369.923,666665.227,118.516,123.933,4,0.104
56.15,0.6,4382.989,674788.871,121.494,124.381,4,2.978
56.7,0.25,4385.085,675881.531,4262.015,675757.098,3,1.576
56.8,0.1,4385.137,675881.583,4262.067,675757.15,3,0.052
56.85,0.7,4385.397,675956.443,123.07,124.433,4,45.09
57.6,0.75,4439.612,703925.976,132.617,124.537,4,9.547
58.5,0.65,4458.036,703927.7,150.879,126.157,4,18.262
58.7,0.2,4483.988,703996.878,176.831,195.335,4,25.952
58.8,1.15,4516.721,703997.346,4307.157,703801.595,3,32.733
58.95,0.2,4516.773,703997.346,209.564,195.751,4,0.052
59.0,59.0,4549.729,704066.578,0.0,0.0,1,40.908
59.0,59.0,4549.729,704066.578,0.0,0.0,2,0.581
59.4,0.6,4558.843,704070.165,4307.209,703801.699,3,0.581
59.8,0.4,4558.947,704070.165,4307.313,703801.699,3,0.104
59.85,0.85,4559.103,704070.321,250.472,267.416,4,0.156
60.5,0.5,4608.224,704072.373,299.593,269.468,4,49.121
60.8,0.2,4635.223,704139.873,326.592,336.968,4,26.999
61.1,0.25,4642.307,704148.323,333.676,345.418,4,7.084
61.45,0.2,4674.376,704148.791,365.745,345.886,4,32.069
61.65,1.85,4715.18,704221.978,4307.469,703801.907,3,40.804
62.8,1.1,4715.284,704222.03,4307.573,703801.959,3,0.104
62.8,1.3,4715.284,704222.03,406.549,419.021,4,0.104
63.05,0.1,4733.976,704222.962,425.137,419.849,4,18.588
64.1,0.95,4764.414,704224.186,455.575,421.073,4,30.438
64.45,0.25,4791.991,704295.885,483.152,492.772,4,27.577
64.7,0.1,4844.388,704296.611,535.549,493.498,4,52.397
64.8,0.1,4845.11,704300.481,536.271,497.368,4,0.722
64.9,5.85,4872.519,704369.761,0.581,0.525,1,28.934
67.4,2.5,4877.491,704373.53,565.205,570.056,4,3.447
67.55,0.15,4881.895,704373.582,569.609,570.108,4,4.404
67.8,0.25,4886.299,704373.634,574.013,570.16,4,4.404
67.95,0.1,4899.598,704373.79,587.312,570.316,4,13.299
70.35,70.35,4913.736,704373.946,0.0,0.0,0,14.138
70.75,2.75,4959.018,704410.648,601.45,570.472,4,50.455
70.85,0.1,4965.922,704416.078,603.181,571.998,4,1.731
71.15,0.25,4994.91,704486.358,632.169,642.278,4,28.988
71.95,0.8,4996.486,704486.41,633.745,642.33,4,1.576
72.6,1.85,5035.149,704486.826,50.455,40.606,0,38.663
72.6,0.55,5035.149,704486.826,672.408,642.746,4,18.73
73.75,0.9,5157.262,704645.824,775.791,792.85,4,103.383
74.45,1.75,5195.341,704646.24,69.185,49.5,0,38.079
74.45,0.5,5195.341,704646.24,813.87,793.266,4,18.684
74.55,0.1,5235.497,704714.485,839.017,853.541,4,25.147
75.4,0.75,5308.804,704790.715,908.649,926.128,4,69.632
75.5,0.1,5313.348,704790.767,913.193,926.18,4,4.544
75.65,0.1,5322.436,704790.871,922.281,926.284,4,9.088
76.2,1.65,5346.831,704791.131,87.869,61.113,0,24.395
76.2,0.5,5346.831,704791.131,946.676,926.544,4,18.626
77.1,0.8,5459.552,704934.949,1040.771,1061.988,4,94.095
77.25,0.15,5464.169,704935.001,1045.388,1062.04,4,4.617
77.85,1.6,5497.501,704935.365,106.495,69.487,0,33.332
77.85,0.5,5497.501,704935.365,1078.72,1062.404,4,18.574
78.65,0.7,5609.771,705079.341,1172.416,1197.382,4,93.696
78.75,0.1,5614.315,705079.393,1176.96,1197.434,4,4.544
78.95,0.15,5628.96,705079.549,1191.605,1197.59,4,14.645
79.45,0.45,5647.136,705079.757,1209.781,1197.798,4,18.176
79.5,1.6,5673.969,705142.789,125.069,78.485,0,93.904
80.4,0.8,5759.042,705224.145,1303.685,1333.24,4,18.002
80.6,0.1,5787.946,705224.457,1332.589,1333.552,4,28.904
81.0,1.45,5797.034,705224.561,143.071,87.431,0,9.088
81.0,0.4,5797.034,705224.561,1341.677,1333.656,4,17.638
81.95,0.85,5908.282,705367.441,1435.287,1468.682,4,93.61
82.7,1.65,5946.945,705367.857,160.709,95.285,0,38.663
82.7,0.55,5946.945,705367.857,1473.95,1469.098,4,18.002
82.95,0.15,6048.362,705468.74,1557.365,1561.191,4,83.415
83.0,20.2,6073.796,705558.061,4307.677,703802.063,3,25.434
83.25,0.1,6080.625,705562.969,4314.506,703806.971,3,6.829
86.25,3.3,27679.747,705969.027,1582.799,1650.512,4,300851.257
94.55,8.3,88842.633,707142.699,1584.375,1650.564,4,1.576
104.5,9.95,163448.784,708591.773,1604.406,1650.668,4,20.031
114.95,10.45,243691.488,710125.894,1604.458,1650.874,4,0.052
117.4,2.4,263116.525,710483.008,1609.934,1651.15,4,5.476
117.6,0.15,264613.22,710512.87,1614.052,1651.374,4,4.118
122.45,4.8,306857.304,711216.143,1619.58,1651.65,4,5.528
124.45,2.0,306975.008,711219.014,1625.925,1651.926,4,6.345
125.95,1.5,306976.614,711219.272,1627.531,1652.184,4,1.606
126.7,0.75,307005.55,711286.049,1656.467,1718.961,4,28.936
127.1,0.3,307037.106,711286.465,1688.023,1719.377,4,31.556
127.15,44.4,307037.21,711290.496,178.711,104.075,0,0.312
127.15,62.25,307037.21,711290.496,4.028,0.886,1,0.156
127.15,68.1,307037.21,711290.496,0.581,0.525,2,0.052
127.15,4.65,307037.21,711290.496,305165.763,709461.602,3,0.052
127.85,0.7,307037.782,711291.224,1688.335,1723.72,4,0.104
0.0,0.0,0.0,0.0,0.0,0.0,0,2.718
