time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
10.7,10.7,0.0,0.0,0.0,0.0,4,0.0
13.95,3.25,1.576,0.052,1.576,0.052,4,1.576
18.3,4.35,4.353,3.078,4.353,3.078,4,2.777
18.4,0.1,4.465,3.138,4.465,3.138,4,0.112
18.5,0.1,5.963,3.414,5.963,3.414,4,1.498
18.85,0.3,7.564,4.871,7.564,4.871,4,1.601
19.15,0.25,9.168,5.207,9.168,5.207,4,1.604
19.55,0.4,10.662,5.431,10.662,5.431,4,1.494
19.65,0.1,12.161,5.655,12.161,5.655,4,1.499
19.85,0.2,13.659,5.879,13.659,5.879,4,1.498
20.35,0.45,16.513,71.852,16.513,71.852,4,2.854
20.85,0.45,19.707,72.337,19.707,72.337,4,3.194
21.25,0.25,41.899,72.753,41.899,72.753,4,22.192
22.1,0.8,42.255,91.899,42.255,91.899,4,0.356
22.15,22.15,43.812,92.408,0.0,0.0,5,1.557
22.35,0.2,44.108,92.572,0.296,0.164,5,0.296
22.4,0.3,44.337,95.153,43.812,92.408,4,0.229
23.55,1.15,45.81,95.377,45.285,92.632,4,1.473
23.65,23.65,59.291,97.98,0.0,0.0,1,13.481
23.8,0.15,59.403,98.04,0.112,0.06,1,0.112
23.9,0.1,59.587,98.144,0.296,0.164,1,0.184
23.95,0.35,59.691,98.282,58.766,95.235,4,0.281
25.7,1.75,61.353,121.172,60.251,95.558,4,1.485
26.95,26.95,62.929,121.224,0.0,0.0,3,1.576
27.05,0.1,63.1,121.336,0.171,0.112,3,0.171
27.3,0.1,64.938,126.352,2.009,5.128,3,1.838
36.3,10.6,385.578,112278.553,61.827,95.61,4,729.155
42.85,6.55,709.031,217413.743,82.068,95.92,4,20.241
43.7,0.8,740.526,233659.952,85.171,96.454,4,3.103
44.3,0.55,770.433,245151.762,86.686,96.678,4,1.515
44.55,0.25,783.925,248899.485,91.442,96.73,4,4.756
44.8,0.25,798.596,253421.101,92.957,97.212,4,1.515
46.15,0.15,836.201,274245.402,731.164,274122.162,3,10.978
46.5,0.3,836.357,274245.558,731.32,274122.318,3,0.156
46.6,0.1,836.409,274245.61,731.372,274122.37,3,0.052
46.85,0.2,836.617,274245.818,731.58,274122.578,3,0.208
46.9,1.9,836.825,274256.234,103.935,97.626,4,126.62
47.45,0.55,873.345,286071.824,117.731,97.884,4,13.796
47.55,0.1,881.152,288482.499,119.194,98.108,4,1.463
47.65,0.1,890.103,290559.835,120.657,98.332,4,1.463
48.9,0.1,984.628,314993.297,858.2,314869.299,3,4.669
51.15,3.5,1093.204,368715.385,125.326,98.384,4,152.473
51.3,0.15,1107.282,372311.851,128.325,98.918,4,2.999
51.4,0.1,1115.193,375110.915,129.788,99.142,4,1.463
51.85,0.45,1144.666,389446.888,134.457,99.194,4,4.669
52.0,0.1,1153.693,390385.631,1010.673,390259.531,3,22.881
52.25,0.1,1169.22,390386.717,157.338,101.52,4,0.107
52.55,0.3,1174.098,390386.769,162.216,101.572,4,4.878
52.95,0.95,1200.162,390455.747,1010.78,390259.583,3,26.064
53.05,0.4,1200.214,390455.799,188.28,170.55,4,0.052
53.3,0.1,1232.83,390456.215,220.896,170.966,4,32.616
53.4,53.4,1260.214,390524.548,0.0,0.0,6,39.485
53.5,0.1,1272.84,390527.481,260.381,241.634,4,0.525
55.15,2.2,1274.313,390527.705,1010.832,390259.635,3,1.473
55.2,1.7,1274.365,390527.757,261.854,241.858,4,0.052
55.5,0.2,1286.234,390528.929,273.723,243.03,4,11.869
55.65,0.1,1327.239,390530.119,314.728,244.22,4,41.005
55.9,0.75,1345.871,390533.011,1010.884,390259.739,3,18.632
55.95,0.15,1345.975,390533.063,333.36,247.06,4,0.364
56.1,33.75,1373.808,390603.18,0.525,2.745,5,30.673
