time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
1.1,1.1,0.0,0.0,0.0,0.0,4,0.0
14.2,13.1,1.576,0.104,1.576,0.104,4,1.576
15.9,1.7,4.353,3.182,4.353,3.182,4,2.777
16.2,0.1,10.692,5.415,10.692,5.415,4,6.339
16.5,0.3,12.186,5.691,12.186,5.691,4,1.494
16.95,0.15,43.207,92.099,43.207,92.099,4,31.021
17.4,0.4,46.767,95.435,46.767,95.435,4,3.56
17.45,17.45,58.691,96.026,0.0,0.0,5,15.632
18.2,18.2,85.216,121.684,0.0,0.0,3,22.817
22.4,22.4,415.405,111766.226,0.0,0.0,0,545.417
23.45,23.45,515.442,147804.701,0.0,0.0,1,2.693
23.6,0.15,529.438,152763.847,0.06,0.112,1,0.06
23.65,23.65,534.95,154323.879,0.0,0.0,2,0.156
23.75,0.1,538.975,157016.087,0.216,0.296,1,22.744
25.4,0.1,678.801,197142.381,545.417,197019.484,3,22.515
25.7,8.25,690.969,203215.536,62.399,121.107,4,2812.575
26.0,0.3,719.441,214195.256,63.935,121.417,4,1.536
26.2,0.2,736.965,220944.199,63.987,121.589,4,0.052
30.05,3.8,1158.838,327246.21,68.453,130.22,4,4.466
30.15,0.1,1171.612,329699.467,71.451,130.754,4,2.998
30.25,0.1,1186.282,331996.003,72.913,130.978,4,1.462
30.75,0.5,1258.583,344306.603,81.944,139.453,4,9.031
30.9,0.1,1281.61,347411.637,86.404,140.211,4,4.46
31.1,0.2,1316.107,351676.181,95.435,148.686,4,9.031
31.5,0.4,1370.099,360650.796,97.011,148.79,4,1.576
31.6,0.1,1385.164,362701.881,100.009,149.324,4,2.998
39.65,8.0,2267.755,512287.908,106.14,149.6,4,6.131
43.7,4.05,2785.117,592193.795,124.198,149.91,4,18.058
43.8,0.1,2797.949,594213.396,125.587,150.134,4,1.389
44.3,0.45,2856.548,605450.118,131.718,150.41,4,6.131
44.4,0.1,2868.536,607851.36,133.306,150.892,4,1.588
44.55,0.1,2889.117,610935.944,138.027,151.116,4,4.721
46.1,1.4,3057.579,646134.319,147.158,151.926,4,9.131
46.45,0.35,3092.383,659362.862,148.734,152.03,4,1.576
46.6,0.15,3105.109,661237.57,151.733,152.564,4,2.999
49.6,2.95,3327.145,697110.794,157.865,152.84,4,6.132
53.85,4.25,3582.119,746384.385,167.347,153.098,4,9.482
54.3,0.1,3617.789,749478.255,188.812,155.252,4,21.465
54.4,0.1,3619.251,749478.479,190.274,155.476,4,1.462
57.9,3.7,3624.129,749478.583,3357.992,749321.265,3,4.878
58.0,0.1,3624.181,749478.635,3358.044,749321.317,3,0.052
58.2,0.2,3624.233,749478.635,3358.096,749321.317,3,0.052
58.65,0.45,3624.285,749478.687,3358.148,749321.369,3,0.052
59.05,4.65,3624.441,749478.843,195.152,155.528,4,0.156
59.25,0.2,3650.133,749547.493,220.844,224.178,4,25.692
59.6,0.15,3704.032,749572.74,274.743,249.425,4,53.899
59.85,0.25,3705.638,749572.998,276.349,249.683,4,1.606
60.05,36.3,3746.702,749643.862,22.744,0.288,2,41.064
60.4,0.45,3747.232,749644.223,317.413,320.547,4,0.53
61.0,0.4,3808.637,749671.475,378.818,347.799,4,61.405
65.25,4.15,3828.431,749672.407,398.612,348.731,4,19.794
65.4,0.1,3830.162,749673.933,400.343,350.257,4,1.731
65.75,0.25,3859.522,749746.915,429.703,423.239,4,29.36
66.0,0.15,3900.191,749771.865,470.372,448.189,4,40.669
69.6,3.6,3911.816,749772.021,481.997,448.345,4,11.625
70.85,1.25,3913.422,749772.279,483.603,448.603,4,1.606
70.9,10.85,3939.218,749840.638,23.274,0.649,2,40.646
70.9,53.4,3939.218,749840.638,22.817,0.577,5,3.06
72.15,1.2,3957.653,749845.523,524.249,519.543,4,0.525
73.0,0.65,4019.19,749873.183,585.786,547.203,4,61.537
75.25,2.1,4037.244,749874.011,603.84,548.031,4,18.054
75.35,4.45,4064.873,749945.701,26.334,1.01,2,27.629
75.5,0.2,4068.184,749946.062,631.469,619.721,4,3.311
75.75,0.1,4109.331,749971.108,672.616,644.767,4,41.147
75.9,0.1,4117.081,749971.212,680.366,644.871,4,7.75
76.1,0.2,4121.043,749971.264,684.328,644.923,4,3.962
76.25,0.15,4122.619,749971.368,685.904,645.027,4,1.576
76.35,1.0,4123.341,749975.134,29.645,1.371,2,0.722
76.35,0.1,4123.341,749975.134,686.626,648.793,4,3.687
76.5,52.75,4155.91,750048.325,22.731,0.4,1,28.882
76.55,0.15,4159.766,750048.686,33.332,1.733,2,3.856
76.6,54.15,4163.57,750049.047,2.693,0.525,0,3.804
78.4,2.0,4167.374,750049.408,715.508,721.622,4,3.804
78.55,0.1,4174.681,750057.565,722.815,729.779,4,7.307
78.65,0.1,4182.075,750065.722,730.209,737.936,4,7.394
78.85,0.15,4199.164,750073.983,747.298,746.197,4,17.089
79.0,0.1,4208.946,750074.087,757.08,746.301,4,9.782
79.6,0.6,4213.427,750074.139,761.561,746.353,4,4.481
80.35,0.75,4222.433,750074.397,770.567,746.611,4,9.006
80.45,0.1,4226.841,750074.449,774.975,746.663,4,4.408
81.55,4.95,4235.744,750074.553,6.497,0.886,0,8.903
81.55,1.05,4235.744,750074.553,783.878,746.767,4,4.79
81.6,5.1,4264.887,750137.934,26.587,0.761,1,26.937
81.6,5.05,4264.887,750137.934,37.136,2.094,2,11.407
81.6,10.65,4264.887,750137.934,23.342,2.52,5,2.584
81.8,0.1,4289.899,750159.762,39.72,2.986,2,16.74
81.85,0.15,4298.307,750168.536,11.287,2.14,0,9.55
81.9,0.35,4302.855,750178.56,810.815,809.786,4,8.574
81.9,0.15,4302.855,750178.56,40.082,20.982,5,58.936
82.1,0.1,4388.098,750270.287,869.751,870.386,4,13.618
82.2,0.1,4422.389,750341.579,19.861,16.767,0,33.509
82.8,0.65,4423.496,750341.941,903.26,940.747,4,1.107
82.95,0.1,4438.244,750358.255,918.008,957.061,4,14.748
83.45,0.4,4470.085,750366.672,949.849,965.478,4,31.841
83.6,0.1,4479.181,750366.776,958.945,965.582,4,9.096
84.75,1.15,4483.729,750366.828,963.493,965.634,4,4.548
84.8,2.55,4485.721,750429.055,20.968,17.129,0,53.339
84.8,2.75,4485.721,750429.055,49.27,17.038,2,2.27
84.8,2.7,4485.721,750429.055,53.7,33.549,5,7.177
84.85,2.8,4523.679,750437.636,37.994,11.953,1,17.802
85.1,0.1,4569.287,750479.695,1016.832,1042.106,4,4.97
85.15,0.2,4573.949,750535.87,23.238,18.611,0,30.616
85.15,0.2,4573.949,750535.87,42.964,18.947,1,3.706
85.85,0.7,4607.315,750552.422,1047.448,1114.109,4,3.706
86.45,0.45,4653.991,750577.156,1094.124,1138.843,4,46.676
87.2,0.7,4667.722,750577.312,1107.855,1138.999,4,13.731
87.25,2.1,4689.935,750637.032,26.944,18.973,0,87.991
87.25,2.1,4689.935,750637.032,46.67,19.309,1,4.496
87.25,2.3,4689.935,750637.032,56.447,26.467,2,4.989
87.25,2.35,4689.935,750637.032,71.502,52.039,5,3.768
88.35,0.9,4786.796,750767.806,1195.846,1287.666,4,17.83
88.9,0.4,4833.969,750792.54,1243.019,1312.4,4,47.173
89.2,1.9,4847.613,750792.696,31.44,27.617,0,13.644
89.2,1.8,4847.613,750792.696,51.659,27.913,1,2.854
89.2,0.25,4847.613,750792.696,1256.663,1312.556,4,4.386
89.2,1.85,4847.613,750792.696,89.332,68.13,5,92.285
89.25,1.9,4892.02,750866.863,60.215,34.955,2,17.75
89.45,0.15,4938.222,750909.436,56.045,35.069,1,1.854
89.5,0.2,4970.452,750980.068,62.069,35.27,2,4.82
89.65,0.2,4972.672,750980.792,1348.948,1470.349,4,1.11
90.1,0.45,4993.294,750981.102,1369.57,1470.659,4,20.622
90.8,0.5,5039.082,751005.836,1415.358,1495.393,4,45.788
91.1,0.3,5052.622,751005.992,1428.898,1495.549,4,13.54
91.15,1.85,5054.198,751006.096,34.294,31.913,0,89.299
91.15,1.65,5054.198,751006.096,60.865,35.793,1,6.824
91.15,1.65,5054.198,751006.096,63.179,35.632,2,4.658
91.15,1.85,5054.198,751006.096,107.082,85.58,5,5.334
91.35,0.1,5173.174,751198.401,68.513,46.294,2,17.074
91.4,0.15,5179.331,751202.611,65.523,46.507,1,3.52
