time,dens10,total_network_out,total_network_in,dest_out_traffic,dest_in_traffic,destination,size
12.0,12.0,0.0,0.0,0.0,0.0,4,0.0
14.45,2.45,1.576,0.104,1.576,0.104,4,1.576
16.2,1.75,4.301,3.182,4.301,3.182,4,2.725
16.5,0.1,9.064,5.311,9.064,5.311,4,4.763
16.8,0.3,10.558,5.535,10.558,5.535,4,1.494
17.25,0.15,41.683,92.001,41.683,92.001,4,31.125
17.7,0.35,45.243,95.389,45.243,95.389,4,3.56
18.55,18.55,60.667,120.883,0.0,0.0,3,15.424
18.7,0.1,62.624,126.063,1.957,5.18,3,1.957
27.05,9.3,943.608,143006.987,60.667,120.883,4,3365.146
28.8,1.75,1147.932,169649.907,62.243,120.987,4,1.576
34.2,5.4,1820.929,244077.783,82.432,121.297,4,20.189
34.35,0.15,1841.351,245695.962,85.431,121.831,4,2.999
39.35,5.0,2315.487,301021.458,85.483,122.003,4,0.052
42.05,2.7,2650.849,338286.413,103.541,122.313,4,18.058
43.7,1.65,2827.301,364095.062,105.117,122.417,4,1.576
45.35,1.6,3005.927,399606.157,106.631,122.899,4,1.514
45.45,0.1,3019.641,401754.905,109.526,122.951,4,2.895
48.35,2.75,3309.779,459387.997,123.18,123.727,4,13.654
48.75,0.2,3354.482,468126.963,132.52,124.537,4,9.34
50.7,1.95,3502.594,537829.278,141.896,124.795,4,9.376
50.95,0.1,3527.052,539905.7,159.949,127.069,4,18.053
52.15,1.4,3536.599,539905.804,3367.103,539778.631,3,9.547
54.15,3.2,3536.703,539905.856,169.496,127.173,4,0.104
54.35,0.2,3562.499,539974.668,195.292,195.985,4,25.796
54.7,2.55,3595.523,539975.032,3367.207,539778.683,3,33.024
54.8,0.1,3595.575,539975.188,3367.259,539778.839,3,0.052
55.05,0.65,3595.679,539975.188,228.316,196.349,4,0.104
55.15,55.15,3636.795,540046.63,0.0,0.0,1,41.116
55.15,0.35,3636.795,540046.63,3367.363,539778.839,3,3.134
55.4,0.15,3640.085,540047.311,3.134,0.525,1,0.156
55.6,0.5,3640.563,540047.672,269.432,267.791,4,0.478
57.0,1.2,3689.821,540049.88,318.69,269.999,4,49.258
